genes	Pt1	Pt2	Pt4	Pt5	Pt6	Pt7	Pt8	Pt9	Pt10	Pt12	Pt13	Pt14	Pt15	Pt19	Pt20	Pt22	Pt23	Pt25	Pt27	Pt27.1	Pt28	Pt29	Pt31	Pt32	Pt35	Pt37	Pt38
ENSG00000259786	0.73237978558836	0	0	7.41068786772394	1.26734780335868	0	7.96819536109981	7.61784441317639	0.724234102166994	0.999052832258419	4.62997648429634	0.634605316222472	6.98199465692521	0	1.26544579026993	0	0	0	8.0281197608324	7.53640734278122	2.61027176411866	0	2.04411835869915	0	7.35335102322433	5.413115298536	0
MMP1	6.39803470028024	1.95150731157914	1.77786050781305	6.67468751335017	5.71045656612127	6.52542893796468	8.3952474252471	6.37349787959397	15.188425448909	9.37965083633194	9.35961245541072	16.1168896425442	6.43096197346135	3.70152193143276	4.46337542457349	7.41439598831138	11.8052521633582	7.59371922595006	5.13213418663139	4.87808849258726	15.1186087648906	6.09633161513297	10.5055718118649	17.7507277966476	8.26013124263474	8.12818017394021	7.75408997968521
MRGPRX3	3.26271960377311	4.29576691068577	5.16261852246759	13.5824058258485	4.10288001852365	2.15711495846059	9.47141643432272	4.59806549778915	6.06294976980422	2.58338354217487	11.1004118630908	4.62982622023408	4.46396832946329	3.46049744081326	12.7725632197549	8.33154406937389	2.39347041504937	3.31296854775275	14.030782595879	14.1845889970513	4.42120632088821	4.80569091384871	5.43218631494009	2.23078411679353	5.7428791555297	8.68492596556366	1.6305901636256
DRAXIN	5.66115958779177	5.79410130468477	4.29452197025926	1.80221081432276	6.17118497277748	9.90263770015385	3.82041094165071	5.08293834798357	8.89382638451562	13.9931656254321	9.44555010747844	3.88877481690976	4.09193611111275	4.52468336473984	3.76936271175521	5.18433920879114	6.92859781211757	5.84819478126777	3.82888753740228	2.8033147570651	4.63394684419982	4.89557269259999	5.26643198159347	11.5082983220138	5.45353301641026	4.14110107741897	5.06583696642366
LINC01819	2.10664537778458	1.28326521830399	0.855769840549742	0.871197717708603	1.26734780335868	0	0	2.07890240627527	11.169891544221	12.931611534285	3.56075031556845	0.634605316222472	1.58813249900551	3.17096714723348	2.38184939109038	2.20423926611675	2.13860412726656	3.07867950738292	0	0	8.76495746024274	2.4580198562865	1.35733005505587	3.97961941332359	1.9706981234831	0	2.05123097785301
ENSG00000250453	0.73237978558836	0	0	7.92060073535451	0	0	5.74171197271369	5.97538367542525	1.20416999295483	0	2.2016640975211	0	6.69120685189489	0	0	0.783802738879619	0	1.31596125009476	6.41159843078208	5.37043859097728	2.13885530000449	0	0	0	6.20924738873029	1.91609077397972	0
FOXC2	3.95887065325581	2.40644859684391	4.56512659693804	1.80221081432276	4.37160125456515	5.3296915786907	4.0002340503107	2.4633084013945	7.98117351190497	5.28355588089442	5.48932379777302	8.95595244781782	2.0035657587661	4.85911294583733	2.38184939109038	6.0898933230168	5.99914590041274	6.32108251300809	3.82888753740228	2.63989693906061	4.0284419291948	4.02518031341447	7.23804313512022	8.18167276584434	3.28669374378335	2.71105011558954	4.23414636345047
LOC107985177	1.57731136822046	1.95150731157914	0.855769840549742	2.76643952566285	1.63727611612456	6.18013231858936	1.52372477768391	2.76654047365782	6.94167411453165	2.32041232787344	1.6599509674026	4.4949279275237	1.00237815147651	3.70152193143276	1.26544579026993	4.54668161244686	7.36072579858213	2.79882328409909	1.25736138051813	0.805336253835276	0	1.48431770164401	4.05494031854518	5.50228869227828	0	1.25519568180171	2.05123097785301
APCDD1L	5.1720473759082	0	2.7372691038249	0	4.10288001852365	6.50725117913664	4.76842481630242	4.15131127490976	8.0818172272805	8.72262337812929	8.46976173442379	13.4777114942256	2.58892391143365	4.52468336473984	2.38184939109038	6.7328497370679	5.32691898438096	4.23849486635214	3.22396105146327	4.0616564664214	4.0284419291948	2.20028350852588	8.86091757120673	9.00688915370569	3.96327871070951	2.36764662815009	3.2304467453252
SLC10A4	2.92861164034352	1.28326521830399	1.77786050781305	2.36342460805138	2.1756733370547	7.82697884185146	2.24812461096631	2.4633084013945	9.26186450043632	9.57175471821369	2.75705616652812	3.88877481690976	5.1338998406591	4.9553308682527	2.38184939109038	2.20423926611675	5.16528565831209	3.51447215049891	2.55263135969847	2.95009088863829	4.171577000492	3.03410879343479	4.41328099576653	6.36221713180157	3.66429050953293	0	1.6305901636256
TDRD12	2.10664537778458	2.40644859684391	0	2.10993664832116	4.51168230929547	1.10662085458724	3.08768312494673	11.1744809090194	9.31008268778525	2.80573082500783	5.09258324445009	3.77692495229768	6.21414163762539	0	3.0036155669009	2.59732633186615	3.59226725874696	12.5755925454979	2.16235599956717	1.31910116782648	2.13885530000449	9.84924434570785	10.9795971802697	3.97961941332359	3.28669374378335	2.36764662815009	6.68194428491308
ALDH1L2	10.4304230301554	8.54062425146412	7.52987864553222	6.22491034052735	8.95515462501937	8.29265859325832	7.90186976672652	8.9903662170957	11.3227708126905	10.2002304757768	9.52806284911762	10.2019433103506	9.7069193788288	9.36092013772978	12.1255991746863	11.4217067990298	10.7307041582279	9.94715359906036	8.90914453921279	8.1322932604237	7.08175422575339	10.5276084328774	8.71838375880896	9.67480974045065	7.86785324089614	6.55349383322355	6.87467401478143
ENSG00000265735	5.36960669702212	2.40644859684391	2.7372691038249	2.76643952566285	3.23926327122889	6.18013231858936	8.63188082884503	1.553318237495	1.85123672890183	9.38397027728993	3.87581606649948	6.07256795015729	4.32644323609875	2.80835986131617	5.68774752840509	3.27201653873671	4.90345012227506	3.07867950738292	0	0.805336253835276	2.96499911331274	7.92901873919943	3.91254949085738	0	2.55236781714934	4.14110107741897	2.64177511485587
ZNF728	0.73237978558836	0	6.03953181605871	7.59521985243295	7.72365652459457	1.72544168607566	1.52372477768391	4.09797171750092	0	0.999052832258419	1.6599509674026	0.634605316222472	3.32620594905153	0	1.26544579026993	2.41412950651923	0	0	5.36900761630275	6.68183174722093	0	1.48431770164401	1.35733005505587	0	0.980531690359711	0	3.38319052176268
ELN	12.270150648354	8.1616082348243	6.00356821022832	6.01896626320646	7.83008412412572	9.91475592021992	8.67223231237901	9.4300957850278	10.939278278211	10.7157825913445	7.76636858872451	10.0988653530118	6.97049871683692	9.35210974802774	7.29320166233726	12.5855920707148	6.95851473590161	9.12833103804087	9.20094894857843	5.83457164482539	8.73068586511666	8.29794574897505	7.5460501274162	13.0919136725408	7.18023227976138	7.55646279756661	8.74722980780412
CTAG2	2.65329366200352	0	0	0	2.1756733370547	3.99948484925577	4.76842481630242	11.8922282610988	0	1.58369947216177	7.55616124778128	3.29868872866094	12.0212113490144	0	1.26544579026993	0	1.82884214832043	3.31296854775275	8.17764670773588	5.97835360706412	0	2.4580198562865	4.41328099576653	10.8745943172482	3.28669374378335	13.3409244299992	7.11180298900058
LINC02027	0	7.21617242434014	0	0.871197717708603	0	0	5.19499969086521	3.23029946707612	0	0	6.49637272069939	0.634605316222472	3.7048270942536	0	0	0.783802738879619	0	0	3.32751168413604	3.85359200974695	2.13885530000449	0	0	0	0	2.36764662815009	0
ENSG00000272046	0	1.28326521830399	0.855769840549742	4.2661852516215	4.04256111243843	0	5.63686925514687	0	0.724234102166994	0	0	0	3.7048270942536	1.58574418063149	0	0	0	0	5.36900761630275	5.94372907749888	2.13885530000449	0	0	0	0	0	2.37651064521166
LCT-AS1	3.15971444774838	3.03024081804364	1.3892630313753	1.41053740898091	3.7723794253735	2.15711495846059	0	3.41610606125667	3.74291641424389	7.21728628886659	3.46992112460873	5.86941119840215	2.32573125784173	0	4.36850349247874	4.54668161244686	2.13860412726656	3.51447215049891	2.16235599956717	1.69717738715082	1.43406095013454	2.86640730486322	2.85766719437838	8.08685427025403	1.9706981234831	1.25519568180171	3.38319052176268
AJAP1	6.53809502523857	0	0	1.80221081432276	4.46648320607699	11.9166505650267	4.43486633628842	5.21406242333106	4.49292807773496	3.58322555123355	2.90307174026123	6.61013556990682	4.52810804487573	2.80835986131617	5.43030014890256	6.56706143006225	5.44433492324159	4.23849486635214	3.75651419696094	1.99646547480993	7.33086184183065	9.99361919878353	8.52393381125132	3.26589851191182	1.55894593286766	2.71105011558954	5.11029399480536
SAA2	2.49304302922711	13.5958663822286	1.77786050781305	0	2.56685217996292	2.15711495846059	4.30401776090662	7.21624566859498	7.12131547534115	2.32041232787344	2.4114576187705	3.29868872866094	2.81142935625663	9.65759577222665	2.38184939109038	3.47291419802915	0.88817978483552	0	6.41159843078208	2.95009088863829	10.284141181958	2.86640730486322	2.85766719437838	0	0.980531690359711	0	2.37651064521166
GJB6	2.31274185460176	2.40644859684391	0	0	1.26734780335868	2.15711495846059	11.5676115281639	9.32375638148521	1.20416999295483	1.58369947216177	3.46992112460873	0	0	1.58574418063149	4.26695086136924	2.20423926611675	2.79823230133935	0	4.40350133624734	3.77698848831056	15.8143049692536	2.4580198562865	0	1.79185303480287	3.54906747739594	0	4.06375942824266
CDH10	2.92861164034352	0	6.19111752078684	0	0	0	0	0.71806244728272	11.410394932648	8.95521089912201	0	2.93171247366913	1.00237815147651	0	0	7.27346189586316	0	5.01271675977356	0.761532574832726	0	0	2.67661600292028	0	4.18888785518566	0	0	2.86575833105217
ENSG00000268879	0.73237978558836	0	0	4.86750850368443	4.63935762170239	0	0	3.72840549265503	0	1.99857901509519	0	0	5.67708469741718	4.6449816747171	0	0	0	0	6.55717934107638	7.93488382259727	2.96499911331274	0	2.04411835869915	0	0	5.8546640686819	1.03435531880744
LRRC17	6.568573056719	5.96941209775534	8.92248053483924	4.06647122428044	7.57187819897354	6.18013231858936	6.53746536503697	6.70314797351834	9.68738535215297	10.4626521345702	7.71290931876521	7.09133674943094	6.71895271981107	5.83404181573366	9.06211532029831	9.6093960594996	7.345711298916	6.73832730849306	5.52963005508929	5.47112491985751	6.27785096610703	7.49812975185594	5.43218631494009	12.8932923086972	6.17078736816785	3.42074736246317	5.27557085113404
FOXL1	5.8046297661122	4.06805278064	4.40892273027337	2.76643952566285	5.06027592159683	6.67947720626146	5.46376836822154	5.5281960227985	8.66500369442673	4.80552768426336	7.1582945935614	10.2147445333148	5.52821119877254	4.756016459466	4.36850349247874	6.31580643356441	7.32289243357659	3.51447215049891	5.0436667510962	4.98411878700977	4.63394684419982	7.64141762467166	7.25289495088358	8.35985907572129	4.82014777392053	1.91609077397972	4.45706652804483
CPAMD8	5.0903820725219	5.75632969318404	4.35285600170111	3.99324458978595	4.75664687076422	4.44369427068941	5.11918354140269	5.80277648021774	7.04501367697089	6.68462397906888	5.51226467522939	5.96183025158422	5.09207567755036	4.85911294583733	7.02424612737867	6.95049993780864	6.63948369617005	7.55994970608911	5.85832489253709	3.61038066250552	5.65420085846075	9.15713945202097	5.715604901287	7.62041181349287	3.28669374378335	4.53555058308018	6.27646814583187
FHL5	8.41060643484471	2.75179970656212	3.80277090655623	4.82593660056812	4.4198221043134	3.50851242215558	5.33563382419135	5.5281960227985	5.91490237271814	4.85615142221595	3.37298700391357	5.84188061872412	4.25243016683595	2.80835986131617	3.43670871020641	9.38797757865102	7.61354817522015	4.54505552500165	5.57241885362971	3.20524917128332	5.32723585505201	7.72347830243079	3.57709530977722	6.29593779158074	3.54906747739594	3.7530650340693	4.31234332963923
LOC100507403	6.5984205149466	2.40644859684391	2.08368882876018	4.06647122428044	1.93144578052267	2.98558067436909	4.16010702367086	2.89718492185647	5.58332902185262	2.80573082500783	1.95608533020453	4.86681706298325	1.00237815147651	1.58574418063149	2.38184939109038	6.95889330158098	6.16228411795735	2.45128887891453	3.32751168413604	0.805336253835276	3.24949261231948	2.67661600292028	4.93922706256138	4.18888785518566	1.55894593286766	1.25519568180171	2.86575833105217
MYBPC1	4.23704267251199	4.18639797255884	1.77786050781305	0.871197717708603	4.71860019066415	1.72544168607566	4.0002340503107	6.79818143680522	5.43900868233285	3.16824071752425	9.53508062094796	0	7.85022181146725	11.3832555121687	1.26544579026993	1.95852787308989	2.61000002237458	0	3.11239927547871	2.24420672052278	3.69091276247982	0.925182250848465	2.50749463432329	1.15788240152613	1.9706981234831	2.98822588431654	3.76323927262801
PHACTR3	4.07664941035762	4.29576691068577	7.69682615832848	2.36342460805138	2.1756733370547	7.54456643014056	4.0002340503107	3.23029946707612	5.48173700217617	6.42439184567053	3.56075031556845	2.57836313396728	4.39684386239992	1.58574418063149	1.26544579026993	4.71469630765835	5.89985051998098	9.4131719707079	0	0.805336253835276	3.69091276247982	5.24244582711301	3.57709530977722	3.97961941332359	2.96575609029218	0	4.23414636345047
PCDHA7	3.15971444774838	1.28326521830399	8.24715302863296	4.86750850368443	4.27003714257039	1.72544168607566	2.24812461096631	3.58068974079145	1.85123672890183	1.58369947216177	3.72686693422572	1.68259660463775	8.13916182476726	4.08856626629766	7.30605858906779	3.15999925920543	2.96471576980321	1.99253758003768	1.91882977675789	0.805336253835276	2.13885530000449	2.67661600292028	2.50749463432329	1.79185303480287	0	5.58969871186652	6.97424919086468
SAA1	5.50183024499747	16.6835408993728	2.08368882876018	1.80221081432276	3.34294025300541	2.48893321167242	6.50804154931619	9.80146649950875	10.2804884165605	5.75302765886979	4.62997648429634	6.5261414328768	5.55924028907679	12.4371028013096	4.26695086136924	7.61890419956998	3.59226725874696	4.79775327309047	9.3605273592295	5.05070982656117	13.461769628605	3.32037508028963	2.04411835869915	3.0682891156816	0	5.413115298536	3.64733523956964
ENSG00000266869	0	0	0.855769840549742	2.10993664832116	3.00646526980221	0	3.37526502266921	6.1161767945147	0.724234102166994	0	5.23729538187556	0	4.75946415586869	3.17096714723348	1.26544579026993	0	0	0	0	0.805336253835276	0	0	0	5.42169760202751	3.42383693837393	0	1.03435531880744
VCX	2.49304302922711	0	0	10.7249647755299	0.768580835721523	0	8.79303938375053	0	2.47616485014539	0	1.95608533020453	8.50998686441996	9.86583419353505	0	0	0.783802738879619	0	0	4.35530782748742	3.99558048882234	1.43406095013454	0.925182250848465	2.50749463432329	1.15788240152613	0.980531690359711	6.57464159172734	5.62108823292828
LOC101928143	2.31274185460176	1.95150731157914	0.855769840549742	0	1.26734780335868	2.98558067436909	2.24812461096631	2.07890240627527	6.30820804916579	8.7563326362087	0	6.39967454217069	1.00237815147651	2.80835986131617	1.26544579026993	2.41412950651923	2.96471576980321	1.31596125009476	0.761532574832726	0.805336253835276	0	0.925182250848465	2.04411835869915	4.53377149202716	0	1.25519568180171	0
LINC02207	0.73237978558836	2.40644859684391	2.7372691038249	3.99324458978595	4.89952945496345	1.72544168607566	5.46376836822154	5.31100460799312	2.63602990913558	1.99857901509519	6.9045224106335	1.0738380044425	5.00460411379321	1.58574418063149	0	3.27201653873671	3.11395971360601	1.31596125009476	7.27294900581646	8.34623901780702	1.43406095013454	2.4580198562865	0	4.45496842561352	2.55236781714934	1.25519568180171	5.31409223890131
TMEM100	5.77007750855289	5.79410130468477	1.77786050781305	1.80221081432276	3.00646526980221	3.18171437902147	4.76842481630242	6.23211780136679	10.9550011573078	5.61285358387949	4.99823292953256	6.57712238490142	3.17415011985105	4.85911294583733	5.6479050164317	7.19036057007513	4.30147561722192	6.11946727051107	5.84092987201604	4.24346140901462	4.63394684419982	7.75383757725082	4.18453134467256	11.534883486188	2.96575609029218	2.98822588431654	4.76579751814703
CRLF1	5.9506250776549	5.08659350684836	4.66059357210508	3.99324458978595	5.63075280781399	7.8196318936267	6.0582376282666	5.13682632086397	11.044566041273	5.32008054144539	5.46601222564088	5.26944021660106	5.21407751753489	6.37619767328221	5.56475888626772	7.87096346639838	6.27753018879302	8.28009227719021	5.29428922748435	5.08288709970568	8.05810931088464	9.1525891667918	5.87769308771143	7.94988127532035	4.28471081877557	5.15683669936923	3.2304467453252
HAPLN1	4.18553444444316	1.28326521830399	6.25369339315223	3.99324458978595	6.19908522814387	4.58905245500094	0	2.76654047365782	15.6853227465595	4.64203707815947	2.4114576187705	8.41743271933109	2.81142935625663	1.58574418063149	0	5.60376742074718	5.65388234618216	7.01248618405837	1.62567809330205	1.31910116782648	4.0284419291948	3.76393602954775	4.86383462934941	11.3768686358568	8.32286162992795	4.35176493078669	2.05123097785301
STC2	9.22454135685618	7.03874544013383	8.25099269205779	6.97964020802714	7.95397055945711	8.66888206969612	8.45042918573892	6.6577908615936	10.5786961025098	7.29273786883319	9.18679661451753	12.2689785698467	6.21414163762539	7.29578564573677	6.89405675243027	8.52484117120739	9.10497165584569	7.76157670734707	7.93691462739702	6.97546235463415	8.55901669918414	8.67951694310749	11.0787875584923	10.2857531571499	8.16060457970226	5.36537275163539	7.70420274282866
STC1	9.49829886219504	6.72347834465887	8.98606278745933	8.94700397911463	12.4419873554106	9.94207833979923	8.23386849973631	5.64437032496705	11.1000437823385	10.5849460631304	12.3775420065698	16.3193745069209	7.26210922133265	7.1610355028553	6.78807431494782	10.0611544842405	7.91251056849702	8.60109185875393	8.19486538106821	8.72321696492605	8.45789317383642	8.342575545836	13.5990767310201	11.2031656622899	8.03775984598709	8.50384860759379	8.97766667767981
RNA5-8SN4	1.21583679519169	2.40644859684391	2.33588936335585	0	0	3.7747843513136	11.464157038355	0	0	9.77454023685738	0	9.25235625392017	1.00237815147651	0	8.7169923734201	0	2.13860412726656	2.79882328409909	1.91882977675789	1.69717738715082	4.42120632088821	8.97326586842534	4.78428403886045	2.23078411679353	2.55236781714934	3.7530650340693	5.23599262087477
LOC101927727	4.18553444444316	3.93912510725243	1.3892630313753	0.871197717708603	0	7.94647143484733	3.08768312494673	3.23029946707612	4.26728518241376	8.17303728600847	4.40330453172678	3.77692495229768	1.00237815147651	3.46049744081326	2.72597216176251	4.86516933279975	4.68225557530984	3.51447215049891	1.62567809330205	1.69717738715082	3.24949261231948	1.48431770164401	5.48345989748187	6.12830615521248	3.7709878046994	1.91609077397972	4.45706652804483
COL9A2	6.568573056719	7.15942049008319	7.03744366387016	3.83459933312995	4.4198221043134	6.29053964578475	6.44733001742456	7.84930999152243	15.3383397725367	13.7042774012761	8.57156366461916	4.83923645890858	6.379734655953	8.34546466321106	8.38263056465769	7.01631809084241	8.03924019966281	8.30748544354016	5.82332255198579	5.81554791403115	7.76262730006703	7.16921283292445	6.24756828850996	13.1300621829048	8.0107955752096	6.19226818868788	9.08180366859248
INHBA	9.19391357153795	10.1267069954167	6.00356821022832	7.22326200943433	8.70329298984869	12.4816961924008	8.90450741410144	7.90472128811186	13.3101748127654	11.3177779050776	12.1879721152794	10.6368396844453	6.25261747277234	8.47284427440348	7.42869355065793	11.2557794917174	10.7628499009063	5.56010747505592	7.98917176689734	8.41420590192842	10.180038977899	9.2366819230933	13.4763110333057	15.4836903085174	9.45270535999028	8.23829946804767	6.96217171126349
FZD8	7.42320294991914	8.31887739818873	8.43100769653735	5.51651211358253	8.01410470571738	6.57862711031622	6.59457167273702	6.94133621063954	9.94479301352495	8.00373696966336	6.91316708247842	11.7899209873427	5.36218866798498	6.79557766988937	7.8879790261536	8.66737621140866	6.88771838158151	8.63392267618977	7.32392432106725	6.77340552985418	7.56931577022592	7.1419248463641	7.76906229491814	11.7595138876681	5.93870765573224	6.07843416011626	7.93181292163776
ENSG00000228966	0	0	2.90261263469752	1.80221081432276	7.18226121359418	0	4.95443791007545	6.2071463542	0.724234102166994	0.999052832258419	4.96535994688582	7.38157660161933	3.58931945490422	0	2.72597216176251	0.783802738879619	0	0	5.18823550820578	5.42165994517596	0	0	2.04411835869915	0	3.7709878046994	4.02298448883908	1.6305901636256
SNORA73B	8.7534061452959	5.02439177900914	4.23372950294301	1.80221081432276	3.53030766837149	4.65658456878219	10.5136069816933	4.30042898873972	4.05732558486236	9.40324930216032	3.26906777392536	8.28570182063077	5.64851368448338	4.08856626629766	7.46353951609028	2.20423926611675	5.85813634323437	4.34808088729531	4.40350133624734	4.0616564664214	6.58969593428011	7.16921283292445	5.87769308771143	4.18888785518566	4.35500565365075	4.14110107741897	4.31234332963923
GCK	4.07664941035762	5.14622389166964	1.3892630313753	4.13615995651509	0.768580835721523	5.19989253651909	3.61493911826848	4.6729293978425	7.35185639075693	0.999052832258419	5.78139764630075	2.93171247366913	3.17415011985105	5.04553096835754	4.55239165115947	3.64922539522553	7.21135521632121	3.07867950738292	1.25736138051813	0.805336253835276	2.96499911331274	10.4665941143645	7.47182115131105	4.8738046081436	1.55894593286766	1.25519568180171	3.38319052176268
ZNF716	0.73237978558836	0	7.89141592607181	5.40799992601498	0	0	0	0	1.20416999295483	1.58369947216177	0.78242473793837	0	1.00237815147651	0	1.26544579026993	0	0	0	8.38988841760339	10.0005636242027	0	0	6.92222338852594	1.15788240152613	2.55236781714934	3.7530650340693	3.05959535506944
DKK3	9.52185333386952	8.52386136472475	7.27470517528407	8.04810269904389	8.57874058683585	13.3423906289384	10.2234970039018	11.1115313269408	11.1251086539771	11.5589161386691	11.192504053036	14.3340132390902	9.08155920001988	9.73418630571668	7.65659732823231	10.8638858789653	11.1063498082271	8.16500176401973	7.77232084390471	7.47104533353111	10.9713506146499	10.9711114113061	10.768440809913	14.0423628901049	9.19687716459593	7.53504487875939	8.74017425704473
ENSG00000279246	1.21583679519169	0	1.3892630313753	3.55818814936822	3.12755481603918	1.10662085458724	0	1.19531148479184	0.724234102166994	0	2.90307174026123	0	2.0035657587661	2.32286605996911	0	0	0	0	2.71420695833587	3.99558048882234	0	0.925182250848465	0	0	1.55894593286766	5.26486933600016	2.64177511485587
SULT1A1	7.10753210751591	11.7941383759487	11.3956105279123	8.25804092212112	6.12829605928806	6.35294338412577	12.3210501524023	7.33049468919477	6.2721489183147	5.16808271504759	9.05043142233722	7.43782733612333	7.73265046357787	8.48094934253404	7.91340726261466	7.77915382366123	7.60726671065534	8.63392267618977	8.10664028696196	7.00934237913876	7.21993732042317	7.22228754901865	6.74447321680122	6.22646624724014	7.87385129452112	6.69540435315657	10.2074040581591
MRC2	12.2454070339495	9.91375035458573	8.6905205042892	9.06337476234587	11.2586883704053	10.7613216457926	10.9454189898261	10.9795075951461	15.2757407842455	12.680222095745	14.452004386587	11.4489476942781	10.4002830023713	13.0714609148112	10.6937774480242	13.2454004475017	11.9132651368467	11.1605968749126	11.3392695765153	10.6438705979834	11.7138886473537	11.4628717361803	12.5479913863334	15.9350692968366	10.0174720992648	8.8886378507069	9.52108751481367
PODNL1	8.03476623421468	4.81986996880921	4.23372950294301	6.00039993917615	8.3079445116581	6.66315085718174	6.67620424387827	7.5198476402174	11.3161453928199	11.3473869978776	12.6397501396768	7.29286139035939	4.52810804487573	8.18604367690623	4.15770488942221	9.0595804146708	8.02045333259733	4.54505552500165	4.58162776695911	4.24346140901462	8.38631180917314	5.40430740831853	9.09321927422126	12.4303668412228	6.11110380494788	3.59645358559926	6.13301024955668
LSR	9.81135712006268	11.6354336806339	8.60610020997515	7.93044160210254	11.5441654876246	7.39441106945891	10.0429347878612	8.47987797190122	7.61917097517724	7.34684482959747	7.67782854775926	7.36232818610354	7.39704157024919	9.79070468190544	9.15031084802361	8.97727729076557	8.28334960432811	8.14236147073507	11.6916571543548	11.1578361151447	12.4443813392484	9.36219266211127	8.53612703846609	7.42752445978534	9.25777645550376	8.37717520809748	13.0714213510865
WNT7B	1.21583679519169	1.95150731157914	0.855769840549742	3.08110568494556	4.4198221043134	3.18171437902147	1.52372477768391	1.83991338621931	10.3111687548993	5.99813467013158	4.07385657429277	12.232340090968	0	5.78251076746877	1.26544579026993	2.59732633186615	5.09519614128151	3.07867950738292	1.62567809330205	1.99646547480993	10.561029439407	6.68058350943747	6.05763317187729	5.87948394465075	1.55894593286766	2.71105011558954	0
