gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CTD-2118P12.1	   52.810890	-7.4231830	1.0764560	-6.895947	5.350719e-12	1.618379e-07
MMP1	 4351.369000	 5.8595030	0.9158600	 6.397815	1.576161e-10	2.383628e-06
MRGPRX3	 1916.781000	-6.0450760	1.0125158	-5.970352	2.367419e-09	2.386832e-05
DRAXIN	  190.453400	 3.8670930	0.6819527	 5.670618	1.422830e-08	5.629875e-05
AC016735.2	   88.355220	 6.3432070	1.1039746	 5.745791	9.149243e-09	5.629875e-05
CTD-2134P3.1	   24.796180	-6.8071360	1.2020761	-5.662816	1.489089e-08	5.629875e-05
FOXC2	   63.569010	 3.1715520	0.5530810	 5.734336	9.789505e-09	5.629875e-05
AC012101.2	   19.145300	 3.8973800	0.6869067	 5.673813	1.396532e-08	5.629875e-05
APCDD1L	   81.688800	 3.6479490	0.6494902	 5.616634	1.947133e-08	6.543663e-05
SLC10A4	   70.865690	 4.0910420	0.7548426	 5.419729	5.968956e-08	1.722101e-04
TDRD12	  371.209900	 5.4134390	1.0004276	 5.411125	6.263013e-08	1.722101e-04
ALDH1L2	  912.766600	 2.1433970	0.3998881	 5.359992	8.322563e-08	2.097702e-04
RN7SL5P	   48.613770	 3.7496370	0.7130847	 5.258333	1.453673e-07	3.382138e-04
ZNF728	   24.545410	-5.2520800	1.0085796	-5.207403	1.915019e-07	4.137262e-04
ELN	 1163.353000	 2.8818770	0.5612051	 5.135158	2.819072e-07	5.329103e-04
CTAG2	  325.717000	-6.1693360	1.2011707	-5.136103	2.804943e-07	5.329103e-04
RP11-6B4.1	   12.044140	-6.4523510	1.2714046	-5.074978	3.875401e-07	6.511966e-04
RP11-471M2.3	    7.699700	-6.0514170	1.1899240	-5.085549	3.665644e-07	6.511966e-04
AC011893.3	   23.569590	 3.3434790	0.6646249	 5.030626	4.888820e-07	7.782487e-04
AJAP1	   75.588360	 3.5216210	0.7027954	 5.010876	5.418290e-07	7.803885e-04
SAA2	   88.956900	-4.9740880	0.9913194	-5.017644	5.230887e-07	7.803885e-04
GJB6	  140.743900	-6.0502710	1.2235853	-4.944707	7.625850e-07	1.048416e-03
CDH10	   27.033040	 6.2724080	1.2712752	 4.933950	8.058328e-07	1.049954e-03
IGFL1P1	   20.256640	-6.1251490	1.2430686	-4.927442	8.331317e-07	1.049954e-03
LRRC17	  501.601200	 3.2217570	0.6550630	 4.918240	8.732564e-07	1.056500e-03
FOXL1	  119.781800	 2.7264830	0.5558288	 4.905258	9.330464e-07	1.058438e-03
CPAMD8	   82.830660	 1.9993610	0.4078007	 4.902791	9.448463e-07	1.058438e-03
FHL5	   74.392450	 2.7204500	0.5558512	 4.894206	9.870359e-07	1.066210e-03
RP11-527N22.1	   19.340530	 2.7455370	0.5635810	 4.871594	1.107017e-06	1.120104e-03
MYBPC1	   46.234240	-4.1612720	0.8543154	-4.870885	1.110994e-06	1.120104e-03
PHACTR3	   48.113960	 3.4300450	0.7058713	 4.859307	1.177976e-06	1.149324e-03
PCDHA7	   33.622990	-3.6492560	0.7554918	-4.830306	1.363233e-06	1.288511e-03
SAA1	  713.269600	-4.7788260	0.9968557	-4.793900	1.635700e-06	1.499194e-03
RP6-114E22.1	    6.464231	-5.3001080	1.1073243	-4.786410	1.697910e-06	1.510441e-03
VCX	   58.758030	-5.7517830	1.2036478	-4.778627	1.764964e-06	1.525232e-03
AC005280.2	    8.765682	 3.7462070	0.7861808	 4.765071	1.887875e-06	1.566884e-03
RP11-76E17.3	   32.142040	-3.5501380	0.7463567	-4.756624	1.968577e-06	1.566884e-03
TMEM100	  115.157700	 3.2024980	0.6726857	 4.760765	1.928609e-06	1.566884e-03
CRLF1	  177.471300	 2.6918500	0.5729245	 4.698437	2.621602e-06	2.033153e-03
HAPLN1	  133.388600	 4.0716340	0.8694061	 4.683236	2.823813e-06	2.135226e-03
STC2	  593.896700	 2.2462320	0.4808244	 4.671628	2.988223e-06	2.180202e-03
STC1	 1044.206000	 2.4577200	0.5263969	 4.668948	3.027458e-06	2.180202e-03
RNA5-8S5	   94.632620	 5.0063630	1.0742104	 4.660505	3.154346e-06	2.218752e-03
RP11-676J12.7	   32.514220	 3.0883570	0.6633636	 4.655602	3.230350e-06	2.220572e-03
COL9A2	  983.150700	 3.5222810	0.7614623	 4.625680	3.733714e-06	2.352706e-03
INHBA	 3453.693000	 3.3106780	0.7145882	 4.632987	3.604269e-06	2.352706e-03
FZD8	  455.653500	 2.4591310	0.5313046	 4.628476	3.683659e-06	2.352706e-03
