NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OMD	osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]	91	4.388077735900879	0.034001283	No	
row_1	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	501	2.371154308319092	0.041912097	No	
row_2	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]	675	2.0604259967803955	0.054089718	No	
row_3	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	810	1.9051010608673096	0.066104084	No	
row_4	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	823	1.8887025117874146	0.08152874	No	
row_5	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	853	1.8384648561477661	0.09603954	No	
row_6	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	869	1.8211888074874878	0.11081312	No	
row_7	CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	893	1.7964558601379395	0.12514754	No	
row_8	SLC66A3	solute carrier family 66 member 3 [Source:HGNC Symbol;Acc:HGNC:28503]	931	1.7550150156021118	0.1387288	No	
row_9	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	935	1.753605604171753	0.15328687	No	
row_10	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	1403	1.4213881492614746	0.15157929	No	
row_11	ANGPT1	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	1774	1.2342486381530762	0.15112916	No	
row_12	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	1953	1.1575466394424438	0.15562098	No	
row_13	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	2413	0.9900360703468323	0.15054356	No	
row_14	SOWAHC	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	2691	0.9123115539550781	0.15010878	No	
row_15	SNCG	synuclein gamma [Source:HGNC Symbol;Acc:HGNC:11141]	2697	0.9109664559364319	0.15757138	No	
row_16	LAMA4	laminin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6484]	2717	0.9060847759246826	0.16458613	No	
row_17	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	2781	0.8905810713768005	0.17019208	No	
row_18	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	3205	0.7959098815917969	0.16454013	No	
row_19	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	3240	0.7868912220001221	0.1701233	No	
row_20	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]	3387	0.7568187713623047	0.17219885	No	
row_21	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]	3737	0.69617760181427	0.16786559	No	
row_22	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	3796	0.6869160532951355	0.171916	No	
row_23	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	3864	0.677550196647644	0.1756265	No	
row_24	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	4086	0.6405805945396423	0.17455061	No	
row_25	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]	4218	0.6199082136154175	0.17591888	No	
row_26	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	4225	0.6189470291137695	0.18091358	No	
row_27	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	4326	0.6050857305526733	0.1830594	No	
row_28	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	4562	0.5759022831916809	0.18103628	No	
row_29	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	5172	0.5038612484931946	0.1675372	No	
row_30	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]	5874	0.43251651525497437	0.15076733	No	
row_31	PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	5926	0.42728543281555176	0.15285295	No	
row_32	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	6035	0.4177473783493042	0.15320161	No	
row_33	CD302	CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	6079	0.4131932556629181	0.15540215	No	
row_34	APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	6346	0.391013503074646	0.15093358	No	
row_35	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	6479	0.3798051178455353	0.15026754	No	
row_36	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	6940	0.3445829153060913	0.13977052	No	
row_37	NKIRAS1	NFKB inhibitor interacting Ras like 1 [Source:HGNC Symbol;Acc:HGNC:17899]	7353	0.3127598166465759	0.13040337	No	
row_38	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	7389	0.31104815006256104	0.13198344	No	
row_39	ACADL	acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]	7634	0.29405754804611206	0.12734482	No	
row_40	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	7746	0.28638625144958496	0.12650917	No	
row_41	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	7905	0.2745278775691986	0.12420794	No	
row_42	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	8132	0.26119551062583923	0.119818226	No	
row_43	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	8577	0.23552332818508148	0.1088756	No	
row_44	CD151	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	8628	0.23268945515155792	0.10936513	No	
row_45	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	8684	0.2292260229587555	0.109680355	No	
row_46	GPAT4	glycerol-3-phosphate acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20880]	8767	0.22466245293617249	0.109172426	No	
row_47	TANK	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	8770	0.2246215045452118	0.110990204	No	
row_48	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	8950	0.21477732062339783	0.10757938	No	
row_49	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	9264	0.19813795387744904	0.10013345	No	
row_50	ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	9413	0.19085241854190826	0.09742416	No	
row_51	SPARCL1	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	9507	0.18537428975105286	0.096268274	No	
row_52	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	9509	0.1852712780237198	0.0977865	No	
row_53	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	9981	0.16377440094947815	0.08545962	No	
row_54	UCK1	uridine-cytidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:14859]	10164	0.1556244194507599	0.08146755	No	
row_55	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	10637	0.13631266355514526	0.06888224	No	
row_56	DHRS7B	dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]	10789	0.13029234111309052	0.06557996	No	
row_57	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	10874	0.1268266886472702	0.064196795	No	
row_58	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	11004	0.12118802219629288	0.061458137	No	
row_59	PREB	prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]	11237	0.11507464945316315	0.05567363	No	
row_60	ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]	11335	0.1116548553109169	0.053785775	No	
row_61	CMBL	carboxymethylenebutenolidase homolog [Source:HGNC Symbol;Acc:HGNC:25090]	12048	0.08691468089818954	0.03380976	No	
row_62	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]	12442	0.07721741497516632	0.0230279	No	
row_63	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	12464	0.07645508646965027	0.023055827	No	
row_64	MRAP	melanocortin 2 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:1304]	12609	0.07172390073537827	0.019467933	No	
row_65	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	12659	0.06952860206365585	0.018623896	No	
row_66	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	12704	0.06807716190814972	0.017913114	No	
row_67	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	12900	0.06281076371669769	0.012767922	No	
row_68	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	13048	0.05753476545214653	0.0089743	No	
row_69	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	13081	0.05638273060321808	0.00851476	No	
row_70	CYP4B1	cytochrome P450 family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2644]	13464	0.04714703932404518	-0.002198401	No	
row_71	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	13869	0.04556345194578171	-0.0135644525	No	
row_72	ELMOD3	ELMO domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26158]	14144	0.03774463012814522	-0.021215964	No	
row_73	ESYT1	extended synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:29534]	14195	0.03657420352101326	-0.022364298	No	
row_74	LIPE	lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]	14260	0.03484620153903961	-0.023934122	No	
row_75	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	14281	0.034206029027700424	-0.024229962	No	
row_76	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	14542	0.026414021849632263	-0.031569045	No	
row_77	SLC5A6	solute carrier family 5 member 6 [Source:HGNC Symbol;Acc:HGNC:11041]	14547	0.02631443552672863	-0.03146558	No	
row_78	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	14551	0.02611168846487999	-0.031334735	No	
row_79	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]	14572	0.025126468390226364	-0.031706404	No	
row_80	ADIG	adipogenin [Source:HGNC Symbol;Acc:HGNC:28606]	14805	0.022568339481949806	-0.03826348	No	
row_81	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	15069	0.01759551279246807	-0.045763437	No	
row_82	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	16001	0.01653122343122959	-0.07269484	No	
row_83	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	16058	0.014494623988866806	-0.07420202	No	
row_84	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	16196	0.01002307515591383	-0.07810169	No	
row_85	SDHB	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]	16439	0.004544965457171202	-0.08510004	No	
row_86	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	16447	0.0042215995490550995	-0.08526832	No	
row_87	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	16448	0.004215109162032604	-0.085233115	No	
row_88	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	16565	4.765086341649294E-4	-0.08860191	No	
row_89	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	17426	-0.006996383424848318	-0.11354857	No	
row_90	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	17770	-0.018406659364700317	-0.12336781	No	
row_91	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	17808	-0.019749628379940987	-0.124278665	No	
row_92	DDT	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	18457	-0.028956718742847443	-0.14287788	No	
row_93	DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	18583	-0.03235403820872307	-0.14624213	No	
row_94	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	19726	-0.043864864856004715	-0.17908022	No	
row_95	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	20099	-0.05454692617058754	-0.18944083	No	
row_96	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	20143	-0.05645221471786499	-0.19021961	No	
row_97	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]	20631	-0.06096398085355759	-0.20387033	No	
row_98	RETN	resistin [Source:HGNC Symbol;Acc:HGNC:20389]	20800	-0.0659828707575798	-0.20820399	No	
row_99	COQ5	coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]	21207	-0.07935942709445953	-0.21934594	No	
row_100	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	21576	-0.08513505011796951	-0.22933479	No	
row_101	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	21597	-0.08640684932470322	-0.22919467	No	
row_102	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	21820	-0.09381687641143799	-0.23486596	No	
row_103	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	22014	-0.09999023377895355	-0.2396425	No	
row_104	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	22762	-0.12602606415748596	-0.26030952	No	
row_105	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	22774	-0.12635551393032074	-0.2595741	No	
row_106	ACAA2	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]	22775	-0.12643028795719147	-0.2585182	No	
row_107	FABP4	fatty acid binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3559]	22814	-0.1276744157075882	-0.2585568	No	
row_108	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	22905	-0.1320871263742447	-0.26007047	No	
row_109	MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	23030	-0.13640320301055908	-0.2625367	No	
row_110	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	23206	-0.14268270134925842	-0.26643333	No	
