NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	28	5.443182945251465	0.050886486	Yes	
row_1	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	123	3.9803152084350586	0.08595938	Yes	
row_2	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	133	3.854255437850952	0.122306295	Yes	
row_3	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	494	2.3886561393737793	0.13452736	Yes	
row_4	IL11	interleukin 11 [Source:HGNC Symbol;Acc:HGNC:5966]	960	1.731773853302002	0.13745633	Yes	
row_5	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	970	1.7176439762115479	0.15350923	Yes	
row_6	CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	1408	1.4204109907150269	0.15429491	Yes	
row_7	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	1474	1.3825042247772217	0.16553637	Yes	
row_8	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	1552	1.3409065008163452	0.17603385	Yes	
row_9	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	1660	1.286555528640747	0.18514283	Yes	
row_10	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	1690	1.2712938785552979	0.1963747	Yes	
row_11	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	1736	1.2506085634231567	0.2069449	Yes	
row_12	ZAP70	zeta chain of T cell receptor associated protein kinase 70 [Source:HGNC Symbol;Acc:HGNC:12858]	1743	1.2467423677444458	0.21861228	Yes	
row_13	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	1748	1.2442265748977661	0.23031393	Yes	
row_14	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1893	1.1850162744522095	0.23738271	Yes	
row_15	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2143	1.0807650089263916	0.24040842	Yes	
row_16	CD8B	CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]	2268	1.0364922285079956	0.24664798	Yes	
row_17	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	2274	1.0349537134170532	0.2563328	Yes	
row_18	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]	2586	0.9421521425247192	0.25623932	Yes	
row_19	IGSF6	immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]	2712	0.9068551063537598	0.2612185	Yes	
row_20	SIT1	signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710]	2780	0.8906098008155823	0.2677297	Yes	
row_21	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	2783	0.8904457688331604	0.2761292	Yes	
row_22	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	2845	0.8742800354957581	0.28265974	Yes	
row_23	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	2869	0.8671107888221741	0.29022703	Yes	
row_24	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	2909	0.8587145805358887	0.29724938	Yes	
row_25	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	2959	0.847339928150177	0.30387294	Yes	
row_26	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	3076	0.8234972357749939	0.308322	Yes	
row_27	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	3377	0.7583666443824768	0.3068027	Yes	
row_28	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	3380	0.7579687237739563	0.31394392	Yes	
row_29	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	3468	0.7407679557800293	0.3184504	Yes	
row_30	IL27RA	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]	3525	0.730789065361023	0.3237634	Yes	
row_31	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	3599	0.7170513272285461	0.32845163	Yes	
row_32	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	3680	0.704246461391449	0.33281475	Yes	
row_33	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	3691	0.7029106020927429	0.3392004	Yes	
