NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	121	4.032424449920654	0.022706136	Yes	
row_1	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	127	3.953765869140625	0.04827341	Yes	
row_2	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	154	3.6839942932128906	0.0714757	Yes	
row_3	ACTG2	actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]	258	3.0381548404693604	0.08823912	Yes	
row_4	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	298	2.9207918643951416	0.106100075	Yes	
row_5	THBS3	thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]	440	2.5312228202819824	0.11846191	Yes	
row_6	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	473	2.45500111579895	0.1334972	Yes	
row_7	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	494	2.3886561393737793	0.14844991	Yes	
row_8	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	510	2.3565478324890137	0.16333921	Yes	
row_9	CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	516	2.342510938644409	0.17842796	Yes	
row_10	PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	585	2.2004475593566895	0.1907611	Yes	
row_11	CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	689	2.0453929901123047	0.20106827	Yes	
row_12	MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	798	1.9165805578231812	0.21039234	Yes	
row_13	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	806	1.9084041118621826	0.2225998	Yes	
row_14	CLDN18	claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]	883	1.8068517446517944	0.23214068	Yes	
row_15	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma [Source:HGNC Symbol;Acc:HGNC:9306]	930	1.7554913759231567	0.24221978	Yes	
row_16	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	966	1.7251431941986084	0.25242132	Yes	
row_17	RRAS	RAS related [Source:HGNC Symbol;Acc:HGNC:10447]	1017	1.688043475151062	0.2619455	Yes	
row_18	FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	1053	1.6657061576843262	0.27176052	Yes	
row_19	NEGR1	neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]	1063	1.6576025485992432	0.28227878	Yes	
row_20	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	1522	1.3519225120544434	0.27775452	Yes	
row_21	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	1535	1.3467811346054077	0.28616416	Yes	
row_22	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	1566	1.3308711051940918	0.293947	Yes	
row_23	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	1568	1.3305667638778687	0.30257106	Yes	
row_24	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	1646	1.2934941053390503	0.3087443	Yes	
row_25	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	1660	1.286555528640747	0.31673324	Yes	
