NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	97	4.302287578582764	0.037792098	Yes	
row_1	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	148	3.753786087036133	0.071771905	Yes	
row_2	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	154	3.6839942932128906	0.10639987	Yes	
row_3	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	380	2.6689453125	0.1250574	Yes	
row_4	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	426	2.564007520675659	0.14795211	Yes	
row_5	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	463	2.4820730686187744	0.17033483	Yes	
row_6	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	574	2.2246878147125244	0.18813893	Yes	
row_7	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	697	2.0407700538635254	0.20385852	Yes	
row_8	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	754	1.98150634765625	0.22093555	Yes	
row_9	NEFH	neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737]	847	1.8432846069335938	0.23566236	Yes	
row_10	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	892	1.7965341806411743	0.25134194	Yes	
row_11	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	991	1.7008951902389526	0.26455048	Yes	
row_12	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	1474	1.3825042247772217	0.26360133	Yes	
row_13	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	1486	1.3696542978286743	0.27621	Yes	
row_14	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1500	1.359955072402954	0.28866905	Yes	
row_15	IGFBP6	insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]	1533	1.3473161458969116	0.30045697	Yes	
row_16	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1587	1.321380615234375	0.31139022	Yes	
row_17	PLPPR4	phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]	1598	1.317341685295105	0.32353416	Yes	
row_18	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	1748	1.2442265748977661	0.33095104	Yes	
row_19	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2143	1.0807650089263916	0.3297095	Yes	
row_20	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	2343	1.011671781539917	0.33347917	Yes	
row_21	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	2362	1.0053247213363647	0.34244564	Yes	
row_22	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	2471	0.9734254479408264	0.34849718	Yes	
row_23	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	2783	0.8904457688331604	0.34786978	Yes	
row_24	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	2796	0.8859594464302063	0.35588384	Yes	
row_25	PEA15	proliferation and apoptosis adaptor protein 15 [Source:HGNC Symbol;Acc:HGNC:8822]	3062	0.8261973857879639	0.35598597	Yes	
row_26	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3203	0.7959961891174316	0.35943338	Yes	
row_27	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	3283	0.7789072394371033	0.3644911	Yes	
row_28	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3352	0.7631147503852844	0.36971924	Yes	
row_29	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	3599	0.7170513272285461	0.36934295	Yes	
row_30	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	3671	0.7049488425254822	0.37393492	Yes	
row_31	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	3848	0.6796368360519409	0.37523848	Yes	
row_32	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	4031	0.6496118307113647	0.3760844	Yes	
