NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOAT2	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178]	188	3.4148478507995605	0.035630476	No	
row_1	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	628	2.116152286529541	0.04835746	No	
row_2	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	1899	1.1829403638839722	0.025757095	No	
row_3	DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	2481	0.9715474843978882	0.020595558	No	
row_4	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	2837	0.8751903772354126	0.02082912	No	
row_5	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	3827	0.6820600628852844	3.5226514E-4	No	
row_6	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	3857	0.6785291433334351	0.0076743523	No	
row_7	AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	4846	0.5403159856796265	-0.01447877	No	
row_8	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	5238	0.49640676379203796	-0.019846266	No	
row_9	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	5250	0.4946436583995819	-0.0142144095	No	
row_10	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	5412	0.47840616106987	-0.013128122	No	
row_11	KLF1	Kruppel like factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]	5439	0.4758489429950714	-0.0081574	No	
row_12	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	5899	0.4299538731575012	-0.016296465	No	
