NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	39	5.204237937927246	0.041438576	Yes	
row_1	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	63	4.686746120452881	0.079109095	Yes	
row_2	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	320	2.8478639125823975	0.09496227	Yes	
row_3	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	742	1.994937539100647	0.09904071	Yes	
row_4	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	766	1.9628281593322754	0.1144286	Yes	
row_5	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	819	1.891494870185852	0.12838978	Yes	
row_6	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	834	1.8595645427703857	0.14319462	Yes	
row_7	ZEB1	zinc finger E-box binding homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11642]	856	1.8361787796020508	0.15760463	Yes	
row_8	SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	1082	1.6418615579605103	0.16449362	Yes	
row_9	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	1269	1.5067596435546875	0.17141137	Yes	
row_10	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1315	1.4779860973358154	0.18219341	Yes	
row_11	CR1	complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]	1347	1.454378366470337	0.19318941	Yes	
row_12	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	1539	1.3445773124694824	0.19863507	Yes	
row_13	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	1552	1.3409065008163452	0.20925526	Yes	
row_14	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	1558	1.3348993062973022	0.22002983	Yes	
row_15	NOTCH4	notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]	1846	1.2043503522872925	0.22153713	Yes	
row_16	HPCAL4	hippocalcin like 4 [Source:HGNC Symbol;Acc:HGNC:18212]	2263	1.0379589796066284	0.21793252	Yes	
row_17	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	2498	0.9661703109741211	0.21903244	Yes	
row_18	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	2716	0.9061928987503052	0.22013599	Yes	
row_19	F7	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]	2718	0.905941367149353	0.22751784	Yes	
row_20	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	2845	0.8742800354957581	0.23100623	Yes	
row_21	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	2972	0.8455039262771606	0.23425922	Yes	
row_22	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	3051	0.8280609846115112	0.23876515	Yes	
row_23	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]	3285	0.7784723043441772	0.23835869	Yes	
row_24	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	3377	0.7583666443824768	0.24191652	Yes	
row_25	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	3524	0.7307953834533691	0.24364965	Yes	
row_26	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	3561	0.7238250374794006	0.24852407	Yes	
row_27	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	3599	0.7170513272285461	0.253314	Yes	
row_28	GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	3679	0.7042847275733948	0.25677833	Yes	
row_29	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	3796	0.6869160532951355	0.25902477	Yes	
row_30	PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	4004	0.6527554988861084	0.25834587	Yes	
