NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	447	2.5208699703216553	0.024300622	No	
row_1	POLR3C	RNA polymerase III subunit C [Source:HGNC Symbol;Acc:HGNC:30076]	1829	1.2102612257003784	0.002103697	No	
row_2	POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	2607	0.9338228702545166	-0.006645441	No	
row_3	TAF12	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	3325	0.7675492763519287	-0.016111448	No	
row_4	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	3353	0.7627423405647278	-0.0056160213	No	
row_5	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	3423	0.7472925782203674	0.0034315658	No	
row_6	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	3430	0.7463867664337158	0.014294813	No	
row_7	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	4088	0.6404539942741394	0.0046913014	No	
row_8	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	4106	0.6373931169509888	0.013623411	No	
row_9	DGUOK	deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858]	4140	0.6330058574676514	0.02202612	No	
row_10	CETN2	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	4278	0.6099799871444702	0.027068932	No	
row_11	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	5138	0.507619321346283	0.00963649	No	
row_12	SF3A3	splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]	5201	0.5004749894142151	0.015237408	No	
row_13	GTF2B	general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]	5302	0.4902355372905731	0.019583667	No	
row_14	EDF1	endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]	5459	0.4737367331981659	0.022060115	No	
row_15	MPG	N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]	5474	0.47154173254966736	0.02862674	No	
row_16	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	5977	0.4216110110282898	0.020287072	No	
row_17	ZNF707	zinc finger protein 707 [Source:HGNC Symbol;Acc:HGNC:27815]	6221	0.4017888009548187	0.019173728	No	
row_18	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	6704	0.3628863990306854	0.010546302	No	
row_19	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	6879	0.3486281633377075	0.010650081	No	
row_20	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	6966	0.3429321050643921	0.013224497	No	
row_21	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	7031	0.33801335096359253	0.016364895	No	
row_22	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	7117	0.33059051632881165	0.018785838	No	
row_23	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	7450	0.30631524324417114	0.013676743	No	
row_24	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	7554	0.2994500398635864	0.0151146	No	
row_25	GTF3C5	general transcription factor IIIC subunit 5 [Source:HGNC Symbol;Acc:HGNC:4668]	7799	0.28231218457221985	0.012205423	No	
row_26	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	7902	0.2748032510280609	0.01330784	No	
row_27	NME4	NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]	7913	0.2735225260257721	0.01706232	No	
row_28	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	7963	0.27063772082328796	0.019641865	No	
row_29	SNAPC4	small nuclear RNA activating complex polypeptide 4 [Source:HGNC Symbol;Acc:HGNC:11137]	8117	0.2618512213230133	0.019072086	No	
row_30	CSTF3	cleavage stimulation factor subunit 3 [Source:HGNC Symbol;Acc:HGNC:2485]	8323	0.25004643201828003	0.016818041	No	
row_31	ELL	elongation factor for RNA polymerase II [Source:HGNC Symbol;Acc:HGNC:23114]	8451	0.24260199069976807	0.016718455	No	
row_32	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	8496	0.24039031565189362	0.01899587	No	
row_33	ADRM1	adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759]	8698	0.22852188348770142	0.016539656	No	
row_34	GTF2H3	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	8718	0.2276512235403061	0.019354504	No	
row_35	NELFB	negative elongation factor complex member B [Source:HGNC Symbol;Acc:HGNC:24324]	8851	0.2194451540708542	0.018767314	No	
row_36	VPS28	VPS28 subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18178]	8877	0.21839949488639832	0.021271154	No	
row_37	DAD1	defender against cell death 1 [Source:HGNC Symbol;Acc:HGNC:2664]	9359	0.1935306340456009	0.010168357	No	
row_38	DGCR8	DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]	9429	0.190117746591568	0.010976534	No	
