NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	403	2.6163933277130127	0.013903473	Yes	
row_1	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	693	2.0421266555786133	0.02549808	Yes	
row_2	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	801	1.9144636392593384	0.041134324	Yes	
row_3	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	846	1.8439384698867798	0.05791172	Yes	
row_4	UBE2T	ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]	1098	1.6294267177581787	0.06656985	Yes	
row_5	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	1172	1.5764659643173218	0.07988483	Yes	
row_6	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	1219	1.5418002605438232	0.093645394	Yes	
row_7	CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	1285	1.497938871383667	0.106424004	Yes	
row_8	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1363	1.44684898853302	0.11835342	Yes	
row_9	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	1366	1.4442873001098633	0.13243842	Yes	
row_10	DDX39A	DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]	1397	1.4254719018936157	0.14552505	Yes	
row_11	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	1650	1.2912096977233887	0.15084212	Yes	
row_12	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	1772	1.236308217048645	0.15943047	Yes	
row_13	SPAG5	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	2095	1.099464774131775	0.1608346	Yes	
row_14	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	2116	1.0899676084518433	0.17092657	Yes	
row_15	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	2184	1.0666735172271729	0.17942387	Yes	
row_16	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	2234	1.0478756427764893	0.18826047	Yes	
row_17	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	2235	1.0471572875976562	0.19851473	Yes	
row_18	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]	2241	1.0447375774383545	0.20859991	Yes	
row_19	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	2253	1.0406079292297363	0.21847022	Yes	
row_20	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	2281	1.0316956043243408	0.22778803	Yes	
row_21	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	2385	0.9979484677314758	0.23456562	Yes	
row_22	DCLRE1B	DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]	2457	0.9776062965393066	0.24207443	Yes	
row_23	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	2472	0.9733413457870483	0.2511988	Yes	
row_24	NCAPD2	non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]	2540	0.9564090371131897	0.25861633	Yes	
row_25	TIMELESS	timeless circadian regulator [Source:HGNC Symbol;Acc:HGNC:11813]	2549	0.9545451998710632	0.2677311	Yes	
row_26	GINS4	GINS complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28226]	2597	0.9392485618591309	0.2755621	Yes	
row_27	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	2629	0.927151083946228	0.28373986	Yes	
row_28	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	2680	0.9144479036331177	0.29124078	Yes	
row_29	SPC25	SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]	2743	0.8990225791931152	0.29824176	Yes	
row_30	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	2822	0.8799557685852051	0.3045908	Yes	
row_31	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	2824	0.8794655799865723	0.3131739	Yes	
row_32	CSE1L	chromosome segregation 1 like [Source:HGNC Symbol;Acc:HGNC:2431]	2923	0.8556070327758789	0.31870297	Yes	
row_33	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	2935	0.8532377481460571	0.32673845	Yes	
row_34	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	2964	0.8464058637619019	0.33421275	Yes	
row_35	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	3162	0.8040262460708618	0.33635825	Yes	
row_36	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	3257	0.7835901975631714	0.34129843	Yes	
row_37	DNMT1	DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976]	3278	0.7804906368255615	0.34835985	Yes	
row_38	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	3353	0.7627423405647278	0.3536774	Yes	
row_39	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	3423	0.7472925782203674	0.358989	Yes	
row_40	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	3504	0.7339158654212952	0.3638498	Yes	
row_41	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	3620	0.7124212980270386	0.36748245	Yes	
row_42	AURKB	aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]	3756	0.693628191947937	0.3703496	Yes	
row_43	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	3758	0.6933509111404419	0.37711012	Yes	
row_44	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	4031	0.6496118307113647	0.37556285	Yes	
row_45	SMC6	structural maintenance of chromosomes 6 [Source:HGNC Symbol;Acc:HGNC:20466]	4044	0.6480246186256409	0.38155973	Yes	
row_46	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	4068	0.6432135701179504	0.38718963	Yes	
row_47	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	4124	0.6352680325508118	0.3918113	Yes	
row_48	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	4240	0.6163145899772644	0.39450285	Yes	
row_49	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	4288	0.6087537407875061	0.3990975	Yes	
row_50	DEPDC1	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	4309	0.6066635251045227	0.40445673	Yes	
row_51	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	4326	0.6050857305526733	0.40991682	Yes	
row_52	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	4604	0.5700433850288391	0.40744498	Yes	
row_53	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	4649	0.5644676089286804	0.4116932	Yes	
row_54	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	4711	0.5577953457832336	0.4153818	Yes	
row_55	SRSF1	serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	4783	0.5498571395874023	0.41870186	Yes	
row_56	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	4895	0.5348331332206726	0.42071182	Yes	
row_57	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	4920	0.5322325825691223	0.42522585	Yes	
row_58	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	4995	0.5225531458854675	0.42819136	Yes	
row_59	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	5080	0.513901948928833	0.43078136	Yes	
row_60	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	5111	0.5102187991142273	0.4349054	Yes	
row_61	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	5138	0.507619321346283	0.4391203	Yes	
row_62	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	5229	0.49707603454589844	0.44137108	Yes	
row_63	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	5290	0.4914811849594116	0.44443935	Yes	
row_64	RAD1	RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806]	5321	0.4884200692176819	0.44834992	Yes	
