NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	0	9.802399635314941	0.03602798	Yes	
row_1	FOXC2	forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]	2	8.009239196777344	0.06543626	Yes	
row_2	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	10	6.549893856048584	0.08930637	Yes	
row_3	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	22	5.581433296203613	0.10950067	Yes	
row_4	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	28	5.443182945251465	0.1293613	Yes	
row_5	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	29	5.433720588684082	0.14933252	Yes	
row_6	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	48	5.011040210723877	0.16722687	Yes	
row_7	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	55	4.9040703773498535	0.18507695	Yes	
row_8	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	79	4.48529052734375	0.20089355	Yes	
row_9	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	81	4.454706192016602	0.21723741	Yes	
row_10	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	97	4.302287578582764	0.23261401	Yes	
row_11	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	100	4.254444122314453	0.24819274	Yes	
row_12	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	127	3.953765869140625	0.26196855	Yes	
row_13	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	140	3.789637327194214	0.27554816	Yes	
row_14	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	154	3.6839942932128906	0.28871042	Yes	
row_15	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	160	3.6532034873962402	0.30199212	Yes	
row_16	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	232	3.1463136672973633	0.3114918	Yes	
row_17	MATN3	matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]	255	3.0494258403778076	0.32206005	Yes	
row_18	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]	267	3.0064167976379395	0.33279008	Yes	
row_19	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	278	2.9637537002563477	0.34339237	Yes	
row_20	ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	279	2.9591615200042725	0.35426855	Yes	
row_21	ECM2	extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]	290	2.9412381649017334	0.3647881	Yes	
row_22	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	296	2.9250073432922363	0.37539336	Yes	
row_23	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	327	2.8213276863098145	0.38489068	Yes	
row_24	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	362	2.724794387817383	0.39391688	Yes	
row_25	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	380	2.6689453125	0.4032321	Yes	
row_26	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	445	2.5216243267059326	0.4106393	Yes	
row_27	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	463	2.4820730686187744	0.41926765	Yes	
row_28	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	473	2.45500111579895	0.42802915	Yes	
row_29	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	493	2.396674394607544	0.43628553	Yes	
row_30	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	501	2.371154308319092	0.44479698	Yes	
row_31	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	510	2.3565478324890137	0.4532257	Yes	
row_32	PCOLCE2	procollagen C-endopeptidase enhancer 2 [Source:HGNC Symbol;Acc:HGNC:8739]	563	2.25191330909729	0.4599905	Yes	
row_33	MMP3	matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]	584	2.200913190841675	0.46749827	Yes	
row_34	SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	604	2.156566619873047	0.4748721	Yes	
row_35	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	640	2.0991358757019043	0.4815697	Yes	
row_36	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	644	2.0941052436828613	0.4891792	Yes	
row_37	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	697	2.0407700538635254	0.49516794	Yes	
