NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	24	5.524587154388428	0.039505184	No	
row_1	PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	179	3.4763588905334473	0.060325358	No	
row_2	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	202	3.3215389251708984	0.08385688	No	
row_3	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	355	2.7585134506225586	0.09951137	No	
row_4	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	374	2.6909077167510986	0.11857003	No	
row_5	PGR	progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]	492	2.3980462551116943	0.13261901	No	
row_6	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	754	1.98150634765625	0.13944988	No	
row_7	MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]	778	1.9451090097427368	0.1529359	No	
row_8	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	1293	1.492989182472229	0.14885564	No	
row_9	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	1414	1.4150495529174805	0.15566403	No	
row_10	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	1473	1.3844501972198486	0.16405243	No	
row_11	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	1613	1.3092120885849	0.16953817	No	
row_12	MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	1795	1.222900629043579	0.17317465	No	
row_13	FCMR	Fc fragment of IgM receptor [Source:HGNC Symbol;Acc:HGNC:14315]	1875	1.1912968158721924	0.17954686	No	
row_14	OLFML3	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	1996	1.1359291076660156	0.18432406	No	
row_15	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	2066	1.1076123714447021	0.19037805	No	
row_16	GFRA1	GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243]	2339	1.0125242471694946	0.18983771	No	
row_17	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	2412	0.9901103377342224	0.1949494	No	
row_18	ZNF185	zinc finger protein 185 with LIM domain [Source:HGNC Symbol;Acc:HGNC:12976]	2525	0.9605065584182739	0.19868264	No	
row_19	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	2773	0.8925790190696716	0.19799633	No	
row_20	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	2778	0.8906435370445251	0.20436133	No	
