NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	142	3.7852859497070312	0.01881298	Yes	
row_1	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	148	3.753786087036133	0.041418415	Yes	
row_2	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	189	3.3942770957946777	0.060827304	Yes	
row_3	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	196	3.359896659851074	0.08101639	Yes	
row_4	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	202	3.3215389251708984	0.10100208	Yes	
row_5	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	203	3.316328763961792	0.12110157	Yes	
row_6	PLAC1	placenta enriched 1 [Source:HGNC Symbol;Acc:HGNC:9044]	312	2.8889665603637695	0.13547075	Yes	
row_7	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	323	2.8425676822662354	0.15240812	Yes	
row_8	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	355	2.7585134506225586	0.16822547	Yes	
row_9	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	374	2.6909077167510986	0.18401107	Yes	
row_10	PGR	progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]	492	2.3980462551116943	0.19514321	Yes	
row_11	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	537	2.3023581504821777	0.20781793	Yes	
row_12	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	601	2.167774200439453	0.21912453	Yes	
row_13	TPSAB1	tryptase alpha/beta 1 [Source:HGNC Symbol;Acc:HGNC:12019]	1150	1.5880346298217773	0.21281576	Yes	
row_14	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1363	1.44684898853302	0.21542072	Yes	
row_15	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	1414	1.4150495529174805	0.22254322	Yes	
row_16	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	1473	1.3844501972198486	0.22924766	Yes	
row_17	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	1613	1.3092120885849	0.23314098	Yes	
row_18	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	1962	1.153184175491333	0.2300118	Yes	
row_19	STIL	STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]	2051	1.114695429801941	0.23420906	Yes	
row_20	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	2202	1.0590016841888428	0.23626606	Yes	
row_21	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	2245	1.0430508852005005	0.24136657	Yes	
row_22	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	2412	0.9901103377342224	0.24254084	Yes	
row_23	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	2559	0.9506137371063232	0.24405722	Yes	
row_24	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	2670	0.9159348011016846	0.24641016	Yes	
row_25	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	2773	0.8925790190696716	0.24885416	Yes	
row_26	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	2851	0.8721778988838196	0.2519014	Yes	
row_27	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	2961	0.8465192914009094	0.2538627	Yes	
row_28	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	3093	0.8184716701507568	0.25501436	Yes	
row_29	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	3161	0.8041238784790039	0.25793988	Yes	
row_30	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	3206	0.795247495174408	0.26148036	Yes	
row_31	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	3283	0.7789072394371033	0.2639914	Yes	
row_32	GPER1	G protein-coupled estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:4485]	3409	0.751258909702301	0.26491013	Yes	
row_33	FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	3414	0.7492570877075195	0.26933488	Yes	
row_34	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	3453	0.7429017424583435	0.2727326	Yes	
row_35	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	3479	0.7383517622947693	0.27648064	Yes	
row_36	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	3505	0.7338955998420715	0.28020173	Yes	
row_37	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	3537	0.7276178598403931	0.2837103	Yes	
row_38	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	3580	0.7201565504074097	0.28685382	Yes	
row_39	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	3998	0.6536043882369995	0.2786906	Yes	
row_40	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	4031	0.6496118307113647	0.28169733	Yes	
row_41	RAPGEFL1	Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]	4055	0.6456642746925354	0.28494182	Yes	
row_42	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	4167	0.6271770596504211	0.28551558	Yes	
row_43	NAB2	NGFI-A binding protein 2 [Source:HGNC Symbol;Acc:HGNC:7627]	4192	0.6236029863357544	0.2885973	Yes	
row_44	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	4305	0.6071877479553223	0.28902084	Yes	
row_45	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	4495	0.5839054584503174	0.28706443	Yes	
row_46	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	4528	0.5805190801620483	0.2896524	Yes	
row_47	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	4801	0.5471141934394836	0.28505975	No	
row_48	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	4822	0.5442050099372864	0.28777653	No	
