NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	347	2.774437427520752	0.018508999	No	
row_1	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	935	1.753605604171753	0.019530373	No	
row_2	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	1341	1.4574174880981445	0.022785343	No	
row_3	XIST	X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]	1779	1.2329529523849487	0.022798294	No	
row_4	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	2066	1.1076123714447021	0.02590489	No	
row_5	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	2240	1.0454237461090088	0.031652283	No	
row_6	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	2273	1.0350803136825562	0.041387774	No	
row_7	GAD2	glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]	2309	1.0195496082305908	0.050876126	No	
row_8	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	2347	1.0092482566833496	0.06020026	No	
row_9	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	2406	0.9917520880699158	0.06873428	No	
row_10	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	2565	0.9495908617973328	0.073929876	No	
row_11	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	2864	0.8692546486854553	0.07423211	No	
row_12	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	3052	0.8280510306358337	0.07733328	No	
row_13	NTHL1	nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]	3412	0.749729335308075	0.07463255	No	
row_14	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	3560	0.7238648533821106	0.07782186	No	
row_15	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	3796	0.6869160532951355	0.07807493	No	
row_16	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	4067	0.6434741020202637	0.076864004	No	
row_17	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	4259	0.6135281324386597	0.07763871	No	
row_18	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	4305	0.6071877479553223	0.08258796	No	
row_19	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	5005	0.5217315554618835	0.067664415	No	
row_20	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	5155	0.5059180855751038	0.068550065	No	
row_21	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	5403	0.47929590940475464	0.06631548	No	
row_22	PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	5760	0.4420953691005707	0.060532212	No	
row_23	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]	5874	0.43251651525497437	0.06170703	No	
row_24	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	6190	0.4035758972167969	0.05671754	No	
row_25	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	6498	0.37914520502090454	0.05170865	No	
row_26	NBN	nibrin [Source:HGNC Symbol;Acc:HGNC:7652]	6745	0.35942307114601135	0.048268013	No	
row_27	FABP2	fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]	7166	0.3263329267501831	0.03943344	No	
