NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	24	5.524587154388428	0.03627636	Yes	
row_1	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	25	5.518921852111816	0.073212594	Yes	
row_2	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]	112	4.169233798980713	0.0986154	Yes	
row_3	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	127	3.953765869140625	0.124669544	Yes	
row_4	SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	151	3.722368001937866	0.14891334	Yes	
row_5	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	278	2.9637537002563477	0.1650853	Yes	
row_6	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	285	2.9502339363098145	0.18465574	Yes	
row_7	TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	355	2.7585134506225586	0.20111136	Yes	
row_8	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	387	2.66121244430542	0.21802062	Yes	
row_9	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	463	2.4820730686187744	0.23245166	Yes	
row_10	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	494	2.3886561393737793	0.24756587	Yes	
row_11	CHST1	carbohydrate sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:1969]	558	2.269726037979126	0.26092464	Yes	
row_12	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	801	1.9144636392593384	0.26670137	Yes	
row_13	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	812	1.8995084762573242	0.27912337	Yes	
row_14	ARTN	artemin [Source:HGNC Symbol;Acc:HGNC:727]	836	1.8566036224365234	0.29088026	Yes	
row_15	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	900	1.7862204313278198	0.3010031	Yes	
row_16	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	910	1.7723122835159302	0.3126029	Yes	
row_17	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	1062	1.6586954593658447	0.31931368	Yes	
row_18	LHX9	LIM homeobox 9 [Source:HGNC Symbol;Acc:HGNC:14222]	1126	1.606900930404663	0.3282364	Yes	
row_19	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	1276	1.5021629333496094	0.3339577	Yes	
row_20	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	1298	1.4881019592285156	0.34330648	Yes	
row_21	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	1478	1.3777064085006714	0.3473226	Yes	
row_22	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	1480	1.3763233423233032	0.3565048	Yes	
row_23	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	1513	1.353859543800354	0.36463532	Yes	
row_24	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	1849	1.2032537460327148	0.3629482	Yes	
row_25	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	1908	1.1773464679718018	0.36914143	Yes	
row_26	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	1962	1.153184175491333	0.37531832	Yes	
row_27	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	2005	1.1325170993804932	0.38167673	Yes	
row_28	GFPT1	glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]	2013	1.1286602020263672	0.38902694	Yes	
row_29	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	2056	1.1128225326538086	0.39525354	Yes	
row_30	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	2253	1.0406079292297363	0.3965193	Yes	
row_31	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	2559	0.9506137371063232	0.39401358	Yes	
row_32	B3GALT6	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]	2671	0.915873646736145	0.3969159	Yes	
row_33	CLDN9	claudin 9 [Source:HGNC Symbol;Acc:HGNC:2051]	2844	0.8743922114372253	0.39776704	Yes	
row_34	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	2964	0.8464058637619019	0.39997184	Yes	
row_35	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	3051	0.8280609846115112	0.40301332	Yes	
row_36	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]	3175	0.7999403476715088	0.40479085	Yes	
row_37	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	3206	0.795247495174408	0.40924093	Yes	
row_38	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	3244	0.7854077816009521	0.41342163	Yes	
row_39	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	3356	0.762174129486084	0.41529527	Yes	
row_40	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	3469	0.7407540678977966	0.4169965	Yes	
row_41	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	3473	0.7403619289398193	0.42186427	Yes	
row_42	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	3504	0.7339158654212952	0.42590386	Yes	
row_43	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	3536	0.727785587310791	0.42987338	Yes	
row_44	NDST3	N-deacetylase and N-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:7682]	3748	0.6947436928749084	0.42838827	Yes	
row_45	LDHC	lactate dehydrogenase C [Source:HGNC Symbol;Acc:HGNC:6544]	3941	0.663425624370575	0.42724597	Yes	
row_46	CHST6	carbohydrate sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:6938]	3973	0.6579740643501282	0.43074822	Yes	
row_47	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	4067	0.6434741020202637	0.4323508	Yes	
row_48	HDLBP	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]	4075	0.6420392394065857	0.43644425	Yes	
row_49	MERTK	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	4136	0.6338806748390198	0.4389421	Yes	
row_50	GMPPA	GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]	4228	0.6185100078582764	0.44043577	Yes	
row_51	DEPDC1	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	4309	0.6066635251045227	0.44216996	Yes	
row_52	FBP2	fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]	4346	0.6024670004844666	0.44515538	Yes	
row_53	P4HA1	prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]	4702	0.5589271187782288	0.43857452	Yes	
row_54	B4GALT2	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	4826	0.5437618494033813	0.43863752	Yes	
row_55	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	4858	0.5398982763290405	0.44134957	Yes	
row_56	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	4866	0.5386152267456055	0.4447508	Yes	
row_57	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	4971	0.5255101323127747	0.44524407	Yes	
row_58	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	5021	0.5196937322616577	0.44729754	Yes	
row_59	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	5383	0.4819778800010681	0.44002724	No	
row_60	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	5610	0.4577045142650604	0.43651956	No	
row_61	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	5628	0.4551188349723816	0.43907127	No	
row_62	CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	5817	0.4374402165412903	0.43653283	No	
row_63	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	5857	0.4342826008796692	0.4383054	No	
row_64	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	6231	0.40102794766426086	0.43014443	No	
row_65	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]	6236	0.4005785286426544	0.43270907	No	
row_66	CHPF2	chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]	6424	0.38460952043533325	0.42984614	No	
row_67	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	6444	0.38271692395210266	0.4318551	No	
row_68	B3GAT1	beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]	6665	0.3663025498390198	0.42791018	No	
row_69	LCT	lactase [Source:HGNC Symbol;Acc:HGNC:6530]	6676	0.3654457628726959	0.4300652	No	
row_70	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	6928	0.3458269238471985	0.42508194	No	
row_71	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	7068	0.3347249925136566	0.42328075	No	
row_72	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	7172	0.325912743806839	0.42246726	No	
row_73	NANP	N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]	7472	0.30443620681762695	0.41581136	No	
row_74	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	7915	0.2734158933162689	0.40479016	No	
row_75	QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	7991	0.2686489224433899	0.40440753	No	
