NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	24	5.524587154388428	0.036042992	Yes	
row_1	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	25	5.518921852111816	0.072746105	Yes	
row_2	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	34	5.34280252456665	0.108045354	Yes	
row_3	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	63	4.686746120452881	0.13840005	Yes	
row_4	KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	186	3.4201302528381348	0.1575982	Yes	
row_5	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	278	2.9637537002563477	0.17466258	Yes	
row_6	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	285	2.9502339363098145	0.19410841	Yes	
row_7	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	320	2.8478639125823975	0.21205933	Yes	
row_8	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	374	2.6909077167510986	0.22841401	Yes	
row_9	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	379	2.676037073135376	0.24609447	Yes	
row_10	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	463	2.4820730686187744	0.26018807	Yes	
row_11	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	471	2.4613864421844482	0.27635378	Yes	
row_12	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	494	2.3886561393737793	0.2915997	Yes	
row_13	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	812	1.8995084762573242	0.29501548	Yes	
row_14	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	834	1.8595645427703857	0.30677179	Yes	
row_15	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	900	1.7862204313278198	0.31676102	Yes	
row_16	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	1023	1.6854143142700195	0.3244226	Yes	
row_17	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	1062	1.6586954593658447	0.33434877	Yes	
row_18	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	1233	1.5289137363433838	0.33957395	Yes	
row_19	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	1276	1.5021629333496094	0.3483428	Yes	
