NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	43	5.148469924926758	0.03597709	Yes	
row_1	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	123	3.9803152084350586	0.06246085	Yes	
row_2	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	219	3.204744577407837	0.08287146	Yes	
row_3	LRRC8C	leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]	281	2.9549779891967773	0.1024646	Yes	
row_4	F2RL2	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	350	2.763439893722534	0.120469265	Yes	
row_5	CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	359	2.749851942062378	0.14012016	Yes	
row_6	MAP6	microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]	507	2.3612852096557617	0.15292002	Yes	
row_7	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	539	2.300825595855713	0.16865541	Yes	
row_8	GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]	717	2.0194900035858154	0.1781116	Yes	
row_9	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	768	1.9591761827468872	0.19082417	Yes	
row_10	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	853	1.8384648561477661	0.20167537	Yes	
row_11	SLC39A8	solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]	866	1.8225910663604736	0.21450517	Yes	
row_12	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	898	1.791176676750183	0.2265554	Yes	
row_13	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	969	1.7214378118515015	0.23696746	Yes	
row_14	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	988	1.7025853395462036	0.24875508	Yes	
row_15	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	1013	1.6897188425064087	0.26027521	Yes	
row_16	TWSG1	twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]	1050	1.668039083480835	0.2712897	Yes	
row_17	CD79B	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]	1128	1.605108618736267	0.28065708	Yes	
row_18	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]	1292	1.4945865869522095	0.28672487	Yes	
row_19	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1343	1.4560974836349487	0.29579982	Yes	
row_20	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	1383	1.434949278831482	0.30504164	Yes	
row_21	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	1403	1.4213881492614746	0.31476694	Yes	
row_22	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	1429	1.4065032005310059	0.32421014	Yes	
row_23	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	1442	1.3987302780151367	0.3339751	Yes	
row_24	GATA1	GATA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4170]	1492	1.36477792263031	0.34241882	Yes	
row_25	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1500	1.359955072402954	0.35204878	Yes	
row_26	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	1613	1.3092120885849	0.358259	Yes	
row_27	TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	1720	1.2555477619171143	0.3642556	Yes	
row_28	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	1844	1.2051631212234497	0.36939365	Yes	
row_29	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1893	1.1850162744522095	0.37656662	Yes	
row_30	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	2168	1.0730583667755127	0.37635913	Yes	
row_31	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	2196	1.062124490737915	0.38325408	Yes	
row_32	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	2244	1.0441802740097046	0.38943776	Yes	
row_33	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	2310	1.0191034078598022	0.39491677	Yes	
row_34	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]	2358	1.0059189796447754	0.4008238	Yes	
row_35	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	2471	0.9734254479408264	0.404606	Yes	
row_36	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	2479	0.9716382026672363	0.41142818	Yes	
row_37	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	2591	0.940746009349823	0.41500318	Yes	
row_38	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	2700	0.9107524752616882	0.4184485	Yes	
row_39	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	2722	0.9040945172309875	0.42437524	Yes	
row_40	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	2763	0.8946373462677002	0.42968112	Yes	
row_41	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	2781	0.8905810713768005	0.43562645	Yes	
row_42	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	2864	0.8692546486854553	0.43952766	Yes	
row_43	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	2865	0.869133472442627	0.44581214	Yes	
row_44	SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	3077	0.8234139084815979	0.44563127	Yes	
row_45	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	3455	0.7426488399505615	0.44003996	Yes	
row_46	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	3536	0.727785587310791	0.44297642	Yes	
row_47	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	3580	0.7201565504074097	0.44693345	Yes	
row_48	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	3671	0.7049488425254822	0.44941404	Yes	
row_49	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3771	0.6899455189704895	0.45152444	Yes	
