NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	129	3.9113152027130127	0.02243193	No	
row_1	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	148	3.753786087036133	0.047036655	No	
row_2	HTR1D	5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]	221	3.1978354454040527	0.066349775	No	
row_3	SNCB	synuclein beta [Source:HGNC Symbol;Acc:HGNC:11140]	338	2.7875914573669434	0.081637405	No	
row_4	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	406	2.60900616645813	0.09715424	No	
row_5	KCNQ2	potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]	579	2.2178475856781006	0.10699977	No	
row_6	ADRA2C	adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]	673	2.061093330383301	0.118092895	No	
row_7	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	710	2.0234169960021973	0.13059108	No	
row_8	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	742	1.994937539100647	0.143044	No	
row_9	HTR1B	5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]	746	1.989243507385254	0.15627289	No	
row_10	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	940	1.7496336698532104	0.1623736	No	
row_11	SLC16A7	solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]	1109	1.6205703020095825	0.16833723	No	
row_12	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	1169	1.5768738985061646	0.1771775	No	
row_13	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	1188	1.5655261278152466	0.18713388	No	
row_14	PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	1232	1.5292099714279175	0.19612029	No	
row_15	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1342	1.4562309980392456	0.20269923	No	
row_16	FGF16	fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672]	1353	1.4525431394577026	0.2121319	No	
row_17	NPHS1	NPHS1 adhesion molecule, nephrin [Source:HGNC Symbol;Acc:HGNC:7908]	1415	1.414926528930664	0.21982993	No	
row_18	UPK3B	uroplakin 3B [Source:HGNC Symbol;Acc:HGNC:21444]	1441	1.4016296863555908	0.22848566	No	
row_19	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	1456	1.392757773399353	0.23740181	No	
row_20	TEX15	testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]	1573	1.3283791542053223	0.2429214	No	
row_21	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6285]	1586	1.3216055631637573	0.2514194	No	
row_22	ARHGDIG	Rho GDP dissociation inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:680]	1705	1.2650113105773926	0.25645664	No	
row_23	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	2027	1.1223303079605103	0.25463656	No	
row_24	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	2202	1.0590016841888428	0.25666657	No	
row_25	BARD1	BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]	2281	1.0316956043243408	0.26130494	No	
row_26	KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:6242]	2363	1.0049240589141846	0.26567692	No	
row_27	RGS11	regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]	2466	0.97511225938797	0.26923874	No	
row_28	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	2909	0.8587145805358887	0.26213595	No	
row_29	CALCB	calcitonin related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438]	2969	0.8456265330314636	0.2660812	No	
