NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	21	5.714756011962891	0.034017142	Yes	
row_1	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	28	5.443182945251465	0.06682486	Yes	
row_2	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	142	3.7852859497070312	0.0864757	Yes	
row_3	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	167	3.569836139678955	0.107408784	Yes	
row_4	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	180	3.4737558364868164	0.12810859	Yes	
row_5	ALDH1A2	aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]	233	3.146164655685425	0.14566039	Yes	
row_6	ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	260	3.0309770107269287	0.16327018	Yes	
row_7	MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	262	3.0262222290039062	0.18157806	Yes	
row_8	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	264	3.0118234157562256	0.19979869	Yes	
row_9	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	276	2.9698359966278076	0.21747415	Yes	
row_10	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	362	2.724794387817383	0.2315132	Yes	
row_11	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	394	2.63714337348938	0.24659124	Yes	
row_12	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	517	2.3419253826141357	0.25723457	Yes	
row_13	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	542	2.293459892272949	0.27043363	Yes	
row_14	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	574	2.2246878147125244	0.28301245	Yes	
row_15	PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	585	2.2004475593566895	0.296055	Yes	
row_16	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	602	2.166532039642334	0.30871758	Yes	
row_17	TMEM158	transmembrane protein 158 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30293]	653	2.079869508743286	0.31986645	Yes	
row_18	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	739	1.9987375736236572	0.32950607	Yes	
row_19	MPZL2	myelin protein zero like 2 [Source:HGNC Symbol;Acc:HGNC:3496]	806	1.9084041118621826	0.3391508	Yes	
row_20	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	812	1.8995084762573242	0.3505152	Yes	
row_21	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	898	1.791176676750183	0.35889715	Yes	
row_22	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	1164	1.581587314605713	0.36077547	Yes	
row_23	SPON1	spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252]	1262	1.5105195045471191	0.3671079	Yes	
row_24	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1315	1.4779860973358154	0.37455162	Yes	
row_25	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	1341	1.4574174880981445	0.38265574	Yes	
row_26	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	1429	1.4065032005310059	0.38864866	Yes	
row_27	RELN	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	1475	1.3820581436157227	0.3957146	Yes	
row_28	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1500	1.359955072402954	0.40325725	Yes	
row_29	PLEK2	pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238]	1528	1.34974205493927	0.4106508	Yes	
row_30	FLT4	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	1596	1.318363904953003	0.41669115	Yes	
row_31	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]	1675	1.2823734283447266	0.4221936	Yes	
row_32	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	1690	1.2712938785552979	0.42948976	Yes	
row_33	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	1708	1.263655185699463	0.4366524	Yes	
row_34	PLVAP	plasmalemma vesicle associated protein [Source:HGNC Symbol;Acc:HGNC:13635]	1838	1.2071630954742432	0.44021627	Yes	
row_35	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1893	1.1850162744522095	0.44582662	Yes	
row_36	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	2141	1.0816494226455688	0.445199	Yes	
row_37	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2143	1.0807650089263916	0.4517187	Yes	
row_38	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	2211	1.05510675907135	0.45616388	Yes	
row_39	PDCD1LG2	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	2319	1.017106533050537	0.4592158	Yes	
row_40	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	2369	1.0035133361816406	0.46387172	Yes	
row_41	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	2415	0.9899376034736633	0.4685617	Yes	
row_42	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	2471	0.9734254479408264	0.47286087	Yes	
row_43	LAT2	linker for activation of T cells family member 2 [Source:HGNC Symbol;Acc:HGNC:12749]	2477	0.9718717932701111	0.4786044	Yes	
row_44	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	2698	0.9108614325523376	0.47772697	Yes	
row_45	F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	2766	0.8939914107322693	0.48119593	Yes	
row_46	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	2783	0.8904457688331604	0.48612624	Yes	
row_47	IKZF1	IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176]	2957	0.847633957862854	0.48623225	Yes	
row_48	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	2996	0.840222954750061	0.49021858	Yes	
row_49	EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	3518	0.7314648628234863	0.47950235	No	
row_50	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3771	0.6899455189704895	0.4763559	No	
row_51	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	3780	0.6891521215438843	0.48029912	No	
row_52	RBM4	RNA binding motif protein 4 [Source:HGNC Symbol;Acc:HGNC:9901]	3980	0.6563348174095154	0.47849002	No	
row_53	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	4188	0.6239498257637024	0.4762521	No	
row_54	FCER1G	Fc fragment of IgE receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	4281	0.6097192764282227	0.47727165	No	
row_55	ADGRA2	adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]	4360	0.6009260416030884	0.47864497	No	
row_56	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	4528	0.5805190801620483	0.4773069	No	
row_57	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	4643	0.5652259588241577	0.47741717	No	
row_58	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	4851	0.540124773979187	0.4746713	No	
row_59	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	4859	0.5397170782089233	0.4777381	No	
row_60	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	4956	0.5276868343353271	0.4781443	No	
row_61	ADAMDEC1	ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]	5246	0.49506205320358276	0.4727412	No	
row_62	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	5495	0.4700785279273987	0.46837878	No	
row_63	MMD	monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153]	6021	0.4191330373287201	0.45565373	No	
row_64	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	6224	0.4016268253326416	0.45221403	No	
row_65	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	6243	0.3999127149581909	0.45411387	No	
row_66	TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	6312	0.39413774013519287	0.45452496	No	
row_67	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]	6350	0.39087897539138794	0.45581764	No	
row_68	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	6374	0.388146311044693	0.45750082	No	
row_69	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	6739	0.3596196472644806	0.44909632	No	
row_70	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	6751	0.35890859365463257	0.45095125	No	
row_71	CBX8	chromobox 8 [Source:HGNC Symbol;Acc:HGNC:15962]	6949	0.3442005515098572	0.44730896	No	
row_72	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	7001	0.3401152491569519	0.44788697	No	
row_73	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	7172	0.325912743806839	0.44491893	No	
row_74	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]	7241	0.3206699788570404	0.44488484	No	
row_75	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]	7342	0.3132431209087372	0.4438753	No	
row_76	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	7343	0.3132255971431732	0.44577327	No	
row_77	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	7485	0.30373913049697876	0.44351405	No	
row_78	DNMBP	dynamin binding protein [Source:HGNC Symbol;Acc:HGNC:30373]	7657	0.29253560304641724	0.4403147	No	
