NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	786	1.9334895610809326	-0.0024868518	Yes	
row_1	KIF15	kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]	1044	1.6714316606521606	0.00764656	Yes	
row_2	CEP72	centrosomal protein 72 [Source:HGNC Symbol;Acc:HGNC:25547]	1081	1.6419421434402466	0.02389489	Yes	
row_3	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	1172	1.5764659643173218	0.037883498	Yes	
row_4	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	1360	1.4484111070632935	0.047703013	Yes	
row_5	CEP131	centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]	1505	1.3574544191360474	0.057814673	Yes	
row_6	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1587	1.321380615234375	0.06937807	Yes	
row_7	SASS6	SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403]	1663	1.2862802743911743	0.0807462	Yes	
row_8	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	1742	1.2474802732467651	0.09161841	Yes	
row_9	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	1822	1.211641788482666	0.102084056	Yes	
row_10	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1845	1.2048847675323486	0.11413579	Yes	
row_11	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	1869	1.1943461894989014	0.12604745	Yes	
row_12	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	1889	1.1861448287963867	0.137989	Yes	
row_13	FGD6	FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]	1968	1.149762749671936	0.14783193	Yes	
row_14	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	2116	1.0899676084518433	0.15503886	Yes	
row_15	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2 [Source:HGNC Symbol;Acc:HGNC:29515]	2206	1.0582560300827026	0.16359809	Yes	
row_16	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	2437	0.9841814637184143	0.16727753	Yes	
row_17	ARHGAP29	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]	2439	0.9839491248130798	0.17761266	Yes	
row_18	CEP57	centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]	2441	0.9832603335380554	0.18794054	Yes	
row_19	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	2472	0.9733413457870483	0.19732076	Yes	
row_20	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	2489	0.9685071110725403	0.20705712	Yes	
row_21	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	2498	0.9661703109741211	0.21700145	Yes	
row_22	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	2741	0.8992346525192261	0.21943723	Yes	
