NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	25	5.518921852111816	0.05060482	Yes	
row_1	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	133	3.854255437850952	0.08334231	Yes	
row_2	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	327	2.8213276863098145	0.10397198	Yes	
row_3	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	379	2.676037073135376	0.12737904	Yes	
row_4	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	766	1.9628281593322754	0.13441218	Yes	
row_5	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	853	1.8384648561477661	0.14901131	Yes	
row_6	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	1038	1.6762105226516724	0.15925188	Yes	
row_7	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	1233	1.5289137363433838	0.16783169	Yes	
row_8	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1343	1.4560974836349487	0.17820567	Yes	
row_9	DDX39A	DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]	1397	1.4254719018936157	0.18992302	Yes	
row_10	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	1483	1.3714604377746582	0.20020759	Yes	
row_11	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	1513	1.353859543800354	0.21195671	Yes	
row_12	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	1613	1.3092120885849	0.22125524	Yes	
row_13	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	1849	1.2032537460327148	0.22561397	Yes	
row_14	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	1889	1.1861448287963867	0.2355124	Yes	
row_15	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	1926	1.169722557067871	0.24534531	Yes	
row_16	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	1949	1.159735083580017	0.2554924	Yes	
row_17	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	2103	1.0957096815109253	0.26123506	Yes	
row_18	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	2479	0.9716382026672363	0.25936893	Yes	
row_19	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	2602	0.9347015619277954	0.26451537	Yes	
row_20	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	2670	0.9159348011016846	0.27108645	Yes	
row_21	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	2751	0.8968608975410461	0.27710214	Yes	
row_22	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	2822	0.8799557685852051	0.28325135	Yes	
