NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RABEPK	Rab9 effector protein with kelch motifs [Source:HGNC Symbol;Acc:HGNC:16896]	2425	0.988344132900238	-0.028452097	No	
row_1	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	2935	0.8532377481460571	-0.0071337163	No	
row_2	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	2961	0.8465192914009094	0.027915517	No	
row_3	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	3254	0.7838533520698547	0.052585255	No	
row_4	MPHOSPH10	M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]	4202	0.6220824718475342	0.05145244	No	
row_5	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	4995	0.5225531458854675	0.050601803	No	
row_6	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]	5368	0.4835069477558136	0.060262688	No	
row_7	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	5857	0.4342826008796692	0.064484484	No	
row_8	PES1	pescadillo ribosomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8848]	6040	0.41732871532440186	0.0768504	No	
row_9	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	6748	0.35934656858444214	0.07156407	No	
row_10	PPAN	peter pan homolog [Source:HGNC Symbol;Acc:HGNC:9227]	8873	0.2185584306716919	0.019297326	No	
row_11	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	9166	0.2040381282567978	0.019464603	No	
row_12	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	9890	0.16783687472343445	0.005621952	No	
row_13	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]	10026	0.1619611531496048	0.008557205	No	
row_14	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	10462	0.1437244862318039	0.002034954	No	
row_15	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	12158	0.08239834755659103	-0.04356361	No	
row_16	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	12680	0.0689035952091217	-0.055737954	No	
row_17	GNL3	G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]	13381	0.04958845674991608	-0.07391168	No	
row_18	IPO4	importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]	15067	0.017612066119909286	-0.121958494	No	
row_19	EXOSC5	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	16184	0.01030818372964859	-0.15383792	No	
row_20	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	16453	0.003952509257942438	-0.16143113	No	
row_21	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	16903	-0.0037892423570156097	-0.17427231	No	
row_22	TCOF1	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]	17531	-0.010762486606836319	-0.19197299	No	
row_23	IMP4	IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]	17873	-0.021544242277741432	-0.2009366	No	
row_24	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	18565	-0.031681835651397705	-0.21960643	No	
row_25	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	18615	-0.03314477950334549	-0.21962462	No	
row_26	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	19497	-0.03489566221833229	-0.24366032	No	
row_27	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	19539	-0.03635523095726967	-0.24331117	No	
row_28	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	19762	-0.04574060067534447	-0.24780647	No	
row_29	UTP20	UTP20 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]	20116	-0.055316612124443054	-0.25569037	No	
row_30	MAP3K6	mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]	20667	-0.06183405965566635	-0.26900318	No	
row_31	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	20725	-0.06373931467533112	-0.26796013	No	
row_32	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	21184	-0.07842124998569489	-0.27790803	No	
row_33	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	22905	-0.1320871263742447	-0.32213068	No	
row_34	FARSA	phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592]	23609	-0.1586775779724121	-0.33578128	No	
row_35	GRWD1	glutamate rich WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:21270]	23961	-0.17277318239212036	-0.33864364	No	
row_36	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	24404	-0.19196048378944397	-0.34333017	No	
row_37	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	24792	-0.20888160169124603	-0.34570906	No	
row_38	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	25601	-0.25077107548713684	-0.35850826	Yes	
row_39	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	25942	-0.2700536847114563	-0.3569411	Yes	
row_40	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	26108	-0.27905941009521484	-0.34992608	Yes	
row_41	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	26492	-0.3006017208099365	-0.34831312	Yes	
row_42	PHB	prohibitin [Source:HGNC Symbol;Acc:HGNC:8912]	26523	-0.30230870842933655	-0.3364065	Yes	
row_43	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	26781	-0.3189798593521118	-0.33036843	Yes	
row_44	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	28161	-0.4169691801071167	-0.3526782	Yes	
row_45	NOC4L	nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]	28525	-0.44894176721572876	-0.34421742	Yes	
row_46	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	28559	-0.4517034590244293	-0.32608438	Yes	
row_47	WDR43	WD repeat domain 43 [Source:HGNC Symbol;Acc:HGNC:28945]	28677	-0.46161115169525146	-0.30996498	Yes	
row_48	PPRC1	PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025]	28818	-0.47551897168159485	-0.29392385	Yes	
row_49	MYBBP1A	MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]	29379	-0.5261731743812561	-0.28790367	Yes	
row_50	TFB2M	transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:18559]	29604	-0.5473746657371521	-0.2712583	Yes	
row_51	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]	29664	-0.5552788376808167	-0.24950112	Yes	
row_52	NIP7	nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]	31085	-0.7501105070114136	-0.25891984	Yes	
row_53	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	32773	-1.132434606552124	-0.25991318	Yes	
row_54	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	32840	-1.1538273096084595	-0.2130646	Yes	
row_55	WDR74	WD repeat domain 74 [Source:HGNC Symbol;Acc:HGNC:25529]	33998	-1.9090418815612793	-0.16589247	Yes	
