NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	2565	0.9495908617973328	-0.06402786	No	
row_1	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	2802	0.8850022554397583	-0.06105613	No	
row_2	TIMM17A	translocase of inner mitochondrial membrane 17A [Source:HGNC Symbol;Acc:HGNC:17315]	4175	0.6252831816673279	-0.094000205	No	
row_3	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	4225	0.6189470291137695	-0.08854756	No	
row_4	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]	4234	0.6171177625656128	-0.081923135	No	
row_5	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	4324	0.6054280400276184	-0.07778373	No	
row_6	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]	4337	0.6033979654312134	-0.07142805	No	
row_7	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	4434	0.5914517045021057	-0.06764748	No	
row_8	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	5085	0.5129063129425049	-0.080847576	No	
row_9	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	5172	0.5038612484931946	-0.07774949	No	
row_10	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	5744	0.44358280301094055	-0.08942289	No	
row_11	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	6190	0.4035758972167969	-0.09787729	No	
row_12	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2 [Source:HGNC Symbol;Acc:HGNC:7856]	6849	0.35073554515838623	-0.11311193	No	
row_13	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	7099	0.3317270576953888	-0.116665825	No	
row_14	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	7128	0.32997143268585205	-0.113813505	No	
row_15	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	7363	0.31214389204978943	-0.11714887	No	
row_16	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	7443	0.30683237314224243	-0.11603652	No	
row_17	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	7905	0.2745278775691986	-0.12639003	No	
row_18	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	8701	0.22848519682884216	-0.14696641	No	
row_19	PDHA1	pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]	8899	0.21737639605998993	-0.15027897	No	
row_20	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	8944	0.21485154330730438	-0.149171	No	
row_21	ATP5ME	ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846]	9129	0.20602281391620636	-0.15223172	No	
row_22	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	9264	0.19813795387744904	-0.15392628	No	
row_23	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	9385	0.19239753484725952	-0.15527757	No	
row_24	COX6B1	cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]	9397	0.19163431227207184	-0.15346807	No	
row_25	ATP5MC1	ATP synthase membrane subunit c locus 1 [Source:HGNC Symbol;Acc:HGNC:841]	9485	0.18718667328357697	-0.15391776	No	
row_26	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	9509	0.1852712780237198	-0.15252787	No	
row_27	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]	9981	0.16377440094947815	-0.16440277	No	
row_28	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	10114	0.15825553238391876	-0.16648231	No	
row_29	ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	10323	0.14912651479244232	-0.17087306	No	
row_30	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]	10474	0.1429324448108673	-0.17364623	No	
row_31	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6 [Source:HGNC Symbol;Acc:HGNC:7713]	10522	0.14138923585414886	-0.17344175	No	
row_32	ATP5F1D	ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]	11018	0.12069012224674225	-0.18649319	No	
row_33	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	11596	0.10205274820327759	-0.2021359	No	
row_34	ACAT1	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]	11611	0.1015348732471466	-0.20141478	No	
row_35	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	11664	0.09947584569454193	-0.2018214	No	
row_36	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	11774	0.09599510580301285	-0.20392402	No	
row_37	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	11780	0.09572432935237885	-0.20300576	No	
row_38	FXN	frataxin [Source:HGNC Symbol;Acc:HGNC:3951]	11827	0.09382372349500656	-0.20330073	No	
row_39	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	11985	0.08893901109695435	-0.20687738	No	
row_40	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	12093	0.0848049595952034	-0.20904617	No	
row_41	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	12233	0.07966281473636627	-0.21220253	No	
row_42	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	12639	0.07026731967926025	-0.22319742	No	
row_43	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	12659	0.06952860206365585	-0.2229773	No	
row_44	UQCRH	ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:HGNC:12590]	12691	0.068535216152668	-0.22311713	No	
row_45	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	12704	0.06807716190814972	-0.2227096	No	
row_46	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	12872	0.06351596862077713	-0.2268595	No	
row_47	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 [Source:HGNC Symbol;Acc:HGNC:7702]	12900	0.06281076371669769	-0.22694662	No	
row_48	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	13081	0.05638273060321808	-0.23155375	No	
