NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	244	3.086899995803833	0.018953726	No	
row_1	ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	480	2.4382476806640625	0.03269561	No	
row_2	SERTAD3	SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	541	2.293461799621582	0.050303992	No	
row_3	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	688	2.046511650085449	0.06332802	No	
row_4	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	1429	1.4065032005310059	0.053680517	No	
row_5	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1500	1.359955072402954	0.06312093	No	
row_6	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	1558	1.3348993062973022	0.072727896	No	
row_7	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	1797	1.22066068649292	0.07610819	No	
row_8	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1893	1.1850162744522095	0.083345525	No	
row_9	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	2056	1.1128225326538086	0.08802559	No	
row_10	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	2362	1.0053247213363647	0.08764074	No	
row_11	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	2865	0.869133472442627	0.080378756	No	
row_12	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	2886	0.8641453981399536	0.087089166	No	
row_13	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]	3132	0.8103078603744507	0.08680324	No	
row_14	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	3201	0.796394407749176	0.09154631	No	
row_15	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3203	0.7959961891174316	0.098234095	No	
row_16	NHLH2	nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]	3349	0.7636484503746033	0.10046202	No	
row_17	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3352	0.7631147503852844	0.106843255	No	
row_18	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	3356	0.762174129486084	0.113187484	No	
row_19	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	3357	0.7620598673820496	0.119617976	No	
row_20	IRAG2	inositol 1,4,5-triphosphate receptor associated 2 [Source:HGNC Symbol;Acc:HGNC:6690]	3406	0.7515514492988586	0.12456416	No	
row_21	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	3687	0.7031365633010864	0.12235625	No	
row_22	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	3691	0.7029106020927429	0.1282004	No	
row_23	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	4124	0.6352680325508118	0.12100028	No	
row_24	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	4240	0.6163145899772644	0.12285723	No	
row_25	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	4274	0.6109186410903931	0.12705284	No	
row_26	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	4680	0.5609821677207947	0.12001093	No	
row_27	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	4851	0.540124773979187	0.1196258	No	
row_28	STEAP3	STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]	5438	0.47596925497055054	0.106603816	No	
