NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	458	2.4861721992492676	0.025927028	No	
row_1	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	642	2.0971450805664062	0.053692702	No	
row_2	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	2235	1.0471572875976562	0.0240466	No	
row_3	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	2318	1.0173180103302002	0.037712008	No	
row_4	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	2837	0.8751903772354126	0.03649437	No	
row_5	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	3136	0.8100164532661438	0.040627792	No	
row_6	CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	3560	0.7238648533821106	0.03977827	No	
row_7	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	3636	0.7112458944320679	0.048819922	No	
row_8	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3771	0.6899455189704895	0.05581498	No	
row_9	SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	3779	0.6892470121383667	0.06648136	No	
row_10	PEX11B	peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]	3800	0.6864098906517029	0.07672606	No	
row_11	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	4031	0.6496118307113647	0.08030156	No	
row_12	SCGB1A1	secretoglobin family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:12523]	4104	0.6374455094337463	0.08826638	No	
