NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	494	2.3886561393737793	0.030439444	No	
row_1	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	739	1.9987375736236572	0.060820732	No	
row_2	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	1233	1.5289137363433838	0.075177655	No	
row_3	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	1483	1.3714604377746582	0.09365883	No	
row_4	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	1690	1.2712938785552979	0.1115097	No	
row_5	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	1748	1.2442265748977661	0.13317369	No	
row_6	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	2751	0.8968608975410461	0.120927215	No	
row_7	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	3076	0.8234972357749939	0.12696493	No	
row_8	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	3106	0.8161009550094604	0.14141774	No	
row_9	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	3215	0.7920499444007874	0.15312918	No	
row_10	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	3302	0.7739646434783936	0.16513962	No	
row_11	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3352	0.7631147503852844	0.17801955	No	
row_12	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	3493	0.7353705763816833	0.18774097	No	
row_13	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	3504	0.7339158654212952	0.20120454	No	
row_14	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	3884	0.6741940379142761	0.20284957	No	
row_15	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	4063	0.644375741481781	0.20976391	No	
row_16	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	6220	0.4017983376979828	0.15477909	No	
row_17	SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	6326	0.3926265835762024	0.15909235	No	
row_18	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	6416	0.3852180242538452	0.1637307	No	
row_19	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	6864	0.3496498167514801	0.1573221	No	
row_20	THEM4	thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]	7008	0.3396948277950287	0.15954158	No	
row_21	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	7172	0.325912743806839	0.16092288	No	
row_22	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	7743	0.2867296040058136	0.14976868	No	
row_23	NOD1	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	7843	0.2785939574241638	0.15211895	No	
row_24	FGF17	fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]	7860	0.2775440216064453	0.15685618	No	
row_25	GNA14	G protein subunit alpha 14 [Source:HGNC Symbol;Acc:HGNC:4382]	8080	0.2634682059288025	0.15544352	No	
row_26	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	8364	0.247336745262146	0.15187284	No	
row_27	MKNK1	MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]	8394	0.24534104764461517	0.15562965	No	
row_28	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	8733	0.22670552134513855	0.15007758	No	
row_29	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	9002	0.21215619146823883	0.14628257	No	
row_30	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	9198	0.20219308137893677	0.14441751	No	
row_31	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	9267	0.1979425996541977	0.14615524	No	
row_32	AKT1S1	AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]	9913	0.16709581017494202	0.13058445	No	
row_33	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	10299	0.1499987095594406	0.12223211	No	
row_34	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	10501	0.14207762479782104	0.11906652	No	
row_35	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	10519	0.14140403270721436	0.1212235	No	
row_36	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	10636	0.13633370399475098	0.1204149	No	
row_37	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	10820	0.12878574430942535	0.117522135	No	
row_38	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	11174	0.11663898825645447	0.1094725	No	
row_39	MAPKAP1	MAPK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18752]	11212	0.1156114861369133	0.110566214	No	
row_40	FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	11341	0.11147040128707886	0.10894373	No	
row_41	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11732	0.09711629897356033	0.0994554	No	
row_42	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	11876	0.09180943667888641	0.09702954	No	
row_43	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	12761	0.06646604835987091	0.072643	No	
row_44	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	12825	0.0645185336470604	0.07202535	No	
row_45	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	13064	0.05698287859559059	0.066192254	No	
row_46	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	13410	0.048709604889154434	0.05710159	No	
row_47	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	14087	0.03930780291557312	0.038237195	No	
row_48	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	14410	0.030145587399601936	0.02946554	No	
row_49	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	16115	0.012498503550887108	-0.01970873	No	
row_50	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	16287	0.008049257099628448	-0.024516134	No	
row_51	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	16370	0.006310365162789822	-0.026775517	No	
row_52	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	16474	0.0032925892155617476	-0.02970036	No	
row_53	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	16551	8.686318760737777E-4	-0.031887747	No	
row_54	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	16948	-0.005574001464992762	-0.043265544	No	
row_55	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	18534	-0.03073113039135933	-0.08864766	No	
row_56	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	18614	-0.03314398229122162	-0.0903172	No	
row_57	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	19937	-0.052222851663827896	-0.12767072	No	
row_58	CSNK2B	casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]	20824	-0.06699956953525543	-0.15210524	No	
row_59	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	20878	-0.06929170340299606	-0.1523435	No	
row_60	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	21198	-0.07900030165910721	-0.16011262	No	
