NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	494	2.3886561393737793	0.028681017	No	
row_1	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	668	2.067143678665161	0.060879253	No	
row_2	CTSC	cathepsin C [Source:HGNC Symbol;Acc:HGNC:2528]	766	1.9628281593322754	0.09340268	No	
row_3	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	823	1.8887025117874146	0.12578018	No	
row_4	PAM	peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]	900	1.7862204313278198	0.155733	No	
row_5	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	1815	1.213408350944519	0.151082	No	
row_6	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	2054	1.1144253015518188	0.16424496	No	
row_7	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	2098	1.0981063842773438	0.18276682	No	
row_8	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	2234	1.0478756427764893	0.19771753	No	
row_9	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	2653	0.9211362600326538	0.20218302	No	
row_10	ARCN1	archain 1 [Source:HGNC Symbol;Acc:HGNC:649]	3182	0.7994953393936157	0.20127003	No	
row_11	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	3884	0.6741940379142761	0.19308642	No	
row_12	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	4063	0.644375741481781	0.19952674	No	
row_13	RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	4112	0.6369642615318298	0.20960207	No	
row_14	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	4323	0.605528712272644	0.21441545	No	
row_15	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	4387	0.59746915102005	0.22334498	No	
row_16	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	4869	0.5383455753326416	0.21909314	No	
row_17	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	4991	0.5232899188995361	0.22500597	No	
row_18	COPE	COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]	5193	0.5012136101722717	0.22820233	No	
row_19	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	5575	0.46201929450035095	0.22547527	No	
row_20	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	6828	0.35237032175064087	0.1955257	No	
row_21	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	6931	0.345434308052063	0.19878751	No	
row_22	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	6940	0.3445829153060913	0.20475885	No	
row_23	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	7031	0.33801335096359253	0.20823492	No	
row_24	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	7272	0.31810474395751953	0.20700438	No	
