NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	43	5.148469924926758	0.059847232	Yes	
row_1	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	129	3.9113152027130127	0.10379483	Yes	
row_2	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	148	3.753786087036133	0.14781731	Yes	
row_3	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	542	2.293459892272949	0.16362877	Yes	
row_4	ACRV1	acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]	729	2.007502555847168	0.18205366	Yes	
row_5	NEFH	neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737]	847	1.8432846069335938	0.20053211	Yes	
row_6	IL13RA2	interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975]	1021	1.6868187189102173	0.2155288	Yes	
row_7	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	1134	1.6021913290023804	0.23129137	Yes	
row_8	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	1172	1.5764659643173218	0.24892505	Yes	
row_9	GRM8	glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]	1416	1.414081335067749	0.25865397	Yes	
row_10	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	1822	1.211641788482666	0.26127967	Yes	
row_11	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	1889	1.1861448287963867	0.27344003	Yes	
row_12	THEG	theg spermatid protein [Source:HGNC Symbol;Acc:HGNC:13706]	2024	1.123209834098816	0.28288028	Yes	
row_13	TNP1	transition protein 1 [Source:HGNC Symbol;Acc:HGNC:11951]	2134	1.0833772420883179	0.29257333	Yes	
row_14	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	2188	1.0650233030319214	0.3036736	Yes	
row_15	GFI1	growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]	2400	0.993941068649292	0.30934548	Yes	
row_16	DPEP3	dipeptidase 3 [Source:HGNC Symbol;Acc:HGNC:23029]	2523	0.9606576561927795	0.317205	Yes	
row_17	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	2629	0.927151083946228	0.32516026	Yes	
row_18	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	2698	0.9108614325523376	0.33399588	Yes	
row_19	POMC	proopiomelanocortin [Source:HGNC Symbol;Acc:HGNC:9201]	2841	0.8746973872184753	0.340255	Yes	
row_20	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	2891	0.8628995418548584	0.3490728	Yes	
row_21	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	2914	0.8576796650886536	0.35861218	Yes	
row_22	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	2964	0.8464058637619019	0.36723426	Yes	
row_23	GSTM3	glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]	3034	0.8322456479072571	0.37510797	Yes	
row_24	HBZ	hemoglobin subunit zeta [Source:HGNC Symbol;Acc:HGNC:4835]	3190	0.798814058303833	0.38008937	Yes	
row_25	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	3504	0.7339158654212952	0.37971574	No	
row_26	LDHC	lactate dehydrogenase C [Source:HGNC Symbol;Acc:HGNC:6544]	3941	0.663425624370575	0.3749364	No	
row_27	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	4534	0.5795616507530212	0.364635	No	
row_28	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	4649	0.5644676089286804	0.36802524	No	
row_29	NPHP1	nephrocystin 1 [Source:HGNC Symbol;Acc:HGNC:7905]	4730	0.5560947060585022	0.37230274	No	
row_30	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	4942	0.5296522974967957	0.37246507	No	
row_31	PIAS2	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]	4989	0.5235834717750549	0.37734342	No	
row_32	TULP2	TUB like protein 2 [Source:HGNC Symbol;Acc:HGNC:12424]	5173	0.5038440823554993	0.378012	No	
row_33	CLGN	calmegin [Source:HGNC Symbol;Acc:HGNC:2060]	5706	0.4480273425579071	0.36789083	No	
row_34	DDX25	DEAD-box helicase 25 [Source:HGNC Symbol;Acc:HGNC:18698]	5953	0.42441362142562866	0.3657887	No	
row_35	DDX4	DEAD-box helicase 4 [Source:HGNC Symbol;Acc:HGNC:18700]	6460	0.3815142810344696	0.35563272	No	
row_36	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	6593	0.37132227420806885	0.35620865	No	
row_37	DMRT1	doublesex and mab-3 related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2934]	6884	0.3483465909957886	0.35192704	No	
row_38	MAST2	microtubule associated serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:19035]	6963	0.3431033492088318	0.3537351	No	
row_39	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	6966	0.3429321050643921	0.3577465	No	
row_40	GMCL1	germ cell-less 1, spermatogenesis associated [Source:HGNC Symbol;Acc:HGNC:23843]	7023	0.33865004777908325	0.36014012	No	
row_41	CNIH2	cornichon family AMPA receptor auxiliary protein 2 [Source:HGNC Symbol;Acc:HGNC:28744]	7079	0.3335600793361664	0.36250234	No	
row_42	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	7267	0.3182222843170166	0.36085215	No	
row_43	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	7389	0.31104815006256104	0.36103204	No	
row_44	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	7838	0.27905991673469543	0.35134333	No	
row_45	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]	8016	0.26719409227371216	0.34937778	No	
row_46	CHRM4	cholinergic receptor muscarinic 4 [Source:HGNC Symbol;Acc:HGNC:1953]	8043	0.2657879590988159	0.35177732	No	
row_47	PCSK4	proprotein convertase subtilisin/kexin type 4 [Source:HGNC Symbol;Acc:HGNC:8746]	8543	0.23704782128334045	0.34011012	No	
row_48	MLF1	myeloid leukemia factor 1 [Source:HGNC Symbol;Acc:HGNC:7125]	8991	0.21301665902137756	0.32966673	No	
row_49	ZC2HC1C	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	9209	0.20147006213665009	0.32576054	No	
row_50	CHFR	checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]	9552	0.1831618994474411	0.3180098	No	
row_51	HOXB1	homeobox B1 [Source:HGNC Symbol;Acc:HGNC:5111]	9556	0.1830451935529709	0.32009485	No	
row_52	ACRBP	acrosin binding protein [Source:HGNC Symbol;Acc:HGNC:17195]	9624	0.1802946776151657	0.32029012	No	
row_53	ART3	ADP-ribosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:725]	10472	0.14303071796894073	0.2974089	No	
row_54	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	10831	0.12849308550357819	0.28854513	No	
row_55	H1-6	H1.6 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4720]	11398	0.10959189385175705	0.27342126	No	
row_56	TCP11	t-complex 11 [Source:HGNC Symbol;Acc:HGNC:11658]	11812	0.0945550948381424	0.26255876	No	
row_57	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	12093	0.0848049595952034	0.25543997	No	
row_58	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	12095	0.08477513492107391	0.25641695	No	
row_59	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	12761	0.06646604835987091	0.23790851	No	
row_60	RPL39L	ribosomal protein L39 like [Source:HGNC Symbol;Acc:HGNC:17094]	12849	0.06403223425149918	0.23614375	No	
row_61	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	12918	0.06204798072576523	0.23490682	No	
row_62	ADAM2	ADAM metallopeptidase domain 2 [Source:HGNC Symbol;Acc:HGNC:198]	13349	0.050577349960803986	0.22302912	No	
row_63	AKAP4	A-kinase anchoring protein 4 [Source:HGNC Symbol;Acc:HGNC:374]	13499	0.04643614590167999	0.21925643	No	
row_64	TNP2	transition protein 2 [Source:HGNC Symbol;Acc:HGNC:11952]	13631	0.04643614590167999	0.21600609	No	
row_65	CST8	cystatin 8 [Source:HGNC Symbol;Acc:HGNC:2480]	13739	0.04643614590167999	0.21345216	No	
row_66	SEPTIN4	septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]	14015	0.04155481234192848	0.20596524	No	
row_67	COIL	coilin [Source:HGNC Symbol;Acc:HGNC:2184]	14109	0.038620200008153915	0.20372483	No	
row_68	TSN	translin [Source:HGNC Symbol;Acc:HGNC:12379]	14137	0.037917621433734894	0.20339128	No	
row_69	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	14187	0.036741722375154495	0.2024054	No	
row_70	OAZ3	ornithine decarboxylase antizyme 3 [Source:HGNC Symbol;Acc:HGNC:8097]	14287	0.034029435366392136	0.19993639	No	
row_71	SPATA6	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]	14472	0.029000267386436462	0.19494116	No	
