NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	61	4.726539611816406	0.11178577	Yes	
row_1	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	202	3.3215389251708984	0.18753009	Yes	
row_2	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	468	2.467771530151367	0.23914413	Yes	
row_3	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	748	1.9863042831420898	0.2787859	Yes	
row_4	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	834	1.8595645427703857	0.3209997	Yes	
row_5	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	972	1.716711401939392	0.358276	Yes	
row_6	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	991	1.7008951902389526	0.39861768	Yes	
row_7	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	1213	1.5461667776107788	0.42936474	Yes	
row_8	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1500	1.359955072402954	0.45375624	Yes	
row_9	ID3	inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]	1711	1.262687087059021	0.47801134	Yes	
row_10	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	1844	1.2051631212234497	0.50314283	Yes	
row_11	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	3486	0.7368574142456055	0.4733338	No	
row_12	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	3780	0.6891521215438843	0.48140705	No	
row_13	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	4528	0.5805190801620483	0.4737259	No	
row_14	TRIM33	tripartite motif containing 33 [Source:HGNC Symbol;Acc:HGNC:16290]	4620	0.5677335262298584	0.4847306	No	
row_15	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	4961	0.5270834565162659	0.48754948	No	
row_16	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	5519	0.46723631024360657	0.4826478	No	
row_17	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	5852	0.4345623552799225	0.48347557	No	
