NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	28	5.443182945251465	0.0435601	Yes	
row_1	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	63	4.686746120452881	0.080779076	Yes	
row_2	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	167	3.569836139678955	0.10688649	Yes	
row_3	ACKR3	atypical chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:23692]	471	2.4613864421844482	0.11814241	Yes	
row_4	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	489	2.4054782390594482	0.1372582	Yes	
row_5	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	593	2.1836512088775635	0.15206508	Yes	
row_6	FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	608	2.1476528644561768	0.16916624	Yes	
row_7	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	633	2.111145496368408	0.18567902	Yes	
row_8	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	688	2.046511650085449	0.20079261	Yes	
row_9	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	742	1.994937539100647	0.21551484	Yes	
row_10	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	748	1.9863042831420898	0.23156233	Yes	
row_11	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	834	1.8595645427703857	0.24425054	Yes	
row_12	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	1038	1.6762105226516724	0.25201306	Yes	
row_13	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	1162	1.583120584487915	0.26134276	Yes	
row_14	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	1315	1.4779860973358154	0.2689722	Yes	
row_15	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	1341	1.4574174880981445	0.28012654	Yes	
row_16	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1343	1.4560974836349487	0.29196793	Yes	
row_17	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	1485	1.3699520826339722	0.29903644	Yes	
row_18	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1500	1.359955072402954	0.3097161	Yes	
row_19	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	1797	1.22066068649292	0.31106085	Yes	
row_20	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1893	1.1850162744522095	0.3179592	Yes	
row_21	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	1910	1.175968885421753	0.3270808	Yes	
row_22	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	2141	1.0816494226455688	0.32921126	Yes	
