NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	37	5.315354824066162	0.045874096	Yes	
row_1	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	61	4.726539611816406	0.08695385	Yes	
row_2	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	63	4.686746120452881	0.12832075	Yes	
row_3	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	206	3.2891671657562256	0.15325046	Yes	
row_4	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	296	2.9250073432922363	0.17650221	Yes	
row_5	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	380	2.6689453125	0.19766645	Yes	
row_6	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	594	2.1803579330444336	0.21074152	Yes	
row_7	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	619	2.1344709396362305	0.22889766	Yes	
row_8	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	633	2.111145496368408	0.2471671	Yes	
row_9	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	710	2.0234169960021973	0.26283288	Yes	
row_10	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	749	1.9858273267745972	0.27926973	Yes	
row_11	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	817	1.8937277793884277	0.29405126	Yes	
row_12	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	834	1.8595645427703857	0.3100115	Yes	
row_13	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	869	1.8211888074874878	0.3251103	Yes	
row_14	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	898	1.791176676750183	0.34011814	Yes	
row_15	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	935	1.753605604171753	0.35456195	Yes	
row_16	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	1038	1.6762105226516724	0.36640626	Yes	
row_17	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	1131	1.603152871131897	0.37789556	Yes	
row_18	ADGRL2	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]	1239	1.5252290964126587	0.3882612	Yes	
row_19	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	1293	1.492989182472229	0.3999096	Yes	
row_20	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	1295	1.492058277130127	0.41305926	Yes	
row_21	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	1602	1.3152306079864502	0.4157934	Yes	
row_22	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	2053	1.1144920587539673	0.4125744	Yes	
row_23	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	2103	1.0957096815109253	0.42082995	Yes	
