NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	104	4.225295066833496	0.03833533	No	
row_1	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	172	3.5118601322174072	0.07076233	No	
row_2	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	196	3.359896659851074	0.10297974	No	
row_3	LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]	747	1.9886685609817505	0.10647192	No	
row_4	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	837	1.8539485931396484	0.12203305	No	
row_5	FGF18	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]	864	1.8229806423187256	0.13912062	No	
row_6	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	983	1.7064714431762695	0.15239614	No	
row_7	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	1411	1.4160737991333008	0.15385593	No	
row_8	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	1446	1.3968968391418457	0.16654083	No	
row_9	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1500	1.359955072402954	0.1783124	No	
row_10	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	1524	1.351572036743164	0.19087313	No	
row_11	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	1654	1.2888857126235962	0.19974205	No	
row_12	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	1844	1.2051631212234497	0.2060491	No	
row_13	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	1848	1.2033576965332031	0.21773997	No	
row_14	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	1926	1.169722557067871	0.22695266	No	
row_15	NPTXR	neuronal pentraxin receptor [Source:HGNC Symbol;Acc:HGNC:7954]	2003	1.1342825889587402	0.2358475	No	
row_16	HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	2554	0.9522945284843445	0.22919606	No	
row_17	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	2692	0.9121131896972656	0.23414496	No	
row_18	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	2773	0.8925790190696716	0.24055794	No	
row_19	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3203	0.7959961891174316	0.23589058	No	
row_20	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	3206	0.795247495174408	0.24361607	No	
row_21	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	3537	0.7276178598403931	0.24115443	No	
row_22	TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	3555	0.7253104448318481	0.2477598	No	
row_23	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	3636	0.7112458944320679	0.25239798	No	
row_24	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3771	0.6899455189704895	0.2552595	No	
row_25	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	3894	0.6727718710899353	0.2583014	No	
row_26	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	3945	0.6621776819229126	0.26333055	No	
row_27	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	4067	0.6434741020202637	0.26611474	No	
row_28	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	4526	0.5807112455368042	0.2584981	No	
row_29	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	4893	0.535254180431366	0.25310823	No	
row_30	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	5057	0.5160960555076599	0.25342602	No	
row_31	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	5080	0.513901948928833	0.257817	No	
row_32	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	5127	0.5091745257377625	0.26146474	No	
row_33	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	5314	0.4890679121017456	0.26085007	No	
row_34	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	5388	0.4811532199382782	0.26343948	No	
