NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	93	4.354530334472656	0.026354898	No	
row_1	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	133	3.854255437850952	0.050941415	No	
row_2	SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	379	2.676037073135376	0.06167578	No	
row_3	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	601	2.167774200439453	0.069716185	No	
row_4	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	644	2.0941052436828613	0.08246953	No	
row_5	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	834	1.8595645427703857	0.089383595	No	
row_6	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	853	1.8384648561477661	0.101128794	No	
row_7	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	1119	1.6138159036636353	0.10419316	No	
row_8	GSTA3	glutathione S-transferase alpha 3 [Source:HGNC Symbol;Acc:HGNC:4628]	1142	1.5941487550735474	0.11419167	No	
row_9	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	1473	1.3844501972198486	0.1138355	No	
row_10	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	1524	1.351572036743164	0.121401116	No	
row_11	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	2211	1.05510675907135	0.108496204	No	
row_12	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	2837	0.8751903772354126	0.09616428	No	
row_13	FMO3	flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]	3152	0.8068550825119019	0.09241887	No	
row_14	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3203	0.7959961891174316	0.09627698	No	
row_15	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	3335	0.7658886313438416	0.09757905	No	
row_16	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	3369	0.7593681216239929	0.101687014	No	
row_17	DHPS	deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]	3392	0.754793643951416	0.10608429	No	
row_18	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]	3413	0.7496475577354431	0.11050537	No	
row_19	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	3460	0.7419431805610657	0.114119075	No	
row_20	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	3782	0.6889156699180603	0.1093831	No	
row_21	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	3796	0.6869160532951355	0.11358909	No	
row_22	SSR3	signal sequence receptor subunit 3 [Source:HGNC Symbol;Acc:HGNC:11325]	3808	0.685370922088623	0.11784292	No	
row_23	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	4305	0.6071877479553223	0.10747331	No	
row_24	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	4441	0.5904592871665955	0.10748838	No	
row_25	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	4528	0.5805190801620483	0.10886183	No	
row_26	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	4696	0.5597394108772278	0.10774148	No	
row_27	AP4B1	adaptor related protein complex 4 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:572]	4814	0.5452790260314941	0.10797842	No	
row_28	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	5412	0.47840616106987	0.09381276	No	
row_29	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]	5638	0.4541858732700348	0.09030164	No	
row_30	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	6053	0.4160546064376831	0.08104075	No	
row_31	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	6192	0.40349921584129333	0.07972096	No	
row_32	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	6224	0.4016268253326416	0.08149978	No	
row_33	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	6231	0.40102794766426086	0.08400149	No	
row_34	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	6465	0.38093966245651245	0.07976897	No	
row_35	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	6864	0.3496498167514801	0.070530154	No	
row_36	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	7076	0.33402860164642334	0.06662425	No	
row_37	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	7083	0.33285537362098694	0.068671025	No	
row_38	SLC35B1	solute carrier family 35 member B1 [Source:HGNC Symbol;Acc:HGNC:20798]	7317	0.3153643012046814	0.0640009	No	
row_39	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	7672	0.2915898859500885	0.055653963	No	
row_40	GCKR	glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]	7816	0.28100475668907166	0.05337136	No	
row_41	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	8063	0.264107882976532	0.047981203	No	
row_42	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	8879	0.2182668000459671	0.025741074	No	
row_43	CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]	8914	0.21652399003505707	0.026197422	No	
row_44	CYB5A	cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]	8944	0.21485154330730438	0.026787989	No	
row_45	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	9073	0.20855645835399628	0.024458054	No	
row_46	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	9196	0.20227305591106415	0.022260644	No	
row_47	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	9205	0.20159903168678284	0.023373362	No	
row_48	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	9385	0.19239753484725952	0.019452734	No	
row_49	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	9564	0.1826084554195404	0.015495857	No	
row_50	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	9726	0.1752633899450302	0.011984251	No	
row_51	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	9816	0.17158986628055573	0.010541581	No	
row_52	HPRT1	hypoxanthine phosphoribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5157]	9866	0.1688358336687088	0.010243558	No	
row_53	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	9905	0.16723543405532837	0.010254689	No	
row_54	ARG2	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	10028	0.16182421147823334	0.0077873515	No	
row_55	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	10100	0.15861868858337402	0.0067814826	No	
row_56	GSS	glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]	10211	0.15363819897174835	0.004608426	No	
row_57	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	10477	0.14282266795635223	-0.0021435365	No	
row_58	HGFAC	HGF activator [Source:HGNC Symbol;Acc:HGNC:4894]	10910	0.1250411868095398	-0.013869799	No	
row_59	HES6	hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]	10979	0.12226103991270065	-0.015031065	No	
row_60	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	11231	0.11528012156486511	-0.021559766	No	
row_61	TYR	tyrosinase [Source:HGNC Symbol;Acc:HGNC:12442]	11407	0.1092190071940422	-0.025919164	No	
row_62	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]	11645	0.10026242583990097	-0.032141022	No	
row_63	CCL25	C-C motif chemokine ligand 25 [Source:HGNC Symbol;Acc:HGNC:10624]	11903	0.09089449048042297	-0.03900691	No	
row_64	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	12189	0.08131195604801178	-0.046750862	No	
row_65	DDAH2	dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716]	12231	0.07969073206186295	-0.04741117	No	
row_66	SLC12A4	solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]	12588	0.07259359955787659	-0.057277676	No	
row_67	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	12659	0.06952860206365585	-0.058848992	No	
row_68	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	13081	0.05638273060321808	-0.070713595	No	
row_69	UPB1	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	13975	0.04260459542274475	-0.09639387	No	
row_70	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	14281	0.034206029027700424	-0.10503369	No	
row_71	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	14334	0.032738763839006424	-0.10632715	No	
row_72	LONP1	lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]	14637	0.023382876068353653	-0.11495197	No	
row_73	CSAD	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966]	16132	0.011766796931624413	-0.15831251	No	
row_74	NFS1	NFS1 cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910]	16255	0.008943509310483932	-0.16180007	No	
row_75	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	16882	-0.003095058025792241	-0.17998078	No	
row_76	ACP2	acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]	17427	-0.00701871607452631	-0.19575112	No	
row_77	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	17814	-0.020002221688628197	-0.20684086	No	
row_78	DDT	D-dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2732]	18457	-0.028956718742847443	-0.22531421	No	
row_79	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	18546	-0.031084466725587845	-0.22766544	No	
row_80	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	19604	-0.03852285444736481	-0.25814137	No	
row_81	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	20099	-0.05454692617058754	-0.27214074	No	
row_82	MARCHF6	membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]	21195	-0.07896066457033157	-0.3034517	No	
row_83	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	21272	-0.0812053382396698	-0.30511954	No	
row_84	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	21597	-0.08640684932470322	-0.31396344	No	
row_85	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	21986	-0.09902223199605942	-0.324584	No	
row_86	GSTT2	glutathione S-transferase theta 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:4642]	22521	-0.11670602858066559	-0.3393316	No	
row_87	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	22811	-0.12754803895950317	-0.34688333	No	
row_88	PYCR1	pyrroline-5-carboxylate reductase 1 [Source:HGNC Symbol;Acc:HGNC:9721]	23080	-0.1381307691335678	-0.3537538	No	
row_89	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	23206	-0.14268270134925842	-0.35643613	No	
row_90	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	23299	-0.14493414759635925	-0.3581439	No	
row_91	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	23444	-0.15169084072113037	-0.36131853	No	
row_92	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	23754	-0.16372381150722504	-0.36921033	No	
row_93	TTPA	alpha tocopherol transfer protein [Source:HGNC Symbol;Acc:HGNC:12404]	23787	-0.1646948903799057	-0.3690417	No	
row_94	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	23803	-0.1652197390794754	-0.36837527	No	
