NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MMP1	1	ENSG00000196611	
LINC01819	1	ENSG00000231826	
FOXC2	1	ENSG00000176692	
AC012101.2	1	ENSG00000287281	
DRAXIN	1	ENSG00000162490	
APCDD1L	1	ENSG00000198768	
SLC10A4	1	ENSG00000145248	
TDRD12	1	ENSG00000173809	
ALDH1L2	1	ENSG00000136010	
RN7SL5P	1	ENSG00000265735	
ELN	1	ENSG00000049540	
LCT-AS1	1	ENSG00000226806	
AJAP1	1	ENSG00000196581	
CDH10	1	ENSG00000040731	
LRRC17	1	ENSG00000128606	
FOXL1	1	ENSG00000176678	
CPAMD8	1	ENSG00000160111	
FHL5	1	ENSG00000112214	
AC091182.1	1	ENSG00000253123	
PHACTR3	1	ENSG00000087495	
AC005280.2	1	ENSG00000284930	
TMEM100	1	ENSG00000166292	
CRLF1	1	ENSG00000006016	
HAPLN1	1	ENSG00000145681	
STC2	1	ENSG00000113739	
STC1	1	ENSG00000159167	
RNA5-8SN4	1	ENSG00000276700	
AC087392.1	1	ENSG00000262003	
INHBA	1	ENSG00000122641	
FZD8	1	ENSG00000177283	
COL9A2	1	ENSG00000049089	
DKK3	1	ENSG00000050165	
SNORA73B	1	ENSG00000200087	
MRC2	1	ENSG00000011028	
GCK	1	ENSG00000106633	
PODNL1	1	ENSG00000132000	
WNT7B	1	ENSG00000188064	
KCNMA1	1	ENSG00000156113	
RASL11B	1	ENSG00000128045	
MMP13	1	ENSG00000137745	
ROS1	1	ENSG00000047936	
GABRA2	1	ENSG00000151834	
PRPH2	1	ENSG00000112619	
SHE	1	ENSG00000169291	
RUNX1T1	1	ENSG00000079102	
VAT1L	1	ENSG00000171724	
KLRC2	1	ENSG00000205809	
FGF14	1	ENSG00000102466	
LAMA2	1	ENSG00000196569	
HES7	1	ENSG00000179111	
MEG9	1	ENSG00000223403	
DMRT2	1	ENSG00000173253	
CCDC74A	1	ENSG00000163040	
DOK6	1	ENSG00000206052	
NR0B1	1	ENSG00000169297	
FBLN2	1	ENSG00000163520	
EBF4	1	ENSG00000088881	
PPP1R14A	1	ENSG00000167641	
RPL29P19	1	ENSG00000224594	
FAT3	1	ENSG00000165323	
TNR	1	ENSG00000116147	
ID1	1	ENSG00000125968	
SOD3	1	ENSG00000109610	
F3	1	ENSG00000117525	
CABCOCO1	1	ENSG00000183346	
TSPAN11	1	ENSG00000110900	
MXRA8	1	ENSG00000162576	
SFTPA2	1	ENSG00000185303	
RORB	1	ENSG00000198963	
RNU4-1	1	ENSG00000200795	
ACAN	1	ENSG00000157766	
INHBA-AS1	1	ENSG00000224116	
RFPL1S	1	ENSG00000225465	
CYS1	1	ENSG00000205795	
ADGRG2	1	ENSG00000173698	
GLT8D2	1	ENSG00000120820	
ALX4	1	ENSG00000052850	
KIF1A	1	ENSG00000130294	
COL13A1	1	ENSG00000197467	
FBN2	1	ENSG00000138829	
MECOM	1	ENSG00000085276	
COL7A1	1	ENSG00000114270	
MEG3	1	ENSG00000214548	
LUZP2	1	ENSG00000187398	
SH3PXD2A-AS1	1	ENSG00000280693	
MFAP2	1	ENSG00000117122	
UCHL1	1	ENSG00000154277	
MIR503HG	1	ENSG00000223749	
NPR1	1	ENSG00000169418	
AGTR1	1	ENSG00000144891	
OGN	1	ENSG00000106809	
OMD	1	ENSG00000127083	
PROSER2-AS1	1	ENSG00000225778	
PTGDS	1	ENSG00000107317	
TDRD10	1	ENSG00000163239	
ITGA8	1	ENSG00000077943	
DCHS2	1	ENSG00000197410	
LUM	1	ENSG00000139329	
MFAP4	1	ENSG00000166482	
CCN4	1	ENSG00000104415	
SLIT3	1	ENSG00000184347	
CILP2	1	ENSG00000160161	
LRP1B	1	ENSG00000168702	
ADAMTS7P1	1	ENSG00000274376	
NKX2-5	1	ENSG00000183072	
WIF1	1	ENSG00000156076	
SLAMF9	1	ENSG00000162723	
SHISAL1	1	ENSG00000138944	
PRDM16-DT	1	ENSG00000177133	
MEX3A	1	ENSG00000254726	
SLC38A5	1	ENSG00000017483	
PRRG3	1	ENSG00000130032	
HS6ST2	1	ENSG00000171004	
CXCL5	1	ENSG00000163735	
RNU4-2	1	ENSG00000202538	
SYCP2	1	ENSG00000196074	
SFTPB	1	ENSG00000168878	
AP002852.1	1	ENSG00000253633	
DIRC3-AS1	1	ENSG00000233143	
TRGV3	1	ENSG00000211699	
RGS17	1	ENSG00000091844	
LAYN	1	ENSG00000204381	
ADAMTS12	1	ENSG00000151388	
IL10	1	ENSG00000136634	
NHS	1	ENSG00000188158	
SDK1	1	ENSG00000146555	
SLC12A8	1	ENSG00000221955	
VCAN	1	ENSG00000038427	
SLC51B	1	ENSG00000186198	
NOS1	1	ENSG00000089250	
ADGRF5	1	ENSG00000069122	
FSD1	1	ENSG00000105255	
TRIL	1	ENSG00000255690	
BCAT1	1	ENSG00000060982	
EPHA3	1	ENSG00000044524	
SSTR2	1	ENSG00000180616	
MEOX2	1	ENSG00000106511	
CACNB1	1	ENSG00000067191	
OLFML1	1	ENSG00000183801	
PKDCC	1	ENSG00000162878	
FMOD	1	ENSG00000122176	
LINC00460	1	ENSG00000233532	
CPE	1	ENSG00000109472	
PXDN	1	ENSG00000130508	
LMOD1	1	ENSG00000163431	
METTL11B	1	ENSG00000203740	
LAMC3	1	ENSG00000050555	
SULF1	1	ENSG00000137573	
CCNA1	1	ENSG00000133101	
GDPD2	1	ENSG00000130055	
LINC02584	1	ENSG00000254417	
SPAG4	1	ENSG00000061656	
LINC01711	1	ENSG00000268941	
HTR1F	1	ENSG00000179097	
MMP2	1	ENSG00000087245	
LCN2	1	ENSG00000148346	
C6orf223	1	ENSG00000181577	
OSR1	1	ENSG00000143867	
C3orf80	1	ENSG00000180044	
GABRQ	1	ENSG00000268089	
COMP	1	ENSG00000105664	
LINC00671	1	ENSG00000213373	
CLMP	1	ENSG00000166250	
LINC02544	1	ENSG00000261039	
NPNT	1	ENSG00000168743	
ZAR1	1	ENSG00000182223	
TRPA1	1	ENSG00000104321	
GFPT2	1	ENSG00000131459	
KL	1	ENSG00000133116	
CFAP61	1	ENSG00000089101	
RASSF9	1	ENSG00000198774	
NMUR1	1	ENSG00000171596	
NPTX2	1	ENSG00000106236	
MUC13	1	ENSG00000173702	
EFCAB1	1	ENSG00000034239	
MICAL2	1	ENSG00000133816	
NCMAP	1	ENSG00000184454	
FOXG1	1	ENSG00000176165	
FBLN7	1	ENSG00000144152	
PODXL	1	ENSG00000128567	
IGF2	1	ENSG00000167244	
PDE4C	1	ENSG00000105650	
NEURL1	1	ENSG00000107954	
PDGFD	1	ENSG00000170962	
LYPLAL1-AS1	1	ENSG00000228536	
CLIC6	1	ENSG00000159212	
KIF5A	1	ENSG00000155980	
H2BW3P	1	ENSG00000235946	
SOAT2	1	ENSG00000167780	
NMU	1	ENSG00000109255	
DCSTAMP	1	ENSG00000164935	
SH2D1B	1	ENSG00000198574	
RASL12	1	ENSG00000103710	
LRRTM1	1	ENSG00000162951	
AC034199.1	1	ENSG00000250274	
SPAG6	1	ENSG00000077327	
GAL	1	ENSG00000069482	
RAD1P2	1	ENSG00000233473	
PAEP	1	ENSG00000122133	
RGS22	1	ENSG00000132554	
SLC16A12	1	ENSG00000152779	
POU2F3	1	ENSG00000137709	
RAB31	1	ENSG00000168461	
ASS1	1	ENSG00000130707	
IL31RA	1	ENSG00000164509	
ADGRL3	1	ENSG00000150471	
LTBP1	1	ENSG00000049323	
CEP126	1	ENSG00000110318	
AIM2	1	ENSG00000163568	
CALHM5	1	ENSG00000178033	
GABRR1	1	ENSG00000146276	
AL109615.3	1	ENSG00000237686	
EDIL3-DT	1	ENSG00000250320	
ANGPTL5	1	ENSG00000187151	
LINC02086	1	ENSG00000244649	
HCAR1	1	ENSG00000196917	
NID1	1	ENSG00000116962	
RSPO4	1	ENSG00000101282	
BHLHA15	1	ENSG00000180535	
PTGER2	1	ENSG00000125384	
ADAP1	1	ENSG00000105963	
HTR1D	1	ENSG00000179546	
LINC01239	1	ENSG00000234840	
CYP1B1-AS1	1	ENSG00000232973	
SLC7A14	1	ENSG00000013293	
OTP	1	ENSG00000171540	
SVEP1	1	ENSG00000165124	
TRIM71	1	ENSG00000206557	
RIPPLY3	1	ENSG00000183145	
AC036214.1	1	ENSG00000249328	
ARMC4	1	ENSG00000169126	
PRDM16	1	ENSG00000142611	
ITGA5	1	ENSG00000161638	
ALDH1A2	1	ENSG00000128918	
ADAMTS2	1	ENSG00000087116	
KCNJ15	1	ENSG00000157551	
MYLK2	1	ENSG00000101306	
KCNK3	1	ENSG00000171303	
TIE1	1	ENSG00000066056	
FAT4	1	ENSG00000196159	
IMPA1P1	1	ENSG00000251521	
SNORA74B	1	ENSG00000212402	
SHISA6	1	ENSG00000188803	
TTLL11-IT1	1	ENSG00000237548	
PROCR	1	ENSG00000101000	
IGLV6-57	1	ENSG00000211640	
CYP24A1	1	ENSG00000019186	
P2RX2	1	ENSG00000187848	
TMEM200B	1	ENSG00000253304	
PPEF1	1	ENSG00000086717	
LCN1	1	ENSG00000160349	
LRRN3	1	ENSG00000173114	
ROR2	1	ENSG00000169071	
OR51E1	1	ENSG00000180785	
MOV10L1	1	ENSG00000073146	
MATN3	1	ENSG00000132031	
EMILIN3	1	ENSG00000183798	
OR51E2	1	ENSG00000167332	
ACTG2	1	ENSG00000163017	
NKX2-6	1	ENSG00000180053	
ANO1	1	ENSG00000131620	
AL845331.2	1	ENSG00000261522	
MALL	1	ENSG00000144063	
GREM2	1	ENSG00000180875	
ITGBL1	1	ENSG00000198542	
MEIOB	1	ENSG00000162039	
CCL8	1	ENSG00000108700	
COL12A1	1	ENSG00000111799	
CIBAR2	1	ENSG00000153789	
IL36B	1	ENSG00000136696	
CAPN6	1	ENSG00000077274	
SCGB3A2	1	ENSG00000164265	
PRRT2	1	ENSG00000167371	
MKX	1	ENSG00000150051	
TBX15	1	ENSG00000092607	
MYCT1	1	ENSG00000120279	
MMP11	1	ENSG00000099953	
DKFZP434A062	1	ENSG00000262075	
GPC1	1	ENSG00000063660	
ACTA2	1	ENSG00000107796	
PRR5L	1	ENSG00000135362	
LRRC8C	1	ENSG00000171488	
IL36G	1	ENSG00000136688	
LINC01429	1	ENSG00000227964	
NTSR1	1	ENSG00000101188	
GPC3	1	ENSG00000147257	
HIF3A	1	ENSG00000124440	
GPRACR	1	ENSG00000196979	
FABP3	1	ENSG00000121769	
RNU1-4	1	ENSG00000207389	
ECM2	1	ENSG00000106823	
GPR150	1	ENSG00000178015	
IRAG1	1	ENSG00000072952	
LINC00578	1	ENSG00000228221	
LINC02246	1	ENSG00000281903	
MIR34AHG	1	ENSG00000228526	
COL5A2	1	ENSG00000204262	
EBF3	1	ENSG00000108001	
CLDN11	1	ENSG00000013297	
AKR1C7P	1	ENSG00000215267	
IGLV3-9	1	ENSG00000211670	
FUT1	1	ENSG00000174951	
GSC	1	ENSG00000133937	
CCIN	1	ENSG00000185972	
LINC02757	1	ENSG00000255363	
SFTPA1	1	ENSG00000122852	
LINC02392	1	ENSG00000258183	
STAC	1	ENSG00000144681	
MRPS17P1	1	ENSG00000268949	
CLEC18C	1	ENSG00000157335	
PTCH2	1	ENSG00000117425	
OPN4	1	ENSG00000122375	
PLAC1	1	ENSG00000170965	
ZNF469	1	ENSG00000225614	
TMC7	1	ENSG00000170537	
FBXO43	1	ENSG00000156509	
HID1	1	ENSG00000167861	
RFX8	1	ENSG00000196460	
DNM3OS	1	ENSG00000230630	
LINC00517	1	ENSG00000259091	
PDGFB	1	ENSG00000100311	
RUNX2	1	ENSG00000124813	
PDE1C	1	ENSG00000154678	
CACNA2D2	1	ENSG00000007402	
PDE4DIP	1	ENSG00000178104	
MYH15	1	ENSG00000144821	
ZFP42	1	ENSG00000179059	
SERPINH1	1	ENSG00000149257	
ESAM	1	ENSG00000149564	
SNORD14E	1	ENSG00000200879	
LRRN4	1	ENSG00000125872	
SFRP2	1	ENSG00000145423	
VCAN-AS1	1	ENSG00000249835	
BRINP2	1	ENSG00000198797	
NXPH3	1	ENSG00000182575	
MPP4	1	ENSG00000082126	
ASPM	1	ENSG00000066279	
FNDC1	1	ENSG00000164694	
SNCB	1	ENSG00000074317	
HTR2A	1	ENSG00000102468	
STYK1	1	ENSG00000060140	
EDNRA	1	ENSG00000151617	
GPR68	1	ENSG00000119714	
L1TD1	1	ENSG00000240563	
AC073130.1	1	ENSG00000237870	
BGLAP	1	ENSG00000242252	
PCAT5	1	ENSG00000280719	
AOC3	1	ENSG00000131471	
SPACA6	1	ENSG00000182310	
HECW2-AS1	1	ENSG00000229056	
F2RL2	1	ENSG00000164220	
KCNA1	1	ENSG00000111262	
ODF2	1	ENSG00000136811	
FAM72C	1	ENSG00000263513	
RPL23AP20	1	ENSG00000235990	
TFF3	1	ENSG00000160180	
AQP1	1	ENSG00000240583	
HVCN1	1	ENSG00000122986	
FAM131B	1	ENSG00000159784	
CDCP1	1	ENSG00000163814	
HTRA3	1	ENSG00000170801	
PIANP	1	ENSG00000139200	
PRRX1	1	ENSG00000116132	
CRACR2B	1	ENSG00000177685	
AC008163.1	1	ENSG00000233491	
NOTO	1	ENSG00000214513	
MMP19	1	ENSG00000123342	
LETM2	1	ENSG00000165046	
WNT2	1	ENSG00000105989	
CHN1	1	ENSG00000128656	
SMCO2	1	ENSG00000165935	
CCDC102B	1	ENSG00000150636	
GJA5	1	ENSG00000265107	
LINC00565	1	ENSG00000260910	
CA12	1	ENSG00000074410	
RASGRF2-AS1	1	ENSG00000251450	
LINC00924	1	ENSG00000259134	
SMAGP	1	ENSG00000170545	
AXL	1	ENSG00000167601	
SLC6A6	1	ENSG00000131389	
PDGFRB	1	ENSG00000113721	
LINC00629	1	ENSG00000227060	
KLRK1	1	ENSG00000213809	
TRPC6	1	ENSG00000137672	
NANOS3	1	ENSG00000187556	
CKAP2L	1	ENSG00000169607	
ROBO4	1	ENSG00000154133	
SLC16A3	1	ENSG00000141526	
ADRA1D	1	ENSG00000171873	
MMRN1	1	ENSG00000138722	
ZP1	1	ENSG00000149506	
PNOC	1	ENSG00000168081	
SORCS2	1	ENSG00000184985	
GUCY1A2	1	ENSG00000152402	
FGF9	1	ENSG00000102678	
FBXL13	1	ENSG00000161040	
APCDD1L-DT	1	ENSG00000231290	
ANO3	1	ENSG00000134343	
PEAR1	1	ENSG00000187800	
STX1A	1	ENSG00000106089	
LINC01929	1	ENSG00000267013	
TPPP3	1	ENSG00000159713	
DERL3	1	ENSG00000099958	
ATAD2	1	ENSG00000156802	
AC009053.3	1	ENSG00000261170	
GPR176	1	ENSG00000166073	
TENT5C	1	ENSG00000183508	
MYH13	1	ENSG00000006788	
LDB2	1	ENSG00000169744	
ROPN1L	1	ENSG00000145491	
TSHZ3	1	ENSG00000121297	
PREX2	1	ENSG00000046889	
ZMIZ1-AS1	1	ENSG00000224596	
SPOCD1	1	ENSG00000134668	
FOXH1	1	ENSG00000160973	
RASGRF2	1	ENSG00000113319	
TTC16	1	ENSG00000167094	
AVIL	1	ENSG00000135407	
ANKRD34A	1	ENSG00000272031	
ISLR	1	ENSG00000129009	
CENPL	1	ENSG00000120334	
LINC01482	1	ENSG00000267659	
CPED1	1	ENSG00000106034	
PROK2	1	ENSG00000163421	
ITPKA	1	ENSG00000137825	
HHIP	1	ENSG00000164161	
H1-0	1	ENSG00000189060	
FAM71D	1	ENSG00000172717	
NRGN	1	ENSG00000154146	
STEAP4	1	ENSG00000127954	
UNC5B	1	ENSG00000107731	
BICC1	1	ENSG00000122870	
ZBTB8A	1	ENSG00000160062	
FIBIN	1	ENSG00000176971	
NPW	1	ENSG00000183971	
CNTN6	1	ENSG00000134115	
CACNA2D1-AS1	1	ENSG00000223770	
PPFIA2	1	ENSG00000139220	
TRPS1	1	ENSG00000104447	
HECW2	1	ENSG00000138411	
THBS3	1	ENSG00000169231	
LUCAT1	1	ENSG00000248323	
JCAD	1	ENSG00000165757	
CRMP1	1	ENSG00000072832	
STRA6	1	ENSG00000137868	
ADAM12	1	ENSG00000148848	
JAM2	1	ENSG00000154721	
BCAM	1	ENSG00000187244	
DNLZ	1	ENSG00000213221	
ADAMTSL1	1	ENSG00000178031	
TMEM204	1	ENSG00000131634	
S100A5	1	ENSG00000196420	
EGFL6	1	ENSG00000198759	
SMIM31	1	ENSG00000248771	
SYTL5	1	ENSG00000147041	
STX2	1	ENSG00000111450	
CST1	1	ENSG00000170373	
ENC1	1	ENSG00000171617	
CRABP2	1	ENSG00000143320	
ISL2	1	ENSG00000159556	
TWIST2	1	ENSG00000233608	
ANK3	1	ENSG00000151150	
DNM1	1	ENSG00000106976	
DCN	1	ENSG00000011465	
LINC01502	1	ENSG00000237339	
DACH1	1	ENSG00000276644	
CNN1	1	ENSG00000130176	
WDR86-AS1	1	ENSG00000243836	
SMURF2	1	ENSG00000108854	
COL10A1	1	ENSG00000123500	
VSNL1	1	ENSG00000163032	
ACKR3	1	ENSG00000144476	
FOXL2	1	ENSG00000183770	
CDH11	1	ENSG00000140937	
KISS1R	1	ENSG00000116014	
ERVMER34-1	1	ENSG00000226887	
CCDC188	1	ENSG00000234409	
TMEM191B	1	ENSG00000278558	
FILIP1	1	ENSG00000118407	
LINC01096	1	ENSG00000246095	
ZNF365	3	ENSG00000285551:ENSG00000285837:ENSG00000138311	
TRPC1	1	ENSG00000144935	
IGF2-AS	1	ENSG00000099869	
