NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.5416739	-1.9328073	0.0	0.0	0.0	7910	tags=42%, list=23%, signal=54%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	-0.56057143	-1.8581495	0.0	8.841991E-4	0.002	5888	tags=44%, list=17%, signal=53%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.46143535	-1.6355045	0.0	0.0077607897	0.025	6051	tags=35%, list=17%, signal=43%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	200	-0.45142266	-1.6189207	0.0	0.0073234714	0.032	6013	tags=39%, list=17%, signal=46%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	-0.4381953	-1.4521649	0.015350877	0.04259956	0.219	5983	tags=33%, list=17%, signal=39%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	-0.39445254	-1.4109061	0.0025575447	0.053607482	0.298	5609	tags=32%, list=16%, signal=37%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	200	-0.359068	-1.2993059	0.028011205	0.12544322	0.633	4185	tags=22%, list=12%, signal=25%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	149	-0.37550083	-1.2873441	0.05	0.12141188	0.67	8020	tags=34%, list=23%, signal=44%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	199	-0.3502936	-1.2399186	0.05357143	0.16560075	0.816	6366	tags=31%, list=18%, signal=37%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	-0.3270241	-1.172233	0.110552765	0.25910294	0.95	5737	tags=29%, list=17%, signal=35%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.37029895	-1.0995792	0.2772074	0.40476424	0.996	6433	tags=24%, list=19%, signal=30%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	199	-0.30180147	-1.083012	0.22670025	0.4185639	0.998	4039	tags=22%, list=12%, signal=25%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	-0.2924359	-1.0443853	0.32019705	0.49582884	1.0	4032	tags=21%, list=12%, signal=23%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	-0.30822396	-1.0019444	0.44028103	0.5949167	1.0	4821	tags=23%, list=14%, signal=26%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.27967444	-0.9912475	0.48157248	0.589808	1.0	8530	tags=29%, list=25%, signal=38%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	200	-0.2727655	-0.9693328	0.5493671	0.62203777	1.0	2748	tags=12%, list=8%, signal=12%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.29944095	-0.96886325	0.512035	0.58630234	1.0	4745	tags=22%, list=14%, signal=25%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	158	-0.27152365	-0.94556075	0.5900474	0.6239062	1.0	5725	tags=25%, list=17%, signal=29%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	-0.30938867	-0.88394123	0.64175826	0.768181	1.0	7974	tags=37%, list=23%, signal=48%	
