NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	200	0.7722158	2.6650286	0.0	0.0	0.0	3671	tags=58%, list=11%, signal=65%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	199	0.5251031	1.8057897	0.0	0.0020900683	0.004	5278	tags=35%, list=15%, signal=41%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	199	0.5055383	1.7422076	0.0	0.0029201976	0.008	4451	tags=30%, list=13%, signal=34%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.49637896	1.712512	0.0	0.003466384	0.013	7591	tags=48%, list=22%, signal=61%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	200	0.49021858	1.6880405	0.0	0.00337884	0.016	2996	tags=25%, list=9%, signal=27%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.49721587	1.6247916	0.0	0.0065737655	0.036	3505	tags=27%, list=10%, signal=30%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	0.47049302	1.6030096	0.0	0.008070751	0.049	6388	tags=40%, list=18%, signal=48%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	0.4651221	1.5983312	0.0	0.0073569864	0.051	5141	tags=32%, list=15%, signal=37%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	0.5896669	1.5539455	0.011538462	0.011539664	0.091	3652	tags=42%, list=11%, signal=47%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	199	0.44729754	1.5348516	0.0	0.012801012	0.112	5021	tags=30%, list=15%, signal=34%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	200	0.43297246	1.4809277	0.0	0.021480039	0.2	4956	tags=26%, list=14%, signal=30%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.53220296	1.4668205	0.02559415	0.023250924	0.235	6256	tags=40%, list=18%, signal=49%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.50314283	1.430549	0.036713287	0.03144862	0.324	1844	tags=20%, list=5%, signal=21%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	199	0.4197138	1.427443	0.008547009	0.02995707	0.331	4102	tags=28%, list=12%, signal=32%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	138	0.40038627	1.3018895	0.045296166	0.10166811	0.77	2228	tags=20%, list=6%, signal=21%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	161	0.38896903	1.2919155	0.041666668	0.105067626	0.803	4567	tags=24%, list=13%, signal=27%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	0.37273803	1.2797658	0.0461285	0.11166495	0.838	5959	tags=27%, list=17%, signal=32%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	132	0.38008937	1.2493596	0.06779661	0.13899136	0.908	3190	tags=19%, list=9%, signal=21%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	199	0.35680217	1.2183897	0.08277027	0.17170472	0.96	7873	tags=35%, list=23%, signal=45%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.35412875	1.2046725	0.09060956	0.18356591	0.977	6883	tags=34%, list=20%, signal=42%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		199	0.34674928	1.198834	0.08617886	0.18352638	0.979	2778	tags=19%, list=8%, signal=21%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		74	0.38834417	1.1728427	0.1764706	0.21252602	0.989	2670	tags=20%, list=8%, signal=22%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	0.4352582	1.1355865	0.2635514	0.2663807	0.999	4096	tags=28%, list=12%, signal=32%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		113	0.3374117	1.0752656	0.30086955	0.38131225	1.0	6117	tags=27%, list=18%, signal=32%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		100	0.33313298	1.051672	0.3681416	0.42115965	1.0	5317	tags=26%, list=15%, signal=31%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		87	0.3444073	1.0474079	0.38732395	0.41446945	1.0	7574	tags=34%, list=22%, signal=44%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		39	0.3824981	1.0165824	0.45286506	0.4761521	1.0	3709	tags=18%, list=11%, signal=20%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		36	0.37072346	0.9871781	0.4746377	0.5326437	1.0	5268	tags=36%, list=15%, signal=43%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		44	0.31419632	0.8683714	0.67741936	0.8347486	1.0	1942	tags=16%, list=6%, signal=17%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		200	0.23265044	0.7936314	0.96103895	0.9518443	1.0	6770	tags=23%, list=20%, signal=28%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		97	0.24426235	0.7626363	0.92998207	0.9533103	1.0	5977	tags=19%, list=17%, signal=22%	
