NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	726	0.4219944179058075	-0.008358725	No	
row_1	RABEPK	Rab9 effector protein with kelch motifs [Source:HGNC Symbol;Acc:HGNC:16896]	1567	0.35151052474975586	-0.022161294	No	
row_2	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	1943	0.33097004890441895	-0.02306501	No	
row_3	RO60	Ro60, Y RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11313]	2589	0.303352415561676	-0.03265307	No	
row_4	TOR1B	torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]	3309	0.28336355090141296	-0.044996493	No	
row_5	ZNF35	zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]	4910	0.24051129817962646	-0.08424873	No	
row_6	APOC4	apolipoprotein C4 [Source:HGNC Symbol;Acc:HGNC:611]	5260	0.23176632821559906	-0.08739359	No	
row_7	HABP4	hyaluronan binding protein 4 [Source:HGNC Symbol;Acc:HGNC:17062]	5275	0.23132683336734772	-0.08081195	No	
row_8	GALNS	galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122]	6227	0.20783677697181702	-0.1021823	No	
row_9	GNRH1	gonadotropin releasing hormone 1 [Source:HGNC Symbol;Acc:HGNC:4419]	6406	0.2034003883600235	-0.10121248	No	
row_10	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	6522	0.20025870203971863	-0.09850592	No	
row_11	PSMC5	proteasome 26S subunit, ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9552]	6803	0.19697147607803345	-0.10069587	No	
row_12	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	7043	0.19176313281059265	-0.10185115	No	
row_13	SUPT7L	SPT7 like, STAGA complex subunit gamma [Source:HGNC Symbol;Acc:HGNC:30632]	7053	0.19148023426532745	-0.09632795	No	
row_14	HARS1	histidyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4816]	7205	0.18802544474601746	-0.09503763	No	
row_15	RBM34	RNA binding motif protein 34 [Source:HGNC Symbol;Acc:HGNC:28965]	7209	0.18778063356876373	-0.08945176	No	
row_16	DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	7679	0.1805734485387802	-0.09763211	No	
row_17	TARDBP	TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]	8067	0.17228949069976807	-0.10367865	No	
row_18	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	8293	0.16872410476207733	-0.10512293	No	
