NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SUGP2	SURP and G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18641]	1196	0.37723517417907715	-0.02243737	No	
row_1	NGB	neuroglobin [Source:HGNC Symbol;Acc:HGNC:14077]	3807	0.2702852487564087	-0.089444	No	
row_2	ASXL3	ASXL transcriptional regulator 3 [Source:HGNC Symbol;Acc:HGNC:29357]	3950	0.2670597732067108	-0.08485546	No	
row_3	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	4169	0.2607221305370331	-0.082681656	No	
row_4	LUC7L	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	4832	0.24221399426460266	-0.09401087	No	
row_5	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	5225	0.23262853920459747	-0.09780879	No	
row_6	NEFM	neurofilament medium [Source:HGNC Symbol;Acc:HGNC:7734]	5363	0.22980639338493347	-0.09429054	No	
row_7	BRD3OS	BRD3 opposite strand [Source:HGNC Symbol;Acc:HGNC:24742]	6310	0.20528562366962433	-0.11507547	No	
row_8	KIF25	kinesin family member 25 [Source:HGNC Symbol;Acc:HGNC:6390]	7207	0.18787239491939545	-0.13497597	No	
row_9	SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]	7540	0.183533176779747	-0.13863271	No	
row_10	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	7634	0.18146546185016632	-0.1354135	No	
row_11	SEPTIN7	septin 7 [Source:HGNC Symbol;Acc:HGNC:1717]	8677	0.16073980927467346	-0.1604409	No	
row_12	PAFAH2	platelet activating factor acetylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8579]	8897	0.15748494863510132	-0.16166471	No	
row_13	KPNA6	karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]	9306	0.1484861969947815	-0.16867296	No	
row_14	EPHB1	EPH receptor B1 [Source:HGNC Symbol;Acc:HGNC:3392]	9489	0.1455327272415161	-0.16921182	No	
row_15	SERF1A	small EDRK-rich factor 1A [Source:HGNC Symbol;Acc:HGNC:10755]	9635	0.14208471775054932	-0.16878827	No	
row_16	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	9679	0.14109642803668976	-0.16543365	No	
row_17	TBX2	T-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11597]	10114	0.1341453492641449	-0.17366518	No	
row_18	MAGED4B	MAGE family member D4B [Source:HGNC Symbol;Acc:HGNC:22880]	10268	0.1304948478937149	-0.1738522	No	
row_19	NSG1	neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]	10635	0.12453214824199677	-0.18042187	No	
row_20	INTS11	integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]	10701	0.12306532263755798	-0.17829473	No	
