NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXC2	forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]	11	0.6957541108131409	0.012695018	Yes	
row_1	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	16	0.6856372356414795	0.02540432	Yes	
row_2	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	20	0.6741570234298706	0.037927948	Yes	
row_3	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	23	0.6645212769508362	0.0503004	Yes	
row_4	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	26	0.6622395515441895	0.06263018	Yes	
row_5	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]	33	0.648196816444397	0.07458096	Yes	
row_6	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	39	0.636797308921814	0.08634758	Yes	
row_7	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	53	0.6122404336929321	0.09742223	Yes	
row_8	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	61	0.599723219871521	0.10843719	Yes	
row_9	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	99	0.5649881958961487	0.117930114	Yes	
row_10	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	129	0.5454761385917664	0.12729065	Yes	
row_11	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	132	0.5444245934486389	0.13741657	Yes	
row_12	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	142	0.5403103232383728	0.14726199	Yes	
row_13	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	160	0.5334529280662537	0.15674654	Yes	
row_14	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	182	0.5264542102813721	0.16598386	Yes	
row_15	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	197	0.5202885270118713	0.17530936	Yes	
row_16	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	213	0.5146326422691345	0.18450001	Yes	
row_17	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	218	0.5125907063484192	0.19397227	Yes	
row_18	ECM2	extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]	236	0.5073240399360657	0.20296805	Yes	
row_19	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	240	0.5062156915664673	0.21235014	Yes	
row_20	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	268	0.5001618266105652	0.22092119	Yes	
row_21	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	299	0.4936307668685913	0.22928283	Yes	
row_22	MATN3	matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]	316	0.48867863416671753	0.2379589	Yes	
