NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	20	0.6741570234298706	0.013882266	Yes	
row_1	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	23	0.6645212769508362	0.028081147	Yes	
row_2	SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]	74	0.5880873203277588	0.039244577	Yes	
row_3	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	99	0.5649881958961487	0.050668374	Yes	
row_4	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	129	0.5454761385917664	0.06152817	Yes	
row_5	RASSF9	Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]	205	0.5164671540260315	0.07042815	Yes	
row_6	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	213	0.5146326422691345	0.08126585	Yes	
row_7	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	218	0.5125907063484192	0.09214698	Yes	
row_8	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	240	0.5062156915664673	0.102397054	Yes	
row_9	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	242	0.5051615834236145	0.113206014	Yes	
row_10	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	243	0.5049490928649902	0.12403949	Yes	
row_11	PRR5L	proline rich 5 like [Source:HGNC Symbol;Acc:HGNC:25878]	244	0.5048502087593079	0.13487084	Yes	
row_12	PDGFRL	platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]	269	0.500063419342041	0.14490171	Yes	
row_13	RGCC	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	281	0.4974655508995056	0.1552548	Yes	
row_14	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	302	0.49292561411857605	0.16524883	Yes	
row_15	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	330	0.48616746068000793	0.17489432	Yes	
row_16	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	348	0.4803979992866516	0.18470679	Yes	
row_17	PCSK5	proprotein convertase subtilisin/kexin type 5 [Source:HGNC Symbol;Acc:HGNC:8747]	368	0.47648370265960693	0.19437714	Yes	
row_18	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	421	0.4646656811237335	0.20283446	Yes	
row_19	STK32B	serine/threonine kinase 32B [Source:HGNC Symbol;Acc:HGNC:14217]	446	0.46051734685897827	0.21201687	Yes	
row_20	CTHRC1	collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]	665	0.42924943566322327	0.21488793	Yes	
row_21	JAM2	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]	685	0.42610469460487366	0.22347741	Yes	
row_22	TMEM158	transmembrane protein 158 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30293]	768	0.4166545271873474	0.23003241	Yes	
row_23	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	803	0.4120039939880371	0.23788325	Yes	
row_24	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	872	0.40456920862197876	0.24458604	Yes	
row_25	BMP1	bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]	887	0.4035903513431549	0.25283784	Yes	
row_26	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	938	0.39950424432754517	0.25995532	Yes	
row_27	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]	951	0.39822274446487427	0.26815012	Yes	
row_28	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	1037	0.38989144563674927	0.2740437	Yes	
row_29	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	1068	0.38766223192214966	0.2814886	Yes	
row_30	DPT	dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]	1138	0.3828212320804596	0.2876957	Yes	
