NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROR2	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	28	0.6564176678657532	0.026183346	Yes	
row_1	SHISAL1	shisa like 1 [Source:HGNC Symbol;Acc:HGNC:29335]	60	0.6004689931869507	0.049978886	Yes	
row_2	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	100	0.5642243027687073	0.072052024	Yes	
row_3	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	182	0.5264542102813721	0.09135464	Yes	
row_4	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	207	0.5152356028556824	0.11184787	Yes	
row_5	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	251	0.5027236342430115	0.13127589	Yes	
row_6	GLT8D2	glycosyltransferase 8 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24890]	295	0.4945646822452545	0.15036838	Yes	
row_7	WIF1	WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]	327	0.4867927134037018	0.16948904	Yes	
row_8	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	371	0.4758073687553406	0.18781015	Yes	
row_9	CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	463	0.4575164318084717	0.20398791	Yes	
row_10	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	564	0.44376125931739807	0.21933915	Yes	
row_11	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	601	0.43875953555107117	0.23633957	Yes	
row_12	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	655	0.43040016293525696	0.25250348	Yes	
row_13	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	699	0.4249327778816223	0.26873243	Yes	
row_14	CEP55	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	746	0.4194813370704651	0.2846502	Yes	
row_15	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	769	0.4166502058506012	0.3011471	Yes	
row_16	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	772	0.41652897000312805	0.3182187	Yes	
row_17	NCAM1	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	857	0.4058551490306854	0.3324748	Yes	
row_18	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	1011	0.39241155982017517	0.34417826	Yes	
row_19	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	1185	0.3781513571739197	0.35471562	Yes	
row_20	HJURP	Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]	1224	0.37531280517578125	0.36904886	Yes	
row_21	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	1270	0.37182143330574036	0.38303563	Yes	
row_22	TRPS1	transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	1327	0.3681291937828064	0.39655176	Yes	
row_23	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1407	0.362913578748703	0.4091868	Yes	
row_24	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	1453	0.35999879240989685	0.42268738	Yes	
row_25	MELK	maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]	1561	0.35187387466430664	0.4340569	Yes	
row_26	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	1563	0.3516908586025238	0.44849104	Yes	
row_27	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]	1632	0.3467547297477722	0.46078038	Yes	
row_28	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	1826	0.3367360830307007	0.4690349	Yes	
row_29	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	1856	0.3353531062602997	0.48198566	Yes	
row_30	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	1943	0.33097004890441895	0.4931042	Yes	
row_31	COL9A3	collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]	1987	0.329134076833725	0.50539345	Yes	
row_32	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	1999	0.3285716772079468	0.51858693	Yes	
row_33	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	2235	0.3173864781856537	0.5248285	Yes	
row_34	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	2471	0.3081144392490387	0.53068876	Yes	
row_35	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	2877	0.2942562699317932	0.5310521	Yes	
row_36	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	3013	0.29062619805336	0.5390914	Yes	
row_37	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	3110	0.2883422076702118	0.54816705	Yes	
row_38	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	3111	0.28823399543762207	0.5600205	Yes	
row_39	CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	3126	0.2879319190979004	0.57145584	Yes	
row_40	GTSE1	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	3220	0.28523391485214233	0.5804906	Yes	
row_41	MSX2	msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]	3583	0.27607813477516174	0.58135265	Yes	
row_42	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	3812	0.2701970040798187	0.58585644	Yes	
row_43	FOXD1	forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]	3911	0.2677532136440277	0.5940274	Yes	
row_44	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	4131	0.2622237503528595	0.59846413	Yes	
row_45	PRPH	peripherin [Source:HGNC Symbol;Acc:HGNC:9461]	4513	0.25142902135849	0.5977618	Yes	
row_46	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	4712	0.24517260491847992	0.6021059	Yes	
row_47	GREM1	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]	4952	0.2393946498632431	0.6050242	Yes	
row_48	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	5287	0.23116524517536163	0.6048507	Yes	
row_49	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	5478	0.22657732665538788	0.608662	Yes	
row_50	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	5694	0.22182811796665192	0.6115534	Yes	
row_51	PBK	PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]	5769	0.21979324519634247	0.6184476	Yes	
row_52	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	6368	0.20431479811668396	0.6095186	No	
row_53	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	6522	0.20025870203971863	0.6133199	No	
row_54	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	6923	0.1936609447002411	0.60969126	No	
row_55	PCLAF	PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]	7603	0.1820790022611618	0.59750026	No	
row_56	DLGAP5	DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]	7766	0.17905181646347046	0.6001686	No	
row_57	SSX2	SSX family member 2 [Source:HGNC Symbol;Acc:HGNC:11336]	8052	0.17273545265197754	0.5990123	No	
row_58	TNC	tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]	8490	0.16445739567279816	0.5931103	No	
row_59	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	9446	0.14643651247024536	0.5714545	No	
row_60	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	9935	0.13826984167099	0.5629975	No	
row_61	FOXF2	forkhead box F2 [Source:HGNC Symbol;Acc:HGNC:3810]	10118	0.13410305976867676	0.56323767	No	
row_62	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	10286	0.13003090023994446	0.56374514	No	
row_63	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	10580	0.12563757598400116	0.56042016	No	
row_64	SHOX2	short stature homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10854]	10823	0.12006965279579163	0.55834424	No	
row_65	SCG5	secretogranin V [Source:HGNC Symbol;Acc:HGNC:10816]	11781	0.09929818660020828	0.53469193	No	
row_66	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	12866	0.07734410464763641	0.506456	No	
row_67	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	13979	0.05613330751657486	0.47653633	No	
row_68	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	13982	0.05601709708571434	0.47878206	No	
row_69	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	14049	0.0544762909412384	0.47910953	No	
row_70	CENPA	centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]	14694	0.04192650318145752	0.46216923	No	
row_71	CENPN	centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]	15275	0.03065563179552555	0.4466203	No	
row_72	SV2A	synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]	15696	0.022959014400839806	0.43539196	No	
row_73	GPSM2	G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]	18083	-0.021489528939127922	0.36712432	No	
row_74	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	19298	-0.045479316264390945	0.3338103	No	
row_75	EFNA3	ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]	19844	-0.056464821100234985	0.32033712	No	
row_76	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	21714	-0.09319579601287842	0.2700021	No	
row_77	PLP2	proteolipid protein 2 [Source:HGNC Symbol;Acc:HGNC:9087]	22194	-0.10259699821472168	0.2603389	No	
row_78	MAGEA3	MAGE family member A3 [Source:HGNC Symbol;Acc:HGNC:6801]	22938	-0.11787624657154083	0.24365278	No	
row_79	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	26942	-0.1866442710161209	0.13531289	No	
row_80	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	27352	-0.1955844610929489	0.13150251	No	
row_81	SSX3	SSX family member 3 [Source:HGNC Symbol;Acc:HGNC:11337]	27646	-0.20270805060863495	0.131347	No	
row_82	PITX1	paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]	28116	-0.21299953758716583	0.12651387	No	
row_83	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	28514	-0.22199077904224396	0.12413722	No	
row_84	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	28685	-0.22525803744792938	0.12847388	No	
row_85	SSX1	SSX family member 1 [Source:HGNC Symbol;Acc:HGNC:11335]	28706	-0.22588077187538147	0.13718347	No	
row_86	SSX4	SSX family member 4 [Source:HGNC Symbol;Acc:HGNC:11338]	30960	-0.26724961400032043	0.0828772	No	
row_87	NUSAP1	nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]	31054	-0.2695748507976532	0.09126799	No	
row_88	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	31178	-0.2733655869960785	0.09894521	No	
