NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	952	0.39821523427963257	-0.013892123	No	
row_1	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	3792	0.270713210105896	-0.08691315	No	
row_2	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	4109	0.26295483112335205	-0.08701806	No	
row_3	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	12471	0.08489231020212173	-0.32661635	No	
row_4	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	12552	0.08325857669115067	-0.32606784	No	
row_5	EPRS1	glutamyl-prolyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:3418]	13408	0.06705528497695923	-0.34855777	No	
row_6	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]	14065	0.05420583486557007	-0.3657182	No	
row_7	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	14298	0.04962506890296936	-0.37073767	No	
row_8	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	14428	0.04710325226187706	-0.37285638	No	
row_9	RPL39L	ribosomal protein L39 like [Source:HGNC Symbol;Acc:HGNC:17094]	14903	0.03791864216327667	-0.38529882	No	
row_10	HNMT	histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]	15362	0.028770215809345245	-0.39759243	No	
row_11	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	15881	0.01955261267721653	-0.41194403	No	
row_12	SCLY	selenocysteine lyase [Source:HGNC Symbol;Acc:HGNC:18161]	17719	-0.014547552913427353	-0.46472773	No	
row_13	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	18372	-0.027328751981258392	-0.4826983	No	
row_14	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]	18394	-0.02772112935781479	-0.48235217	No	
row_15	SARS1	seryl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:10537]	19082	-0.0410691574215889	-0.50086445	No	
row_16	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	19668	-0.05327344685792923	-0.5159975	No	
row_17	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	20468	-0.06789682805538177	-0.53683406	No	
row_18	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:HGNC:3212]	20487	-0.06823905557394028	-0.53500473	No	
row_19	RPL36A	ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]	20576	-0.07000508159399033	-0.53514504	No	
row_20	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	21175	-0.08254003524780273	-0.5496467	No	
row_21	LARS1	leucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6512]	21703	-0.09306041896343231	-0.56172633	No	
row_22	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	21765	-0.09411950409412384	-0.5602525	No	
row_23	RPS11	ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]	21857	-0.09606209397315979	-0.5595819	No	
row_24	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific [Source:HGNC Symbol;Acc:HGNC:24614]	21894	-0.09692136943340302	-0.5572863	No	
row_25	RPL35	ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]	22309	-0.1049891784787178	-0.56567717	No	
row_26	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	22384	-0.10627667605876923	-0.5641615	No	
row_27	RPL36AL	ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]	22428	-0.10729759186506271	-0.56171143	No	
row_28	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	22431	-0.10731201618909836	-0.55807155	No	
row_29	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	22653	-0.11221326887607574	-0.56061524	No	
row_30	RPL26L1	ribosomal protein L26 like 1 [Source:HGNC Symbol;Acc:HGNC:17050]	23726	-0.12913674116134644	-0.5872603	No	
