NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1L2	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	0	0.8783847093582153	0.019020533	Yes	
row_1	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]	9	0.697480320930481	0.033891328	Yes	
row_2	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	26	0.6622395515441895	0.047766585	Yes	
row_3	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]	33	0.648196816444397	0.061628304	Yes	
row_4	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	41	0.6360194087028503	0.07519728	Yes	
row_5	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	44	0.6300839185714722	0.088783	Yes	
row_6	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	53	0.6122404336929321	0.10180801	Yes	
row_7	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	59	0.6011930704116821	0.11468097	Yes	
row_8	EGFL6	EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]	66	0.5947214365005493	0.12738474	Yes	
row_9	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	76	0.5875509977340698	0.13984607	Yes	
row_10	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	99	0.5649881958961487	0.15144111	Yes	
row_11	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	121	0.5512638688087463	0.16276802	Yes	
row_12	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	122	0.5506500005722046	0.1746918	Yes	
row_13	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	142	0.5403103232383728	0.18583964	Yes	
row_14	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	178	0.5290720462799072	0.19627924	Yes	
row_15	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	182	0.5264542102813721	0.20759192	Yes	
row_16	TRPC1	transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]	189	0.5236011743545532	0.21875565	Yes	
row_17	ANGPT2	angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]	190	0.5234660506248474	0.23009077	Yes	
row_18	AL139393.3	MAP3K4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55048]	195	0.5215490460395813	0.24126817	Yes	
row_19	AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	211	0.5147650837898254	0.25197908	Yes	
row_20	SFRP2	secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]	216	0.5132805109024048	0.26297742	Yes	
row_21	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	218	0.5125907063484192	0.274048	Yes	
row_22	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	240	0.5062156915664673	0.28439945	Yes	
row_23	PRDM6	PR/SET domain 6 [Source:HGNC Symbol;Acc:HGNC:9350]	298	0.494166761636734	0.293444	Yes	
row_24	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	299	0.4936307668685913	0.3041331	Yes	
row_25	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	310	0.49043819308280945	0.31446248	Yes	
row_26	COL10A1	collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]	331	0.4859505295753479	0.32440418	Yes	
row_27	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	348	0.4803979992866516	0.33434182	Yes	
row_28	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	371	0.4758073687553406	0.34400576	Yes	
row_29	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	378	0.47447386384010315	0.35410568	Yes	
row_30	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	421	0.4646656811237335	0.36294726	Yes	
row_31	SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	424	0.4643458127975464	0.3729441	Yes	
row_32	CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	463	0.4575164318084717	0.38174707	Yes	
row_33	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	479	0.45562881231307983	0.39117742	Yes	
row_34	RBMS1	RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]	490	0.45396941900253296	0.40071714	Yes	
row_35	FNDC1	fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21184]	494	0.45373260974884033	0.41045508	Yes	
row_36	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	511	0.4510950446128845	0.41975823	Yes	
row_37	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	513	0.4509296715259552	0.4294936	Yes	
row_38	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	564	0.44376125931739807	0.43765008	Yes	
row_39	CTHRC1	collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]	665	0.42924943566322327	0.44403958	Yes	
row_40	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	698	0.4249943494796753	0.45231265	Yes	
row_41	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	803	0.4120039939880371	0.4582125	Yes	
row_42	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	880	0.4041394591331482	0.4647556	Yes	
row_43	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	960	0.3972930312156677	0.47106326	Yes	
row_44	NID2	nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]	1105	0.38476893305778503	0.47521117	Yes	
row_45	MTCL1	microtubule crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:29121]	1178	0.3788304924964905	0.48132244	Yes	
row_46	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1207	0.37654629349708557	0.48866266	Yes	
row_47	GPC6	glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]	1218	0.37579938769340515	0.49650967	Yes	
row_48	SFMBT2	Scm like with four mbt domains 2 [Source:HGNC Symbol;Acc:HGNC:20256]	1281	0.37137413024902344	0.50275004	Yes	
row_49	CARMN	cardiac mesoderm enhancer-associated non-coding RNA [Source:HGNC Symbol;Acc:HGNC:42872]	1417	0.362261027097702	0.506672	Yes	
row_50	PALM2AKAP2	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	1619	0.3476111888885498	0.50835925	Yes	
row_51	ANOS1	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]	1731	0.3419923782348633	0.5125397	Yes	
row_52	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	1794	0.33864182233810425	0.51807123	Yes	
row_53	NUAK1	NUAK family kinase 1 [Source:HGNC Symbol;Acc:HGNC:14311]	1937	0.33123090863227844	0.521118	Yes	
row_54	NXN	nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]	1976	0.32950156927108765	0.5271489	Yes	
row_55	ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]	2121	0.3216515779495239	0.5299301	Yes	
row_56	CEP170	centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]	2133	0.3212732970714569	0.53656733	Yes	
row_57	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	2323	0.3140491843223572	0.5378765	Yes	
row_58	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	2403	0.3112022578716278	0.5423199	Yes	
row_59	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	2597	0.30303385853767395	0.5432743	Yes	
row_60	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	2612	0.3025783598423004	0.5494195	Yes	
