NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	Details ...	351	0.5846737	2.1479955	0.002020202	0.43899366	0.134	6199	tags=49%, list=18%, signal=59%	
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	Details ...	175	0.6045966	2.1366763	0.003968254	0.26226276	0.156	6471	tags=53%, list=19%, signal=64%	
MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_INDEPENDENT	MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_INDEPENDENT	Details ...	24	0.7571869	2.1291616	0.0020283975	0.1971512	0.167	4882	tags=63%, list=14%, signal=73%	
LU_TUMOR_VASCULATURE_UP	LU_TUMOR_VASCULATURE_UP	Details ...	29	0.67547506	2.1062462	0.002004008	0.20309664	0.197	5588	tags=62%, list=16%, signal=74%	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	Details ...	46	0.5939469	2.0755713	0.0	0.24363199	0.264	5201	tags=48%, list=15%, signal=56%	
JI_CARCINOGENESIS_BY_KRAS_AND_STK11_DN	JI_CARCINOGENESIS_BY_KRAS_AND_STK11_DN	Details ...	17	0.7958158	2.0637155	0.0	0.23696893	0.287	2811	tags=65%, list=8%, signal=70%	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	Details ...	73	0.60359716	2.0607452	0.0019646366	0.21065035	0.295	5006	tags=48%, list=14%, signal=56%	
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	Details ...	64	0.78428954	2.0511496	0.0061728396	0.21061297	0.312	3359	tags=73%, list=10%, signal=81%	
ROY_WOUND_BLOOD_VESSEL_UP	ROY_WOUND_BLOOD_VESSEL_UP	Details ...	49	0.6457811	2.014853	0.002	0.29432827	0.391	8293	tags=71%, list=24%, signal=94%	
VANHARANTA_UTERINE_FIBROID_UP	VANHARANTA_UTERINE_FIBROID_UP	Details ...	44	0.5968923	2.0104089	0.0021097045	0.28107134	0.409	3631	tags=43%, list=10%, signal=48%	
