NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
TRAF3IP2	1	ENSG00000056972	
TRIL	1	ENSG00000255690	
CCDC13-AS1	1	ENSG00000173811	
HS6ST2	1	ENSG00000171004	
ZNF728	1	ENSG00000269067	
KAT5	1	ENSG00000172977	
CCN4	1	ENSG00000104415	
SNORA73B	1	ENSG00000200087	
PTGDS	1	ENSG00000107317	
INHBA-AS1	1	ENSG00000224116	
C6orf223	1	ENSG00000181577	
SLC12A8	1	ENSG00000221955	
RAD1P2	1	ENSG00000233473	
HES7	1	ENSG00000179111	
VCX3B	1	ENSG00000205642	
IGFL1P1	1	ENSG00000268879	
MUCL1	1	ENSG00000172551	
OMD	1	ENSG00000127083	
RPS4XP16	1	ENSG00000224892	
HOGA1	1	ENSG00000241935	
EBF4	1	ENSG00000088881	
KRT5	1	ENSG00000186081	
BHLHA15	1	ENSG00000180535	
SLC51B	1	ENSG00000186198	
GABRG2	1	ENSG00000113327	
DKK3	1	ENSG00000050165	
CYP39A1	1	ENSG00000146233	
IGFL2-AS1	1	ENSG00000268621	
SLPI	1	ENSG00000124107	
ZNF716	1	ENSG00000182111	
PSG4	1	ENSG00000243137	
SOAT2	1	ENSG00000167780	
MXRA8	1	ENSG00000162576	
AGTR1	1	ENSG00000144891	
RPL27	1	ENSG00000131469	
LINC02027	1	ENSG00000243694	
AC010601.1	1	ENSG00000259929	
EPHA3	1	ENSG00000044524	
MEG3	1	ENSG00000214548	
CFAP61	1	ENSG00000089101	
FTLP14	1	ENSG00000260459	
BEX1	1	ENSG00000133169	
COL13A1	1	ENSG00000197467	
FOXG1	1	ENSG00000176165	
STC1	1	ENSG00000159167	
AC087392.1	1	ENSG00000262003	
ADAMTS12	1	ENSG00000151388	
MEG9	1	ENSG00000223403	
SULT1A1	1	ENSG00000196502	
ADH4	1	ENSG00000198099	
TSPAN8	1	ENSG00000127324	
STC2	1	ENSG00000113739	
PDGFD	1	ENSG00000170962	
SLAMF9	1	ENSG00000162723	
RDH16	1	ENSG00000139547	
ALX4	1	ENSG00000052850	
PCDHA3	1	ENSG00000255408	
NKX2-5	1	ENSG00000183072	
PCDHA7	1	ENSG00000204963	
RNA5-8SN4	1	ENSG00000276700	
SLC10A4	1	ENSG00000145248	
AL354714.1	1	ENSG00000198358	
LINC00671	1	ENSG00000213373	
AC036214.1	1	ENSG00000249328	
APCDD1L	1	ENSG00000198768	
IGF2	1	ENSG00000167244	
SH2D1B	1	ENSG00000198574	
SLC16A12	1	ENSG00000152779	
