NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	8	0.722037672996521	0.012619978	Yes	
row_1	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	15	0.673958420753479	0.029148137	Yes	
row_2	FOXL1	forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]	18	0.6517524123191833	0.05743692	Yes	
row_3	KL	klotho [Source:HGNC Symbol;Acc:HGNC:6344]	23	0.6313518285751343	0.078165144	Yes	
row_4	SLC10A4	solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980]	31	0.5947805047035217	0.087234095	Yes	
row_5	HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	32	0.5945408940315247	0.11894399	Yes	
row_6	ALX4	ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450]	44	0.5549541711807251	0.11294381	Yes	
row_7	DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	48	0.5476916432380676	0.13244626	Yes	
row_8	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]	61	0.5078830718994141	0.1206993	Yes	
row_9	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	65	0.5031096339225769	0.13782395	Yes	
row_10	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	70	0.4995553195476532	0.1515228	Yes	
row_11	OSR1	odd-skipped related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]	81	0.4886337220668793	0.14522167	Yes	
row_12	OTP	orthopedia homeobox [Source:HGNC Symbol;Acc:HGNC:8518]	83	0.4871823489665985	0.16796933	Yes	
row_13	EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	96	0.4693993031978607	0.15416984	Yes	
row_14	EFCAB1	EF-hand calcium binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25678]	100	0.463043749332428	0.16915758	Yes	
row_15	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	105	0.4564126133918762	0.1805554	Yes	
row_16	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	111	0.4494379758834839	0.18834499	Yes	
row_17	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]	123	0.4247775673866272	0.17540184	Yes	
row_18	DCHS2	dachsous cadherin-related 2 [Source:HGNC Symbol;Acc:HGNC:23111]	125	0.42154115438461304	0.19464852	Yes	
row_19	SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	126	0.42094314098358154	0.21709956	Yes	
row_20	LRRTM1	leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]	127	0.41829875111579895	0.23940957	Yes	
row_21	ACAN	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	130	0.4101567268371582	0.2548128	Yes	
row_22	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	142	0.3901246190071106	0.24002144	Yes	
row_23	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	151	0.37741750478744507	0.23426107	Yes	
row_24	NEURL1	neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]	155	0.3742441236972809	0.24451268	Yes	
