NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	8	0.722037672996521	0.029745769	Yes	
row_1	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	15	0.673958420753479	0.06250161	Yes	
row_2	FOXL1	forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]	18	0.6517524123191833	0.107111216	Yes	
row_3	KL	klotho [Source:HGNC Symbol;Acc:HGNC:6344]	21	0.6313518285751343	0.15011156	Yes	
row_4	SLC10A4	solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980]	29	0.5947805047035217	0.17322023	Yes	
row_5	HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	30	0.5945408940315247	0.22011952	Yes	
row_6	ALX4	ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450]	41	0.5549541711807251	0.2298825	Yes	
row_7	DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	45	0.5476916432380676	0.26288208	Yes	
row_8	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]	57	0.5078830718994141	0.26553056	Yes	
row_9	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	66	0.4995553195476532	0.2777262	Yes	
row_10	OSR1	odd-skipped related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]	75	0.4886337220668793	0.28906032	Yes	
row_11	OTP	orthopedia homeobox [Source:HGNC Symbol;Acc:HGNC:8518]	77	0.4871823489665985	0.32408947	Yes	
row_12	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	97	0.4564126133918762	0.2954669	Yes	
row_13	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	103	0.4494379758834839	0.31391323	Yes	
row_14	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]	115	0.4247775673866272	0.31000608	Yes	
row_15	DCHS2	dachsous cadherin-related 2 [Source:HGNC Symbol;Acc:HGNC:23111]	117	0.42154115438461304	0.33985722	Yes	
row_16	SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	118	0.42094314098358154	0.37306258	Yes	
row_17	LRRTM1	leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]	119	0.41829875111579895	0.40605932	Yes	
row_18	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	133	0.3901246190071106	0.3926159	Yes	
row_19	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	142	0.37741750478744507	0.39517695	Yes	
row_20	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	147	0.3738042116165161	0.41105837	Yes	
row_21	ADGRL3	adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]	149	0.37252533435821533	0.437043	Yes	
row_22	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	168	0.349396675825119	0.40338007	No	
row_23	DMRT2	doublesex and mab-3 related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2935]	189	0.29305100440979004	0.35846967	No	
row_24	SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	209	0.22450634837150574	0.3115536	No	
row_25	ONECUT1	one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138]	257	-0.30095192790031433	0.1754297	No	
row_26	OLIG2	oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398]	290	-0.4494580924510956	0.10204086	No	
