NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	8	0.722037672996521	0.008968953	Yes	
row_1	ZAR1	zygote arrest 1 [Source:HGNC Symbol;Acc:HGNC:20436]	12	0.6900728940963745	0.0341926	Yes	
row_2	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	15	0.673958420753479	0.06216036	Yes	
row_3	FOXL1	forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]	18	0.6517524123191833	0.08897043	Yes	
row_4	KL	klotho [Source:HGNC Symbol;Acc:HGNC:6344]	21	0.6313518285751343	0.11471693	Yes	
row_5	APCDD1L	APC down-regulated 1 like [Source:HGNC Symbol;Acc:HGNC:26892]	23	0.6259133815765381	0.14376414	Yes	
row_6	SLC10A4	solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980]	29	0.5947805047035217	0.15685134	Yes	
row_7	HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	30	0.5945408940315247	0.1878472	Yes	
row_8	ALX4	ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450]	41	0.5549541711807251	0.18093695	Yes	
row_9	DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	45	0.5476916432380676	0.19873768	Yes	
row_10	CLIC6	chloride intracellular channel 6 [Source:HGNC Symbol;Acc:HGNC:2065]	50	0.5247197151184082	0.21175656	Yes	
row_11	NHS	NHS actin remodeling regulator [Source:HGNC Symbol;Acc:HGNC:7820]	53	0.5135695934295654	0.23136258	Yes	
row_12	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]	57	0.5078830718994141	0.24708793	Yes	
row_13	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	66	0.4995553195476532	0.24445796	Yes	
row_14	OSR1	odd-skipped related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]	75	0.4886337220668793	0.2412586	Yes	
row_15	OTP	orthopedia homeobox [Source:HGNC Symbol;Acc:HGNC:8518]	77	0.4871823489665985	0.2630732	Yes	
row_16	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	97	0.4564126133918762	0.21876751	Yes	
row_17	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	103	0.4494379758834839	0.2242774	Yes	
row_18	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]	115	0.4247775673866272	0.20699628	Yes	
row_19	RORB	RAR related orphan receptor B [Source:HGNC Symbol;Acc:HGNC:10259]	116	0.42325499653816223	0.2290623	Yes	
row_20	DCHS2	dachsous cadherin-related 2 [Source:HGNC Symbol;Acc:HGNC:23111]	117	0.42154115438461304	0.25103897	Yes	
row_21	SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	118	0.42094314098358154	0.27298447	Yes	
row_22	LRRTM1	leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]	119	0.41829875111579895	0.2947921	Yes	
row_23	ACAN	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	122	0.4101567268371582	0.3090068	Yes	
row_24	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	133	0.3901246190071106	0.2935033	Yes	
row_25	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	142	0.37741750478744507	0.28450578	Yes	
row_26	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	147	0.3738042116165161	0.28965682	Yes	
row_27	ADGRL3	adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]	149	0.37252533435821533	0.30549386	Yes	
row_28	MECOM	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]	154	0.36605626344680786	0.31024095	Yes	
row_29	TRPA1	transient receptor potential cation channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:497]	155	0.3625761568546295	0.32914355	Yes	
row_30	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	157	0.36244797706604004	0.3444552	Yes	
row_31	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	168	0.349396675825119	0.32682842	Yes	
row_32	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	169	0.3475959002971649	0.34495002	Yes	
row_33	DMRT2	doublesex and mab-3 related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2935]	189	0.29305100440979004	0.2921276	No	
row_34	NR0B1	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]	190	0.29103490710258484	0.30730045	No	
row_35	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	199	0.26717516779899597	0.29255557	No	
row_36	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	208	0.22710134088993073	0.27572146	No	
row_37	SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	209	0.22450634837150574	0.28742588	No	
row_38	ONECUT1	one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138]	257	-0.30095192790031433	0.13465697	No	
row_39	SHISA2	shisa family member 2 [Source:HGNC Symbol;Acc:HGNC:20366]	272	-0.3613889515399933	0.103318445	No	
row_40	OLIG2	oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398]	290	-0.4494580924510956	0.06581864	No	
row_41	OLIG1	oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983]	314	-0.7312683463096619	0.021505386	No	
