NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FRMD4A	FERM domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25491]	814	0.4109019637107849	0.029933315	No	
row_1	TULP3	TUB like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425]	4290	0.25809916853904724	-0.037029963	No	
row_2	DENND1B	DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404]	4745	0.2443392276763916	-0.018361127	No	
row_3	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	6197	0.20852278172969818	-0.03320643	No	
row_4	MYO7A	myosin VIIA [Source:HGNC Symbol;Acc:HGNC:7606]	6228	0.2078290432691574	-0.0070203794	No	
row_5	GPATCH2	G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25499]	6516	0.20052838325500488	0.0107781	No	
row_6	KLHL2	kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]	7781	0.17885716259479523	-0.0025174255	No	
row_7	RABL6	RAB, member RAS oncogene family like 6 [Source:HGNC Symbol;Acc:HGNC:24703]	9115	0.15290313959121704	-0.021188283	No	
row_8	ANKRD44	ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:25259]	11990	0.09490014612674713	-0.09200398	No	
row_9	SNX13	sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]	14739	0.04109979048371315	-0.1661769	No	
row_10	LZIC	leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:HGNC:17497]	15244	0.03114047273993492	-0.1767082	No	
row_11	TRRAP	transformation/transcription domain associated protein [Source:HGNC Symbol;Acc:HGNC:12347]	15632	0.023943772539496422	-0.18479052	No	
row_12	U2SURP	U2 snRNP associated SURP domain containing [Source:HGNC Symbol;Acc:HGNC:30855]	16394	0.009586353786289692	-0.20556484	No	
row_13	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	16752	0.003593981498852372	-0.21542805	No	
row_14	ZBTB38	zinc finger and BTB domain containing 38 [Source:HGNC Symbol;Acc:HGNC:26636]	17562	-0.01187695562839508	-0.23729324	No	
row_15	CCDC90B	coiled-coil domain containing 90B [Source:HGNC Symbol;Acc:HGNC:28108]	18606	-0.03166674077510834	-0.2633539	No	
row_16	SCFD1	sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]	19118	-0.04165045917034149	-0.27271965	No	
row_17	GPS1	G protein pathway suppressor 1 [Source:HGNC Symbol;Acc:HGNC:4549]	19753	-0.05474882572889328	-0.28393972	No	
row_18	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	20685	-0.0721357986330986	-0.3014912	No	
row_19	ENSA	endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360]	22503	-0.10910050570964813	-0.33987033	No	
row_20	WBP4	WW domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:12739]	24267	-0.1391710489988327	-0.37277234	No	
row_21	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6 [Source:HGNC Symbol;Acc:HGNC:8549]	28006	-0.21069622039794922	-0.45351714	No	
row_22	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	29993	-0.25316110253334045	-0.47803375	Yes	
row_23	CCSER2	coiled-coil serine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:29197]	29994	-0.2531815767288208	-0.44507578	Yes	
row_24	VPS53	VPS53 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:25608]	30810	-0.263887494802475	-0.43430904	Yes	
row_25	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	30966	-0.26738810539245605	-0.4039872	Yes	
row_26	ANP32A	acidic nuclear phosphoprotein 32 family member A [Source:HGNC Symbol;Acc:HGNC:13233]	31265	-0.27608993649482727	-0.37667078	Yes	
row_27	KLHL41	kelch like family member 41 [Source:HGNC Symbol;Acc:HGNC:16905]	31634	-0.2873186767101288	-0.34991837	Yes	
row_28	ZMAT3	zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]	31723	-0.29038822650909424	-0.3146636	Yes	
row_29	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	31892	-0.2966916561126709	-0.28090334	Yes	
row_30	SMPD1	sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120]	32298	-0.3138049244880676	-0.2517738	Yes	
row_31	COX7C	cytochrome c oxidase subunit 7C [Source:HGNC Symbol;Acc:HGNC:2292]	32928	-0.34276318550109863	-0.22535686	Yes	
row_32	SYNJ2BP	synaptojanin 2 binding protein [Source:HGNC Symbol;Acc:HGNC:18955]	32984	-0.34550631046295166	-0.18197209	Yes	
row_33	NPEPPS	aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]	33367	-0.37117940187454224	-0.14470823	Yes	
row_34	DUSP22	dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]	33851	-0.41601651906967163	-0.10453047	Yes	
row_35	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	34074	-0.44530928134918213	-0.052986562	Yes	
row_36	RSL24D1	ribosomal L24 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18479]	34397	-0.5219709873199463	0.005642953	Yes	
