NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTMS	parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]	4413	0.2540717124938965	-0.113044254	No	
row_1	USE1	unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882]	13466	0.06590349227190018	-0.3713983	No	
row_2	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	14428	0.04710325226187706	-0.3964938	No	
row_3	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	16631	0.00552626745775342	-0.45995227	No	
row_4	RBBP6	RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]	17397	-0.008730021305382252	-0.4816024	No	
row_5	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]	18394	-0.02772112935781479	-0.5088389	No	
row_6	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	19668	-0.05327344685792923	-0.54261243	No	
row_7	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	20468	-0.06789682805538177	-0.5618064	No	
row_8	RPL36A	ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]	20576	-0.07000508159399033	-0.5608343	No	
row_9	SIN3B	SIN3 transcription regulator family member B [Source:HGNC Symbol;Acc:HGNC:19354]	20876	-0.07635225355625153	-0.56505424	No	
row_10	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	21175	-0.08254003524780273	-0.5688853	No	
row_11	TMEM121B	transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844]	21994	-0.09873875975608826	-0.5868359	No	
row_12	KCNK13	potassium two pore domain channel subfamily K member 13 [Source:HGNC Symbol;Acc:HGNC:6275]	22317	-0.10510844737291336	-0.5900496	No	
