NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OTP	orthopedia homeobox [Source:HGNC Symbol;Acc:HGNC:8518]	83	0.4871823489665985	-0.1196053	Yes	
row_1	OMD	osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]	95	0.4707562327384949	-0.031043626	Yes	
row_2	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	105	0.4564126133918762	0.05973066	Yes	
row_3	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	111	0.4494379758834839	0.1605115	Yes	
row_4	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	166	0.36244797706604004	0.09438837	No	
row_5	NR0B1	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]	201	0.29103490710258484	0.06890525	No	
row_6	SERPIND1	serpin family D member 1 [Source:HGNC Symbol;Acc:HGNC:4838]	230	-0.06941308081150055	0.0041523296	No	
row_7	STK24	serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]	241	-0.17014530301094055	0.018390438	No	
row_8	TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	242	-0.1806749850511551	0.064833775	No	
row_9	DDR1	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	258	-0.23922085762023926	0.08207881	No	
row_10	ONECUT1	one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138]	272	-0.30095192790031433	0.1210918	No	
row_11	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	303	-0.4125460386276245	0.13864309	No	
