NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	126	0.42094314098358154	-0.25039637	No	
row_1	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	193	0.3164001405239105	-0.35392326	No	
row_2	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	227	0.1390465795993805	-0.41120532	Yes	
row_3	SERPIND1	serpin family D member 1 [Source:HGNC Symbol;Acc:HGNC:4838]	230	-0.06941308081150055	-0.39710525	Yes	
row_4	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	243	-0.18169789016246796	-0.38015145	Yes	
row_5	AHSG	alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]	247	-0.19736860692501068	-0.3321338	Yes	
row_6	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	250	-0.21145471930503845	-0.27710772	Yes	
row_7	AMBP	alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:HGNC:453]	251	-0.2123195230960846	-0.21593276	Yes	
row_8	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	260	-0.24555377662181854	-0.16878092	Yes	
row_9	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	264	-0.25800758600234985	-0.10329156	Yes	
row_10	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	303	-0.4125460386276245	-0.09652035	Yes	
row_11	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	347	-0.8059419393539429	0.008849537	Yes	
