NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH10	cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]	46	0.5492887496948242	-0.001419777	Yes	
row_1	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A [Source:HGNC Symbol;Acc:HGNC:14871]	59	0.5121545791625977	0.08784356	Yes	
row_2	RASL12	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]	67	0.5027725100517273	0.18948981	Yes	
row_3	OGN	osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]	79	0.48939749598503113	0.2761557	Yes	
row_4	EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	96	0.4693993031978607	0.34329927	Yes	
row_5	RORB	RAR related orphan receptor B [Source:HGNC Symbol;Acc:HGNC:10259]	124	0.42325499653816223	0.36697167	Yes	
row_6	COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	128	0.41313087940216064	0.45856515	Yes	
row_7	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	157	0.37265151739120483	0.4670083	Yes	
row_8	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	239	-0.16774258017539978	0.2702332	No	
row_9	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	252	-0.21542078256607056	0.28739002	No	
