NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1L2	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	0	0.8783847093582153	0.016464101	Yes	
row_1	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	23	0.6645212769508362	0.028279165	Yes	
row_2	ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	25	0.6642833948135376	0.04070112	Yes	
row_3	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	44	0.6300839185714722	0.051987153	Yes	
row_4	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	80	0.5820392966270447	0.061877746	Yes	
row_5	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	100	0.5642243027687073	0.07190022	Yes	
row_6	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	104	0.5616326332092285	0.082339905	Yes	
row_7	LDB2	LIM domain binding 2 [Source:HGNC Symbol;Acc:HGNC:6533]	118	0.5530411005020142	0.09232744	Yes	
row_8	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	197	0.5202885270118713	0.099808775	Yes	
row_9	AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	211	0.5147650837898254	0.10907888	Yes	
row_10	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	213	0.5146326422691345	0.11869584	Yes	
row_11	FAM72C	family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602]	241	0.5060527324676514	0.12739506	Yes	
row_12	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	330	0.48616746068000793	0.13394573	Yes	
row_13	S1PR3	sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167]	354	0.4787311851978302	0.14224932	Yes	
row_14	IQGAP3	IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]	370	0.4760963022708893	0.15073639	Yes	
row_15	KIF14	kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]	395	0.47095155715942383	0.15886503	Yes	
row_16	VAT1L	vesicle amine transport 1 like [Source:HGNC Symbol;Acc:HGNC:29315]	397	0.4705067574977875	0.16765492	Yes	
row_17	RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	430	0.46364426612854004	0.1754137	Yes	
row_18	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	511	0.4510950446128845	0.1815399	Yes	
row_19	JAM2	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]	685	0.42610469460487366	0.18449023	Yes	
row_20	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	691	0.42532047629356384	0.19231671	Yes	
row_21	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	769	0.4166502058506012	0.19788462	Yes	
row_22	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	803	0.4120039939880371	0.20464636	Yes	
row_23	PEAR1	platelet endothelial aggregation receptor 1 [Source:HGNC Symbol;Acc:HGNC:33631]	804	0.41196101903915405	0.212368	Yes	
row_24	CERS6	ceramide synthase 6 [Source:HGNC Symbol;Acc:HGNC:23826]	841	0.4077790081501007	0.2189632	Yes	
row_25	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	872	0.40456920862197876	0.22567295	Yes	
row_26	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	880	0.4041394591331482	0.23304419	Yes	
row_27	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	882	0.4039876461029053	0.24058726	Yes	
row_28	LRRC17	leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]	969	0.396256685256958	0.2455109	Yes	
row_29	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	1011	0.39241155982017517	0.2516725	Yes	
row_30	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1035	0.3900408148765564	0.25831372	Yes	
row_31	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	1037	0.38989144563674927	0.26559258	Yes	
row_32	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	1089	0.386417955160141	0.27135074	Yes	
row_33	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	1185	0.3781513571739197	0.275673	Yes	
row_34	GPC6	glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]	1218	0.37579938769340515	0.28178525	Yes	
row_35	NRGN	neurogranin [Source:HGNC Symbol;Acc:HGNC:8000]	1286	0.3710167109966278	0.28678894	Yes	
row_36	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1407	0.362913578748703	0.2900978	Yes	
row_37	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	1453	0.35999879240989685	0.29553542	Yes	
row_38	OLFML3	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	1508	0.3555451035499573	0.3006276	Yes	
row_39	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	1544	0.35313257575035095	0.30622762	Yes	
row_40	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	1563	0.3516908586025238	0.3122956	Yes	
row_41	PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	1565	0.35157057642936707	0.31885615	Yes	
row_42	SLC14A1	solute carrier family 14 member 1 (Kidd blood group) [Source:HGNC Symbol;Acc:HGNC:10918]	1652	0.3458607792854309	0.3228352	Yes	
row_43	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	1726	0.3421511650085449	0.32712317	Yes	
row_44	CORIN	corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]	1775	0.3394724130630493	0.33208874	Yes	
row_45	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]	1790	0.33874785900115967	0.33803052	Yes	
row_46	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	1827	0.33662858605384827	0.34329212	Yes	
row_47	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]	1855	0.33552658557891846	0.34879506	Yes	
row_48	SCARA3	scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]	1865	0.3345901668071747	0.3548045	Yes	
row_49	FIGNL1	fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]	1867	0.3345494866371155	0.36104605	Yes	
row_50	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	1868	0.3344533443450928	0.3673149	Yes	
row_51	C2CD5	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	1872	0.33422672748565674	0.37349218	Yes	
row_52	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	1917	0.3320530652999878	0.37843513	Yes	
row_53	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	2017	0.3274974524974823	0.38169152	Yes	
row_54	TIMELESS	timeless circadian regulator [Source:HGNC Symbol;Acc:HGNC:11813]	2222	0.3180258572101593	0.3817136	Yes	
row_55	RAD51AP1	RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]	2228	0.3177288770675659	0.38752344	Yes	
row_56	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	2235	0.3173864781856537	0.39329773	Yes	
row_57	KIF4A	kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]	2254	0.3166104853153229	0.39870813	Yes	
row_58	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	2258	0.3163948655128479	0.40455118	Yes	
row_59	OXTR	oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]	2309	0.31441807746887207	0.4089889	Yes	
row_60	NCAPG2	non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]	2375	0.3119843304157257	0.41294435	Yes	
row_61	CCBE1	collagen and calcium binding EGF domains 1 [Source:HGNC Symbol;Acc:HGNC:29426]	2430	0.31004005670547485	0.41718355	Yes	
row_62	SCUBE3	signal peptide, CUB domain and EGF like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:13655]	2460	0.3084559142589569	0.42212087	Yes	
row_63	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	2471	0.3081144392490387	0.42760494	Yes	
row_64	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	2563	0.30401042103767395	0.430654	Yes	
row_65	TICAM2	toll like receptor adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354]	2893	0.29377511143684387	0.42658252	Yes	
row_66	MSH6	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]	3083	0.2890443205833435	0.4264981	Yes	
row_67	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	3087	0.28895342350006104	0.43182677	Yes	
row_68	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	3111	0.28823399543762207	0.43655974	Yes	
row_69	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	3218	0.2852623462677002	0.4388207	Yes	
row_70	GTSE1	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	3220	0.28523391485214233	0.4441379	Yes	
row_71	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	3225	0.2851089835166931	0.44936544	Yes	
row_72	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	3236	0.2848249673843384	0.45441294	Yes	
row_73	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	3435	0.2801828384399414	0.4539004	Yes	
row_74	CDCA7	cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]	3480	0.2788916826248169	0.4578469	Yes	
row_75	TNFSF4	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	3517	0.2777847945690155	0.46200556	Yes	
row_76	PRICKLE1	prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]	3544	0.2771639823913574	0.4664437	Yes	
row_77	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	3592	0.2757411003112793	0.4702438	Yes	
row_78	NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	3658	0.2743414342403412	0.47349367	Yes	
row_79	C1QTNF2	C1q and TNF related 2 [Source:HGNC Symbol;Acc:HGNC:14325]	3833	0.2698380947113037	0.47348592	Yes	
row_80	PTN	pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]	4030	0.2650544345378876	0.472748	Yes	
row_81	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	4131	0.2622237503528595	0.47475183	Yes	
row_82	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	4223	0.2595977187156677	0.47696844	Yes	
row_83	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	4225	0.2595210373401642	0.4818037	Yes	
row_84	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	4236	0.2594456076622009	0.4863755	Yes	
row_85	PTX3	pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]	4369	0.255542516708374	0.4873225	Yes	
row_86	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	4784	0.2433602213859558	0.47983155	Yes	
row_87	RIF1	replication timing regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:23207]	4818	0.24277739226818085	0.4834214	Yes	
row_88	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	4941	0.23966683447360992	0.48436192	Yes	
row_89	SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	5134	0.2349485158920288	0.4831762	Yes	
row_90	CEP57	centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]	5285	0.23119333386421204	0.4831428	Yes	
row_91	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	5287	0.23116524517536163	0.48744655	Yes	
row_92	SLFN11	schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633]	5390	0.22891204059123993	0.48876774	Yes	
row_93	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	5565	0.22491158545017242	0.4879179	Yes	
row_94	NFYB	nuclear transcription factor Y subunit beta [Source:HGNC Symbol;Acc:HGNC:7805]	5942	0.21493123471736908	0.48100033	Yes	
row_95	NREP	neuronal regeneration related protein [Source:HGNC Symbol;Acc:HGNC:16834]	6134	0.21027134358882904	0.47938117	Yes	
row_96	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	6139	0.21016857028007507	0.48320404	Yes	
row_97	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	6264	0.20660819113254547	0.48346674	Yes	
row_98	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	6363	0.20447169244289398	0.4844463	Yes	
row_99	DEPDC1	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	6379	0.2039988934993744	0.4878333	Yes	
row_100	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	6399	0.20353317260742188	0.4910951	Yes	
row_101	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	6417	0.20324432849884033	0.49440974	Yes	
row_102	ZNF22	zinc finger protein 22 [Source:HGNC Symbol;Acc:HGNC:13012]	6469	0.20180702209472656	0.49670762	Yes	
row_103	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	6674	0.1987207531929016	0.49449348	No	
row_104	KCNK2	potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]	6863	0.19510246813297272	0.49267733	No	
row_105	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	7043	0.19176313281059265	0.4910606	No	
row_106	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	7174	0.18852204084396362	0.49080962	No	
row_107	CENPK	centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]	7259	0.18626457452774048	0.49185547	No	
row_108	PCLAF	PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]	7603	0.1820790022611618	0.48528284	No	
row_109	TRAM2	translocation associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16855]	7631	0.18150463700294495	0.4878989	No	
row_110	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	7894	0.1766921728849411	0.48358336	No	
row_111	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	7963	0.17514853179454803	0.48488665	No	
row_112	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	8086	0.17193402349948883	0.48455766	No	
row_113	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	8095	0.17175856232643127	0.48754412	No	
row_114	RNASEH2A	ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]	8225	0.17033220827579498	0.4869813	No	
row_115	MGARP	mitochondria localized glutamic acid rich protein [Source:HGNC Symbol;Acc:HGNC:29969]	8296	0.16869698464870453	0.48810545	No	
row_116	NFXL1	nuclear transcription factor, X-box binding like 1 [Source:HGNC Symbol;Acc:HGNC:18726]	9002	0.1552223563194275	0.47049087	No	
row_117	THSD4	thrombospondin type 1 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25835]	9026	0.15479759871959686	0.47272274	No	
row_118	CHAC2	ChaC glutathione specific gamma-glutamylcyclotransferase 2 [Source:HGNC Symbol;Acc:HGNC:32363]	9084	0.15361447632312775	0.47394264	No	
row_119	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	9137	0.15226228535175323	0.47528276	No	
