NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	5	0.7410611510276794	0.085079335	Yes	
row_1	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	15	0.673958420753479	0.14775924	Yes	
row_2	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	46	0.5363436937332153	0.12226867	Yes	
row_3	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	68	0.49848344922065735	0.12129138	Yes	
row_4	MXRA8	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	108	0.43431153893470764	0.052111775	Yes	
row_5	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	111	0.43052342534065247	0.10452513	Yes	
row_6	COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	120	0.41313087940216064	0.13475242	Yes	
row_7	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	129	0.39572954177856445	0.16259442	Yes	
row_8	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	131	0.39211606979370117	0.21304342	Yes	
row_9	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	135	0.38681912422180176	0.25616568	Yes	
row_10	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	137	0.38392072916030884	0.3054913	Yes	
row_11	MRC2	mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]	150	0.3713046908378601	0.31678393	Yes	
row_12	SFTPB	surfactant protein B [Source:HGNC Symbol;Acc:HGNC:10801]	158	0.3591286540031433	0.3429092	Yes	
row_13	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	168	0.349396675825119	0.36109978	Yes	
row_14	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	216	0.1390465795993805	0.22504409	No	
row_15	SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	221	-0.08059406280517578	0.2228902	No	
row_16	CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	249	-0.2551115155220032	0.1687507	No	
row_17	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	295	-0.45429423451423645	0.08250824	No	
