NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	23	0.6645212769508362	0.013860879	Yes	
row_1	CENPL	centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]	58	0.6024054884910583	0.026043886	Yes	
row_2	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	80	0.5820392966270447	0.038159475	Yes	
row_3	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	100	0.5642243027687073	0.049943678	Yes	
row_4	CKAP2L	cytoskeleton associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:26877]	116	0.5542801022529602	0.061626725	Yes	
row_5	MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	219	0.5116034746170044	0.06984782	Yes	
row_6	KIF2C	kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]	251	0.5027236342430115	0.07993854	Yes	
row_7	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	346	0.48131656646728516	0.08772996	Yes	
row_8	IQGAP3	IQ motif containing GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:20669]	370	0.4760963022708893	0.09747103	Yes	
row_9	KIF15	kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]	372	0.4757213294506073	0.10784337	Yes	
row_10	ANLN	anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	377	0.47451484203338623	0.118102126	Yes	
row_11	KIF14	kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]	395	0.47095155715942383	0.1279051	Yes	
row_12	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	470	0.456435889005661	0.13573387	Yes	
row_13	UBE2T	ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]	535	0.44780564308166504	0.14366461	Yes	
row_14	NUF2	NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]	560	0.44438695907592773	0.1526833	Yes	
row_15	CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	667	0.428897500038147	0.1589798	Yes	
row_16	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	677	0.4270940124988556	0.1680564	Yes	
row_17	SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	726	0.4219944179058075	0.17588787	Yes	
row_18	ADGRF5	adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]	736	0.42075690627098083	0.1848259	Yes	
row_19	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	769	0.4166502058506012	0.19300559	Yes	
row_20	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	882	0.4039876461029053	0.19858305	Yes	
row_21	FSTL1	follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]	960	0.3972930312156677	0.20503148	Yes	
row_22	FAM72D	family with sequence similarity 72 member D [Source:HGNC Symbol;Acc:HGNC:33593]	1006	0.3926515281200409	0.21230859	Yes	
row_23	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	1007	0.39261001348495483	0.22089282	Yes	
row_24	KIF20A	kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]	1011	0.39241155982017517	0.2293855	Yes	
row_25	EXO1	exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]	1079	0.38702648878097534	0.23590013	Yes	
row_26	CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	1185	0.3781513571739197	0.24111617	Yes	
row_27	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1207	0.37654629349708557	0.24873875	Yes	
row_28	HJURP	Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]	1224	0.37531280517578125	0.25647968	Yes	
row_29	TRIM59	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	1273	0.37170353531837463	0.26321158	Yes	
row_30	TMEM47	transmembrane protein 47 [Source:HGNC Symbol;Acc:HGNC:18515]	1310	0.36908870935440063	0.2702351	Yes	
row_31	SPAG5	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	1345	0.3667655885219574	0.27726597	Yes	
row_32	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	1407	0.362913578748703	0.28342777	Yes	
row_33	TPX2	TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	1453	0.35999879240989685	0.28999096	Yes	
