NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RGS22	regulator of G protein signaling 22 [Source:HGNC Symbol;Acc:HGNC:24499]	38	0.5684003829956055	-0.033363	Yes	
row_1	SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	40	0.5633364319801331	0.053772725	Yes	
row_2	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	61	0.5031096339225769	0.06894709	Yes	
row_3	SDK1	sidekick cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:19307]	82	0.4797747731208801	0.080376245	Yes	
row_4	RIPPLY3	ripply transcriptional repressor 3 [Source:HGNC Symbol;Acc:HGNC:3047]	83	0.47588643431663513	0.1567551	Yes	
row_5	EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	88	0.4693993031978607	0.21897803	Yes	
row_6	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	97	0.4564126133918762	0.26600188	Yes	
row_7	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	114	0.42596179246902466	0.2819089	Yes	
row_8	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	128	0.3966955840587616	0.30295485	Yes	
row_9	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	129	0.39572954177856445	0.36646867	Yes	
row_10	MEG3	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	166	0.3496131896972656	0.3045481	No	
row_11	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:19133]	192	0.28548556566238403	0.2684008	No	
row_12	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	200	0.26434779167175293	0.2878773	No	
row_13	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	216	0.1390465795993805	0.2610137	No	
row_14	MUCL1	mucin like 1 [Source:HGNC Symbol;Acc:HGNC:30588]	223	-0.15100915729999542	0.2655782	No	
row_15	PSG4	pregnancy specific beta-1-glycoprotein 4 [Source:HGNC Symbol;Acc:HGNC:9521]	261	-0.30639538168907166	0.19344261	No	
