NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	129	0.4128963053226471	-0.26177904	No	
row_1	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	166	0.36244797706604004	-0.26440123	Yes	
row_2	MEG3	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	175	0.3496131896972656	-0.18832703	Yes	
row_3	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	178	0.3475959002971649	-0.09518051	Yes	
row_4	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	210	0.26717516779899597	-0.1102397	Yes	
row_5	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	227	0.1390465795993805	-0.11768463	Yes	
row_6	BEX1	brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]	253	-0.21824614703655243	-0.12903647	Yes	
row_7	LTF	lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]	264	-0.25800758600234985	-0.08494277	Yes	
row_8	ONECUT1	one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138]	272	-0.30095192790031433	-0.019790841	Yes	
row_9	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	303	-0.4125460386276245	0.009506809	Yes	
row_10	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	307	-0.44151923060417175	0.12647058	Yes	
