NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AJAP1	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]	14	0.676634669303894	0.11274079	Yes	
row_1	FHL5	four and a half LIM domains 5 [Source:HGNC Symbol;Acc:HGNC:17371]	37	0.5810227990150452	0.18028894	Yes	
row_2	MUC13	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	66	0.5029782056808472	0.21250255	Yes	
row_3	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	68	0.5015784502029419	0.3235769	Yes	
row_4	GABRR1	gamma-aminobutyric acid type A receptor subunit rho1 [Source:HGNC Symbol;Acc:HGNC:4090]	97	0.46895405650138855	0.34805694	Yes	
row_5	MMP1	matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]	119	0.43052342534065247	0.3843297	Yes	
row_6	DCHS2	dachsous cadherin-related 2 [Source:HGNC Symbol;Acc:HGNC:23111]	125	0.42154115438461304	0.46548167	Yes	
row_7	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	134	0.39747288823127747	0.5323653	Yes	
row_8	STK24	serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]	241	-0.17014530301094055	0.26018828	No	
row_9	BAAT	bile acid-CoA:amino acid N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:932]	261	-0.24869444966316223	0.26099712	No	
