NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	15	0.673958420753479	0.005543433	Yes	
row_1	ALDH1L2	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	33	0.584394097328186	-0.0032791495	Yes	
row_2	WIF1	WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]	44	0.548621416091919	0.00877749	Yes	
row_3	CLMP	CXADR like membrane protein [Source:HGNC Symbol;Acc:HGNC:24039]	47	0.5343773365020752	0.04693873	Yes	
row_4	DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]	51	0.5188071131706238	0.0803762	Yes	
row_5	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A [Source:HGNC Symbol;Acc:HGNC:14871]	55	0.5121545791625977	0.11325362	Yes	
row_6	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]	57	0.5078830718994141	0.15259738	Yes	
row_7	RASL12	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]	63	0.5027725100517273	0.17785902	Yes	
row_8	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	67	0.4993334412574768	0.20965707	Yes	
row_9	OSR1	odd-skipped related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]	75	0.4886337220668793	0.22690248	Yes	
row_10	EFCAB1	EF-hand calcium binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25678]	92	0.463043749332428	0.21127686	Yes	
row_11	SLC38A5	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]	98	0.45550334453582764	0.23255908	Yes	
row_12	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]	106	0.4417065382003784	0.24585387	Yes	
row_13	SHE	Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]	123	0.40842175483703613	0.22562984	Yes	
row_14	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	131	0.39211606979370117	0.2347498	Yes	
row_15	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	133	0.3901246190071106	0.26417992	Yes	
row_16	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	135	0.38681912422180176	0.29333177	Yes	
row_17	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	147	0.3738042116165161	0.28725824	Yes	
row_18	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	148	0.37265151739120483	0.31863034	Yes	
row_19	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	152	0.37109240889549255	0.33963227	Yes	
row_20	LMOD1	leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]	153	0.36962416768074036	0.37074953	Yes	
row_21	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	160	0.35695356130599976	0.38032225	Yes	
row_22	MEG3	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	166	0.3496131896972656	0.39269	Yes	
row_23	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	182	0.32006344199180603	0.3684404	No	
row_24	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	195	0.2744216322898865	0.35058725	No	
row_25	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	200	0.26434779167175293	0.3591898	No	
row_26	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	238	-0.21542078256607056	0.25104538	No	
row_27	ZNF219	zinc finger protein 219 [Source:HGNC Symbol;Acc:HGNC:13011]	259	-0.3017735481262207	0.20819116	No	
