NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AJAP1	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]	14	0.676634669303894	0.051174063	Yes	
row_1	DCSTAMP	dendrocyte expressed seven transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18549]	27	0.5972505807876587	0.09752025	Yes	
row_2	NMUR1	neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]	28	0.5958537459373474	0.18313941	Yes	
row_3	CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	59	0.5062690377235413	0.15720178	Yes	
row_4	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	121	0.4128963053226471	0.015873607	Yes	
row_5	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	127	0.39719510078430176	0.056499824	Yes	
row_6	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	129	0.39572954177856445	0.11007335	Yes	
row_7	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	130	0.3939342796802521	0.16667838	Yes	
row_8	PTGER2	prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]	142	0.37741750478744507	0.18472588	Yes	
row_9	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	148	0.37265151739120483	0.22182539	Yes	
row_10	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	156	0.3624497652053833	0.25088006	Yes	
row_11	FSD1	fibronectin type III and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13745]	159	0.3571913242340088	0.2956265	Yes	
row_12	ID1	inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]	165	0.35224467515945435	0.32979372	Yes	
row_13	KIF1A	kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888]	170	0.34677672386169434	0.3664647	Yes	
row_14	KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	202	0.25880321860313416	0.30167887	No	
row_15	CTAG2	cancer/testis antigen 2 [Source:HGNC Symbol;Acc:HGNC:2492]	252	-0.27541854977607727	0.18006997	No	
row_16	PCDHA7	protocadherin alpha 7 [Source:HGNC Symbol;Acc:HGNC:8673]	253	-0.2806346118450165	0.2203948	No	
