NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASL11B	RAS like family 11 member B [Source:HGNC Symbol;Acc:HGNC:23804]	25	0.6180624961853027	0.03506907	No	
row_1	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	90	0.46831223368644714	-0.085604645	No	
row_2	CALHM5	calcium homeostasis modulator family member 5 [Source:HGNC Symbol;Acc:HGNC:21568]	132	0.3902851939201355	-0.14585634	Yes	
row_3	MRC2	mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]	150	0.3713046908378601	-0.13126257	Yes	
row_4	SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	151	0.3711445927619934	-0.061143506	Yes	
row_5	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	169	0.3475959002971649	-0.051028967	Yes	
row_6	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	171	0.344868540763855	0.010857887	Yes	
row_7	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	199	0.26717516779899597	-0.026900925	Yes	
row_8	POU2F3	POU class 2 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:19864]	214	0.1557604819536209	-0.043225266	Yes	
row_9	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008]	236	-0.21145471930503845	-0.07190331	Yes	
row_10	DDR1	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	244	-0.23922085762023926	-0.049583953	Yes	
row_11	CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	249	-0.2551115155220032	-0.014458509	Yes	
row_12	SHISA2	shisa family member 2 [Source:HGNC Symbol;Acc:HGNC:20366]	272	-0.3613889515399933	-0.01807797	Yes	
row_13	GJB6	gap junction protein beta 6 [Source:HGNC Symbol;Acc:HGNC:4288]	278	-0.39462241530418396	0.040136814	Yes	
row_14	GABRP	gamma-aminobutyric acid type A receptor subunit pi [Source:HGNC Symbol;Acc:HGNC:4089]	299	-0.496753990650177	0.06862735	Yes	
