NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXC2	forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]	0	0.8063567280769348	0.10379914	Yes	
row_1	CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	15	0.673958420753479	0.14450254	Yes	
row_2	FOXL1	forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]	18	0.6517524123191833	0.22182113	Yes	
row_3	ALX4	ALX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:450]	41	0.5549541711807251	0.22088978	Yes	
row_4	RSPO4	R-spondin 4 [Source:HGNC Symbol;Acc:HGNC:16175]	56	0.5082136392593384	0.2402575	Yes	
row_5	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	58	0.5067174434661865	0.30219576	Yes	
row_6	DRAXIN	dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]	76	0.48815426230430603	0.3091129	Yes	
row_7	OTP	orthopedia homeobox [Source:HGNC Symbol;Acc:HGNC:8518]	77	0.4871823489665985	0.37182596	Yes	
row_8	COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	120	0.41313087940216064	0.28684878	Yes	
row_9	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	121	0.4128963053226471	0.33999932	Yes	
row_10	NCMAP	non-compact myelin associated protein [Source:HGNC Symbol;Acc:HGNC:29332]	143	0.37633174657821655	0.31936407	Yes	
row_11	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	156	0.3624497652053833	0.32654715	Yes	
row_12	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	160	0.35695356130599976	0.36262795	Yes	
row_13	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	169	0.3475959002971649	0.38105682	Yes	
row_14	SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	209	0.22450634837150574	0.28166717	No	
row_15	POU2F3	POU class 2 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:19864]	214	0.1557604819536209	0.2885597	No	
row_16	IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	287	-0.44151923060417175	0.108552635	No	
