NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CILP2	cartilage intermediate layer protein 2 [Source:HGNC Symbol;Acc:HGNC:24213]	3	0.764146089553833	0.045916587	Yes	
row_1	MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	5	0.7410611510276794	0.09641281	Yes	
row_2	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	8	0.722037672996521	0.14240754	Yes	
row_3	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	42	0.563974916934967	0.08009027	Yes	
row_4	RSPO4	R-spondin 4 [Source:HGNC Symbol;Acc:HGNC:16175]	60	0.5082136392593384	0.06373826	Yes	
row_5	FBLN7	fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]	61	0.5078830718994141	0.10048733	Yes	
row_6	CCN4	cellular communication network factor 4 [Source:HGNC Symbol;Acc:HGNC:12769]	63	0.5062690377235413	0.13399461	Yes	
row_7	OGN	osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]	79	0.48939749598503113	0.12253112	Yes	
row_8	HAPLN1	hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]	84	0.48473218083381653	0.14510506	Yes	
row_9	OMD	osteomodulin [Source:HGNC Symbol;Acc:HGNC:8134]	95	0.4707562327384949	0.14791773	Yes	
row_10	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	98	0.46831223368644714	0.17555356	Yes	
row_11	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	105	0.4564126133918762	0.18982837	Yes	
row_12	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	109	0.45167556405067444	0.21313542	Yes	
row_13	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]	114	0.4417065382003784	0.23259613	Yes	
row_14	MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	115	0.4356086552143097	0.2641156	Yes	
row_15	COL13A1	collagen type XIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2190]	128	0.41313087940216064	0.25650868	Yes	
row_16	ACAN	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	130	0.4101567268371582	0.28306153	Yes	
row_17	PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	137	0.39572954177856445	0.29294547	Yes	
row_18	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	138	0.3939342796802521	0.32144952	Yes	
row_19	COL9A2	collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]	142	0.3901246190071106	0.34030288	Yes	
row_20	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	144	0.38681912422180176	0.36516708	Yes	
row_21	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	157	0.37265151739120483	0.3546312	Yes	
row_22	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	161	0.37109240889549255	0.37210745	Yes	
row_23	TNR	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]	170	0.3569311499595642	0.372934	Yes	
row_24	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	177	0.349396675825119	0.37946543	Yes	
row_25	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	180	0.344868540763855	0.39816922	Yes	
row_26	PODNL1	podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]	181	0.33980610966682434	0.42275667	Yes	
row_27	NID1	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	193	0.3164001405239105	0.41127557	No	
row_28	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	205	0.2800982892513275	0.39716774	No	
row_29	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	206	0.2744216322898865	0.41702414	No	
row_30	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	303	-0.4125460386276245	0.14687489	No	
